trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-05,2021-01-29,0.0,95286,95037,-0.0026,
2021-02-03,2021-02-26,0.0,103791,96538,-0.0699,
2021-03-14,2021-03-26,2.0,98788,98288,-0.0051,PN
2021-04-05,2021-04-23,1.0,94787,93537,-0.0132,PN
2021-05-02,2021-05-27,0.0,96538,92786,-0.0389,
2021-06-06,2021-06-25,3.0,98038,106542,0.0867,PP
2021-07-04,2021-07-15,0.0,104540,103040,-0.0143,
2021-08-16,2021-08-16,-1.0,94036,93787,-0.0026,NN
2021-09-05,2021-09-22,1.0,96037,89285,-0.0703,PN
2021-10-06,2021-10-26,1.0,80281,87034,0.0841,PP
2021-11-07,2021-11-30,-2.0,81281,72778,-0.1046,NN
2021-12-02,2021-12-29,3.0,73528,86034,0.1701,PP
2022-01-05,2022-01-26,2.0,85533,77780,-0.0906,PN
2022-02-06,2022-02-24,1.0,85533,85783,0.0029,PP
2022-03-07,2022-03-22,-1.0,86783,92286,0.0634,NP
2022-04-06,2022-05-01,1.0,92035,104541,0.1359,PP
2022-05-02,2022-05-22,0.0,103790,103040,-0.0072,
2022-06-06,2022-06-30,0.0,103540,89785,-0.1328,
2022-07-05,2022-07-25,1.0,92286,92536,0.0027,PP
2022-08-06,2022-08-30,1.0,89535,87034,-0.0279,PN
2022-09-06,2022-09-15,2.0,85283,87534,0.0264,PP
2022-10-04,2022-10-23,1.0,82782,85033,0.0272,PP
2022-11-04,2022-11-30,2.0,86533,88284,0.0202,PP
2022-12-04,2022-12-04,-1.0,85033,85033,0.0,NP
2023-01-01,2023-01-26,0.0,82532,91386,0.1073,
2023-02-05,2023-02-24,0.0,83532,80531,-0.0359,
2023-03-03,2023-03-27,3.0,80581,77080,-0.0434,PN
2023-04-07,2023-04-24,3.0,78831,82282,0.0438,PP
2023-05-03,2023-05-22,1.0,82832,87184,0.0525,PP
2023-06-12,2023-06-30,2.0,90485,98889,0.0929,PP
2023-07-03,2023-07-31,1.0,98588,87184,-0.1157,PN
2023-08-07,2023-08-28,-2.0,84583,86284,0.0201,NP
2023-09-04,2023-09-30,1.0,87633,92236,0.0525,PP
2023-10-01,2023-10-26,1.0,90935,85433,-0.0605,PN
2023-11-07,2023-11-21,0.0,85783,89885,0.0478,
2023-12-07,2023-12-20,0.0,87684,92236,0.0519,
2024-01-02,2024-01-25,0.0,94587,85383,-0.0973,
2024-02-05,2024-02-22,3.0,94337,94137,-0.0021,PN
2024-03-05,2024-03-31,0.0,95786,87084,-0.0908,
2024-04-01,2024-04-22,2.0,87984,88985,0.0114,PP
2024-05-13,2024-05-29,1.0,91936,91236,-0.0076,PN
2024-06-03,2024-06-28,1.0,90535,109543,0.21,PP
2024-07-01,2024-07-29,0.0,113544,124700,0.0983,
2024-08-02,2024-08-27,1.0,117300,111600,-0.0486,PN
2024-09-04,2024-09-25,0.0,109500,117400,0.0721,
2024-10-02,2024-10-31,0.0,121600,122100,0.0041,
2024-11-06,2024-11-28,-1.0,120800,125000,0.0348,NP
2024-12-03,2024-12-31,1.0,125300,118100,-0.0575,PN
2025-01-03,2025-01-31,3.0,133000,149400,0.1233,PP
2025-02-06,2025-02-26,3.0,141800,137000,-0.0339,PN
2025-03-04,2025-03-25,2.0,128800,127100,-0.0132,PN
