video_id,published_at,view_count
Btnff3AmaSk,2017-05-29T01:45:23Z,1159
jSPYTi8lVco,2017-05-26T05:19:31Z,2025
I8ikaKEkTx8,2017-05-25T08:50:51Z,2725
FCAHlDxGCXs,2017-05-23T05:09:50Z,1549
mqx_OA5p5iI,2017-05-17T03:39:34Z,3914
8wK75eFQ-BU,2017-05-15T07:57:04Z,1771
o7A2qnSZq_k,2017-05-15T05:47:08Z,3686
OusLIm_iEME,2017-05-11T08:07:16Z,2882
DdCCfj0ei-M,2017-05-08T07:53:17Z,1882
o8Y2x3U6sqw,2017-05-08T06:45:58Z,1154
CK_IApmw9jM,2017-05-04T09:29:45Z,1189
DSorvtZtBao,2017-05-02T06:15:36Z,3210
jhExAfgrhLs,2017-04-24T08:44:12Z,2245
JoqlR3rS1QA,2017-04-20T00:39:59Z,1924
