,name,year,quarter,sector,Relative Return,자본금 변화율,금리 변화율,보유 주식 수 변화율,증자주식수 변화율,1인평균급여 변화율,기말 소유주식 수 변화율,Label,Code
21,경방,2019,Q3,경기소비재,-0.08417773824815472,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.10188173438043172,000050
21,하이트진로,2019,Q3,생활소비재,0.2802798329144396,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,0.038010294575439196,000080
21,유한양행,2019,Q3,헬스케어,-0.1288497439286522,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,0.256782615726154,000100
21,CJ대한통운,2019,Q3,산업재,0.013238908120392273,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.012301943884613586,000120
21,두산,2019,Q3,산업재,-0.1135768162663077,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.2979587451550505,000150
21,대림산업,2019,Q3,건설,-0.12059862893574436,0.0,-0.21649484536082508,0.0,-0.013448432672134358,0.0,0.0,-0.16662607758445078,000210
21,일동제약,2019,Q3,헬스케어,-0.08599350809354075,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.15917565580621104,000230
21,한국타이어월드와이드,2019,Q3,경기소비재,-0.14771301028660141,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.20232934492999802,000240
21,기아차,2019,Q3,경기소비재,-0.11778577207084691,-0.011232168448549129,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.23837488290227263,000270
21,조선내화,2019,Q3,철강_소재,-0.03144183754940612,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.0801617267083218,000480
21,동아쏘시오홀딩스,2019,Q3,헬스케어,-0.04576887464125747,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,0.06765016639434585,000640
21,SK하이닉스,2019,Q3,정보기술,-0.01912626738862036,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,0.17186527887685207,000660
21,영풍,2019,Q3,철강_소재,-0.07773391307052892,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.06864437869804776,000670
21,현대건설,2019,Q3,건설,-0.035704372441128854,0.0,-0.21649484536082508,0.0,-0.013853456175480061,0.0,0.0,-0.2516429718168658,000720
21,한화,2019,Q3,에너지_화학,0.02836554236532375,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.24633269163090102,000880
21,CJ,2019,Q3,생활소비재,0.0876596259759125,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.12836156294329962,001040
21,LG상사,2019,Q3,산업재,-0.14225060387512825,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.2911200836905169,001120
21,동국제강,2019,Q3,철강_소재,-0.10926373781301162,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.23015265352589184,001230
21,세아베스틸,2019,Q3,철강_소재,-0.022017793378926218,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.40263041274606515,001430
21,대상,2019,Q3,생활소비재,-0.016678527527980727,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.17116254653552745,001680
21,SK네트웍스,2019,Q3,경기소비재,0.05723596590228673,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.052208096620772165,001740
21,오리온,2019,Q3,생활소비재,0.02043666881706442,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.1504634047634513,001800
21,고려제강,2019,Q3,철강_소재,-0.1426712206449453,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.20833910725425817,002240
21,넥센타이어,2019,Q3,경기소비재,-0.006226561336162936,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.3556524336737552,002350
21,KCC,2019,Q3,건설,-0.0627374078954682,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.17376325794838146,002380
21,아모레G,2019,Q3,생활소비재,0.3027252659402598,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.14143855502809646,002790
21,한국쉘석유,2019,Q3,에너지_화학,-0.037728287458142225,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.10057360396162093,002960
21,부광약품,2019,Q3,헬스케어,-0.049339076952516575,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,0.4942607469637431,003000
21,세아제강,2019,Q3,철강_소재,-0.1571294559099436,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.35538363092121505,003030
21,일신방직,2019,Q3,경기소비재,-0.23515143393192162,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.2212099224369856,003200
21,태광산업,2019,Q3,에너지_화학,-0.04377677085914533,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.2713009299143567,003240
21,한일시멘트,2019,Q3,건설,-0.03312599588747128,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.1571609347295915,003300
21,대한항공,2019,Q3,산업재,0.025140861976313933,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.1087596196296142,003490
21,영진약품,2019,Q3,헬스케어,0.24044015239586103,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.038869018300790426,003520
21,LG,2019,Q3,정보기술,-0.059076556994462875,0.0,-0.21649484536082508,0.0,-0.013758024542122271,0.0,0.0,-0.026056770304569987,003550
21,S&T중공업,2019,Q3,산업재,-0.12905589489096198,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,0.037368526319802337,003570
21,쌍용차,2019,Q3,경기소비재,-0.3314040789789173,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.24965893605324915,003620
21,남양유업,2019,Q3,생활소비재,-0.21883060991489223,0.0,-0.21649484536082508,0.0,-0.013886876580094354,0.0,0.0,-0.21975698492432408,003920
21,삼성정밀화학,2019,Q3,에너지_화학,-0.06714316158066486,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.19101586917316035,004000
21,현대제철,2019,Q3,철강_소재,-0.23592363470412236,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.27326187784493083,004020
21,한솔홀딩스,2019,Q3,경기소비재,-0.12828546915520633,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.20363961817776619,004150
21,신세계,2019,Q3,경기소비재,0.06796373283963282,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,0.011487325837382184,004170
21,농심,2019,Q3,생활소비재,-0.00952486751588151,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,0.2389364481694069,004370
21,세방전지,2019,Q3,경기소비재,-0.047217827068810836,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.20356217084195452,004490
21,조광피혁,2019,Q3,경기소비재,-0.01831826709875478,0.0,-0.21649484536082508,0.0,0.0,-0.013885848531973388,0.0,0.17964923513240655,004700
21,한솔테크닉스,2019,Q3,정보기술,-0.03381547227701083,0.4522865300296999,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.16385875546968584,004710
21,효성,2019,Q3,에너지_화학,-0.12678915871389274,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.09429147063849228,004800
21,삼광글라스,2019,Q3,철강_소재,-0.20192616725131085,0.0,-0.21649484536082508,0.0,-0.013890273082492244,0.0,0.0,0.012278646620486292,005090
21,빙그레,2019,Q3,생활소비재,-0.14858969059051724,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.04657183270994533,005180
21,롯데칠성,2019,Q3,생활소비재,-0.10676315554364323,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.18874623829601198,005300
21,현대차,2019,Q3,경기소비재,-0.1417448405253282,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.13813664420007102,005380
21,현대그린푸드,2019,Q3,생활소비재,-0.10379415904414765,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.2512865642853134,005440
21,POSCO,2019,Q3,철강_소재,-0.0369371482176359,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.07712050684768068,005490
21,삼립식품,2019,Q3,생활소비재,-0.009357330657772722,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.21491658150414625,005610
21,크라운제과,2019,Q3,생활소비재,-0.11345583980642095,0.0,-0.21649484536082508,0.0,0.0,0.0,0.0,-0.2034993236259083,005740
