,name,year,quarter,sector,Relative Return,자본금 변화율,금리 변화율,보유 주식 수 변화율,증자주식수 변화율,1인평균급여 변화율,기말 소유주식 수 변화율,Label,Code
5,경방,2023,Q3,경기소비재,-0.08219063219063219,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,-0.06536116314323508,000050
5,하이트진로,2023,Q3,생활소비재,0.06525524190560864,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,-0.14990381084427554,000080
5,유한양행,2023,Q3,헬스케어,-0.1365996389889667,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,0.09501216460727777,000100
5,CJ대한통운,2023,Q3,산업재,-0.0018312838947458498,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,0.45385138144132386,000120
5,두산,2023,Q3,산업재,-0.2355025124873475,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,0.7618153709008032,000150
5,대림산업,2023,Q3,건설,0.2218111008433589,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,-0.15609689068941437,000210
5,일동제약,2023,Q3,헬스케어,-0.10504188623918811,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,-0.18290683109768113,000230
5,한국타이어월드와이드,2023,Q3,경기소비재,0.2914854459102246,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,0.034485011002909904,000240
5,기아차,2023,Q3,경기소비재,0.011223085151632943,-0.002028508067803747,0.11207897793263655,0.0,0.0,0.0,0.0,0.5421023299411623,000270
5,조선내화,2023,Q3,철강_소재,-0.20592868253686974,-0.29637919999999995,0.11207897793263655,0.0,0.0,0.0,0.0,-0.23123545640332863,000480
5,동아쏘시오홀딩스,2023,Q3,헬스케어,0.07971995402686094,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,0.06673828483305849,000640
5,SK하이닉스,2023,Q3,정보기술,0.19518738408239644,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,0.12280654486687421,000660
5,영풍,2023,Q3,철강_소재,-0.11496775629119849,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,-0.11901841935253826,000670
5,현대건설,2023,Q3,건설,0.034736884736884716,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,-0.15828329584792822,000720
5,한화,2023,Q3,에너지_화학,-0.1137787505712034,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,0.06789821303561219,000880
5,CJ,2023,Q3,생활소비재,0.23725698679259047,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,0.10516296191705135,001040
5,LG상사,2023,Q3,산업재,-0.14747209053297525,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,-0.19492066041087908,001120
5,동국제강,2023,Q3,철강_소재,-0.2414258499784816,0.0,0.11207897793263655,0.0,0.0,0.0,0.0,-0.16895502636089346,001230
