접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20170316000712,Y,00158501,에스원,소액주주,"6,189",-,99.84%,"13,051,043",-,34.35%,2015-12-31,2015,Q4
20170331005086,Y,00158501,에스원,소액주주,"6,903",-,99.84%,"12,045,484",-,31.70%,2016-12-31,2016,Q4
20180402004329,Y,00158501,에스원,소액주주,"5,314",-,99.76%,"11,404,564",-,30.01%,2017-12-31,2017,Q4
20190401004677,Y,00158501,에스원,소액주주,"4,595",-,99.80%,"13,153,753",-,34.62%,2018-12-31,2018,Q4
20200330003830,Y,00158501,에스원,소액주주,"5,563",-,99.82%,"12,731,130",-,33.50%,2019-12-31,2019,Q4
20210310001205,Y,00158501,에스원,소액주주,"10,007","10,018",99.90%,"12,103,154","33,810,239",35.79%,2020-12-31,2020,Q4
20220308000980,Y,00158501,에스원,소액주주,"12,616","12,626",99.92%,"12,886,487","37,999,178",33.91%,2021-12-31,2021,Q4
20230307000691,Y,00158501,에스원,소액주주,"12,781","12,792",99.91%,"13,381,348","37,999,178",35.21%,2022-12-31,2022,Q4
20240313001360,Y,00158501,에스원,소액주주,"12,275","12,286",99.91%,"13,017,039","37,999,178",34.25%,2023-12-31,2023,Q4
20250312000984,Y,00158501,에스원,소액주주,"10,278","10,291",99.87%,"12,209,953","37,999,178",32.13%,2024-12-31,2024,Q4
