접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160329000959,Y,00116949,DN오토모티브,소액주주,"2,763",-,99.63%,"5,070,022",-,21.35%,2015-12-31,2015,Q4
20170330001837,Y,00116949,DN오토모티브,소액주주,"2,478",-,99.63%,"4,456,844",-,18.77%,2016-12-31,2016,Q4
20180402003544,Y,00116949,DN오토모티브,소액주주,"2,682",-,99.65%,"1,881,706",-,18.82%,2017-12-31,2017,Q4
20190701000100,Y,00116949,DN오토모티브,소액주주,"2,343",-,99.52%,"1,662,060",-,16.62%,2018-12-31,2018,Q4
20200330002898,Y,00116949,DN오토모티브,소액주주,-,-,-,-,-,-,2019-12-31,2019,Q4
20210323000549,Y,00116949,DN오토모티브,소액주주,-,-,-,-,-,-,2020-12-31,2020,Q4
20220321001500,Y,00116949,DN오토모티브,소액주주,"5,800","5,810",99.84%,"2,655,492","9,994,005",26.58%,2021-12-31,2021,Q4
20230322001200,Y,00116949,DN오토모티브,소액주주,"6,923","6,933",99.86%,"2,833,118","9,994,005",28.36%,2022-12-31,2022,Q4
20240315000015,Y,00116949,DN오토모티브,소액주주,"6,286","6,298",99.82%,"2,485,278","9,994,005",24.88%,2023-12-31,2023,Q4
20250313001452,Y,00116949,DN오토모티브,소액주주,"7,222","7,234",99.83%,"16,087,345","59,065,865",27.24%,2024-12-31,2024,Q4
