접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330000717,Y,00150244,하이트진로,소액주주,"19,948",-,99.88%,"22,185,837",-,31.63%,2015-12-31,2015,Q4
20210210001197,Y,00150244,하이트진로,소액주주,"26,140",-,99.92%,"27,375,790",-,39.03%,2016-12-31,2016,Q4
20210210001210,Y,00150244,하이트진로,소액주주,"16,991",-,99.88%,"25,010,760",-,35.66%,2017-12-31,2017,Q4
20210210001227,Y,00150244,하이트진로,소액주주,"26,280",-,99.94%,"26,470,668",-,37.74%,2018-12-31,2018,Q4
20200330002059,Y,00150244,하이트진로,소액주주,"19,438",-,99.96%,"26,536,649",-,37.83%,2019-12-31,2019,Q4
20210318000644,Y,00150244,하이트진로,소액주주,"75,485","75,497",99.98%,"26,424,605","70,133,611",37.68%,2020-12-31,2020,Q4
20220317000772,Y,00150244,하이트진로,소액주주,"133,079","133,090",99.99%,"25,213,741","70,133,611",35.95%,2021-12-31,2021,Q4
20230316001349,Y,00150244,하이트진로,소액주주,"95,849","95,860",99.99%,"26,097,735","70,133,611",37.21%,2022-12-31,2022,Q4
20240314000553,Y,00150244,하이트진로,소액주주,"97,754","97,766",99.99%,"26,352,841","70,133,611",37.58%,2023-12-31,2023,Q4
20250320000493,Y,00150244,하이트진로,소액주주,"90,136","90,147",99.99%,"26,395,449","70,133,611",37.64%,2024-12-31,2024,Q4
