접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330002581,Y,00157681,롯데정밀화학,소액주주,"24,094",-,99.95%,"17,377,380",-,67.35%,2015-12-31,2015,Q4
20170331002869,Y,00157681,롯데정밀화학,소액주주,"22,951",-,99.97%,"12,824,000",-,49.70%,2016-12-31,2016,Q4
20180402003781,Y,00157681,롯데정밀화학,소액주주,"18,133",-,99.95%,"13,120,327",-,50.84%,2017-12-31,2017,Q4
20190401002360,Y,00157681,롯데정밀화학,소액주주,"21,441",-,99.9%,"11,696,616",-,45.3%,2018-12-31,2018,Q4
20200330004434,Y,00157681,롯데정밀화학,소액주주,"19,126",-,99.9%,"13,078,150",-,50.7%,2019-12-31,2019,Q4
20210311001146,Y,00157681,롯데정밀화학,소액주주,"24,733","24,739",99.98%,"13,359,293","25,470,000",52.45%,2020-12-31,2020,Q4
20220310001085,Y,00157681,롯데정밀화학,소액주주,"57,107","57,114",99.99%,"13,678,328","25,800,000",53.03%,2021-12-31,2021,Q4
20230314001159,Y,00157681,롯데정밀화학,소액주주,"43,073","43,087",99.98%,"11,031,145","25,800,000",42.77%,2022-12-31,2022,Q4
20240329003375,Y,00157681,롯데정밀화학,소액주주,"39,367","39,381",99.98%,"11,120,282","25,800,000",43.12%,2023-12-31,2023,Q4
20250312001101,Y,00157681,롯데정밀화학,소액주주,"40,641","40,652",99.97%,"11,318,341","25,800,000",43.87%,2024-12-31,2024,Q4
