,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,비유동부채 변화율,법인세차감전 순이익 변화율,Label,Code
30,하이트진로,2017,Q2,생활소비재,0.06856733350009801,-0.07470193740685538,0.058471993297237956,0.0705316149159343,-1.7708285686901073,-0.001981459988192033,000080
30,CJ,2017,Q2,생활소비재,-0.13370168117654951,-0.07470193740685538,0.0031935988091149614,-0.9234042174282954,-0.8500881165783496,0.045448715919286786,001040
30,대상,2017,Q2,생활소비재,-0.06228111840310379,-0.07470193740685538,0.02783919423005643,0.011012804249244335,-0.2744133071247773,-0.124502577508572,001680
30,오리온,2017,Q2,생활소비재,-0.2537593226356348,-0.07470193740685538,3.6149592305155203,47.92166337625026,-4.68358155228902,-0.005459134665010176,001800
30,아모레G,2017,Q2,생활소비재,-0.19942881632401815,-0.07470193740685538,0.0009177839002851851,-0.012717444828105995,-0.9795733384194539,0.15783766278717792,002790
30,남양유업,2017,Q2,생활소비재,-0.22634890191258605,-0.07470193740685538,0.003240749186000036,-0.09662522282409203,-7.597568023759442,-0.12800420780693628,003920
30,농심,2017,Q2,생활소비재,-0.032183292021169714,-0.07470193740685538,0.009831763806827043,-0.11474294815587871,-0.3783038047026013,-0.03910110997365216,004370
30,빙그레,2017,Q2,생활소비재,-0.11675163638520118,-0.07470193740685538,0.37999964719396795,-0.17043401869136499,1.7550434283695724,-0.10708634507915683,005180
30,롯데칠성,2017,Q2,생활소비재,-0.14032625642741683,-0.07470193740685538,-0.02781567930068629,0.4609220713342408,-2.523479118310555,-0.21125151497241576,005300
30,현대그린푸드,2017,Q2,생활소비재,0.08208728133176543,-0.07470193740685538,0.020599854500151782,-0.036577105062885584,-0.3103699300097693,-0.2418276399515148,005440
30,삼립식품,2017,Q2,생활소비재,-0.27094591828379594,-0.07470193740685538,0.10340468706494432,-0.09351265187611224,2.6499109252148436,-0.12994220669409448,005610
30,크라운제과,2017,Q2,생활소비재,-0.31204707644521473,-0.07470193740685538,-0.00031474532683695156,0.007827908401027095,-1.0625287369069822,-0.23437317751347925,005740
30,GS리테일,2017,Q2,생활소비재,-0.2715185981900748,-0.07470193740685538,0.04074996350184623,0.014449875821862523,0.831687863288127,-0.21420762367075274,007070
30,오뚜기,2017,Q2,생활소비재,-0.07445487434312986,-0.07470193740685538,0.033061465451725836,-0.0029427882710244546,0.15435556350646573,-0.08551896752858136,007310
30,한국전력,2017,Q2,생활소비재,0.0010448224569447623,-0.07470193740685538,0.006772553544130977,0.02273278906745335,2.235185994642637,-0.22390797118682276,015760
30,KT&G,2017,Q2,생활소비재,0.04688529560606538,-0.07470193740685538,1.0425841100075703,0.002766455711353588,0.17189096858256026,-0.11074925009064832,033780
30,무학,2017,Q2,생활소비재,-0.08649614334894641,-0.07470193740685538,0.03282397069739895,0.6751545243960819,-0.48308996042152685,-0.25373412198109335,033920
30,한국가스공사,2017,Q2,생활소비재,-0.010915054086265114,-0.07470193740685538,-0.05994416645191092,0.009755513748809452,-1.4216114730812452,-0.23345477736653525,036460
30,팜스코,2017,Q2,생활소비재,-0.06096342456772376,-0.07470193740685538,0.018411618773277683,0.02092472693364189,-0.7261987230425602,-0.11817309188336764,036580
30,동원F&B,2017,Q2,생활소비재,-0.2286470140673431,-0.07470193740685538,0.04070650779829621,2.5994713392921813,-0.9463759625785565,-0.09503457636833912,049770
30,LG생활건강,2017,Q2,생활소비재,0.0016072670555496108,-0.07470193740685538,0.10427359859075769,0.02397073348621448,-0.015148302617532083,0.17307042264152556,051900
30,에이블씨엔씨,2017,Q2,생활소비재,-0.253690633644007,-0.07470193740685538,0.01536620948097811,0.31013729473054763,3.2186706182266995,-0.15940956503481982,078520
30,아모레퍼시픽,2017,Q2,생활소비재,-0.21285698170773493,-0.07470193740685538,0.022847572684854933,-0.10845501256864809,-0.5898091769888685,0.047417145870844835,090430
30,CJ제일제당,2017,Q2,생활소비재,-0.008414881660580582,-0.07470193740685538,5.9714163357815764e-05,-0.06003118170525512,-0.9932481551349271,-0.017687478711536045,097950
30,락앤락,2017,Q2,생활소비재,-0.08572963193987047,-0.07470193740685538,0.09300433392090857,0.3020833792905273,0.5571105407649619,0.5874181072855258,115390
30,이마트,2017,Q2,생활소비재,0.04740203493257829,-0.07470193740685538,0.022905791232170403,-0.045364143701440596,-0.6917744155916212,-0.08791830190678612,139480
30,삼양사,2017,Q2,생활소비재,-0.026816931333303352,-0.07470193740685538,0.050134419760023974,0.005245672990340067,-0.2546017266655807,-0.1294369650566947,145990
30,한국콜마,2017,Q2,생활소비재,-0.18239824431224655,-0.07470193740685538,0.015666647605117268,20.32273674785809,-0.16232461592171787,0.10711962666893787,161890
30,코스맥스,2017,Q2,생활소비재,-0.16122897208418904,-0.07470193740685538,0.14491274531396714,-0.02181221961366453,0.7292081740488527,0.0672484432325403,192820
