,name,year,quarter,sector,Relative Return,국제유가 변화율,부채총계 변화율,이익잉여금 변화율,비유동부채 변화율,영업이익 변화율,소비자물가지수 변화율,Label,Code
6,하이트진로,2023,Q2,생활소비재,-0.15510437639735503,-0.03519218134034163,-0.05112593418988398,-0.02626055787165582,0.009208579083249901,-0.8384316553527165,-0.3075171004307199,0.06525524190560864,000080
6,CJ,2023,Q2,생활소비재,-0.17919900942632128,-0.03519218134034163,-0.20959955712256473,0.005832896904294893,0.02287837532444903,-0.857424106651499,-0.3075171004307199,0.23725698679259047,001040
6,대상,2023,Q2,생활소비재,-0.11603061908663619,-0.03519218134034163,-0.004032830072731586,0.03261988164759111,0.025740115173348954,0.3867737264089872,-0.3075171004307199,0.20231955530211015,001680
6,오리온,2023,Q2,생활소비재,-0.10112309208470176,-0.03519218134034163,-0.0071564875524158245,-0.03585836004098364,0.01923993166240967,-0.9255040037130009,-0.3075171004307199,0.09904749246854505,001800
6,아모레G,2023,Q2,생활소비재,-0.0006872790240209092,-0.03519218134034163,-0.5275062521837133,0.0004715397525256737,-0.4243677732782719,-1.1236691008079802,-0.3075171004307199,-0.0855900374796735,002790
6,남양유업,2023,Q2,생활소비재,-0.14653587963211323,-0.03519218134034163,0.011600009230525288,-0.008140505369485407,0.05106960747199696,-0.568127727404176,-0.3075171004307199,0.08233999261266219,003920
6,농심,2023,Q2,생활소비재,0.02837237111550478,-0.03519218134034163,0.013718580956208148,0.014291257321718653,0.018927798509446925,-0.3136362681243684,-0.3075171004307199,0.24311145778868068,004370
6,빙그레,2023,Q2,생활소비재,0.0038271566715171526,-0.03519218134034163,0.0568729919841664,2.418457892941483,0.11691353104137381,1.5080797111002502,-0.3075171004307199,0.24468215121572648,005180
6,롯데칠성,2023,Q2,생활소비재,-0.12258151255371992,-0.03519218134034163,-0.08677373898677787,0.009332275092547748,-0.07817089631438956,-0.11288660678771989,-0.3075171004307199,0.19770512006767577,005300
6,현대그린푸드,2023,Q2,생활소비재,-0.1294554152404964,-0.03519218134034163,-0.09972627395871314,-0.001064364442186827,-0.03059143744037507,-1.2756553508026873,-0.3075171004307199,0.036903402736017006,005440
6,삼립식품,2023,Q2,생활소비재,-0.15021653276331445,-0.03519218134034163,-0.08041345793472732,0.0387372767239087,-0.19224812082845932,0.569752328624753,-0.3075171004307199,0.0066272894141746405,005610
6,크라운제과,2023,Q2,생활소비재,-0.12217600288614477,-0.03519218134034163,-0.08131820984859539,-0.0029528696175397107,-0.0035425242510829236,-1.039195864494704,-0.3075171004307199,0.002583117244771331,005740
6,GS리테일,2023,Q2,생활소비재,-0.10015120560834488,-0.03519218134034163,0.02535090260933459,0.01584030224582955,0.06604524436479697,1.202788089571043,-0.3075171004307199,0.06785490497220799,007070
6,오뚜기,2023,Q2,생활소비재,-0.21360309296137564,-0.03519218134034163,-0.0409359726596259,0.018369428902298646,0.11772234820860428,-0.0893001291371478,-0.3075171004307199,0.06850714615412441,007310
6,한국전력,2023,Q2,생활소비재,-0.08901985447336633,-0.03519218134034163,0.01704132465185837,1.8405328934180303,-0.01780548557664985,-0.8615333884337624,-0.3075171004307199,-0.014868313616894745,015760
6,KT&G,2023,Q2,생활소비재,-0.045784684525965166,-0.03519218134034163,-0.20779507149569187,0.7395289595988181,0.06400649037372386,0.05874877694186975,-0.3075171004307199,0.11667024549377489,033780
6,무학,2023,Q2,생활소비재,-0.04775486317670235,-0.03519218134034163,0.08339758289398835,0.020346440727549098,0.2977732532513855,-0.2980763785287299,-0.3075171004307199,0.018691673343267066,033920
6,한국가스공사,2023,Q2,생활소비재,-0.08128187759639563,-0.03519218134034163,-0.10756201160002998,-0.027762243815071086,0.04143621874915415,-0.8597885808884591,-0.3075171004307199,-0.039048603936852,036460
6,팜스코,2023,Q2,생활소비재,0.018395632763530914,-0.03519218134034163,0.02789619709595592,0.06943971443289265,0.4076422921565046,0.15118798418013446,-0.3075171004307199,-0.188075508663744,036580
6,동원F&B,2023,Q2,생활소비재,-0.1676826942253406,-0.03519218134034163,0.05304871795298949,0.18208505626675064,-0.27793277654116333,-0.5882877522164348,-0.3075171004307199,0.18256459923126583,049770
6,LG생활건강,2023,Q2,생활소비재,-0.17802730342237955,-0.03519218134034163,-0.08397813952642341,0.01287727922708548,-0.057360600175572984,0.20559912974405603,-0.3075171004307199,-0.3125996810207337,051900
6,에이블씨엔씨,2023,Q2,생활소비재,-0.09499247683403625,-0.03519218134034163,0.14101886700332567,0.010790723766926691,-0.03202603151680883,-0.6852218803795463,-0.3075171004307199,-0.09271437782076081,078520
6,아모레퍼시픽,2023,Q2,생활소비재,0.09135121616408058,-0.03519218134034163,-0.09370004463107784,0.0024114624624085312,0.07835275122441421,-0.8215351258176171,-0.3075171004307199,0.06293073325997384,090430
6,CJ제일제당,2023,Q2,생활소비재,-0.0763624167881985,-0.03519218134034163,-0.0012367961402428573,0.0032131952028995325,-0.05935418046715446,0.11232988085129958,-0.3075171004307199,0.04023788741864315,097950
6,락앤락,2023,Q2,생활소비재,-0.0557954291272384,-0.03519218134034163,-0.1558166920395777,0.14443531212668526,0.007094759062851397,-0.19979226576293496,-0.3075171004307199,0.08561540590786357,115390
6,이마트,2023,Q2,생활소비재,-0.12589506555070507,-0.03519218134034163,-0.0340771650327385,-0.015734289894140385,-0.04992642633115585,-1.401411245979555,-0.3075171004307199,0.017565706024964257,139480
