,name,year,quarter,sector,Relative Return,국제유가 변화율,당기순이익(손실) 변화율,이익잉여금 변화율,비유동자산 변화율,Label,Code
19,하이트진로,2020,Q1,생활소비재,0.30181752030032916,-0.20454187036744997,-2.5170557590886338,-0.06889966315890861,-0.0040397637721094615,-0.0446657728861653,000080
19,CJ,2020,Q1,생활소비재,0.12774314746819232,-0.20454187036744997,1.7728645599045887,-0.010545275190710912,-0.005106075742739247,-0.1269689384985466,001040
19,대상,2020,Q1,생활소비재,0.6107140407435353,-0.20454187036744997,1.42440615044941,0.06540657268248662,-0.007423344569721491,-0.27923538404857423,001680
19,오리온,2020,Q1,생활소비재,0.17173407717340772,-0.20454187036744997,-2.745570844035189,0.43009542142673385,-8.383369734199508e-05,-0.3138914687046589,001800
19,아모레G,2020,Q1,생활소비재,-0.0450300553801985,-0.20454187036744997,-3.416000428380622,0.0038030003832405512,0.11128301145170716,-0.1954920218115641,002790
19,남양유업,2020,Q1,생활소비재,-0.003714744304484721,-0.20454187036744997,7.407015125287044,-0.016504462165055744,-0.0006557713661673459,-0.30531429207768973,003920
19,농심,2020,Q1,생활소비재,0.10675410669059096,-0.20454187036744997,1.420249434566475,0.008717470297038732,0.02490037701766301,-0.11604480348318336,004370
19,빙그레,2020,Q1,생활소비재,0.43685215692563384,-0.20454187036744997,1.0549242508119434,-0.8119134429516685,0.023122313240184766,-0.3558246598915814,005180
19,롯데칠성,2020,Q1,생활소비재,0.13431404844903122,-0.20454187036744997,-0.9877806613991582,-0.01516653216464281,0.0002501746745029454,-0.3106751524525341,005300
19,현대그린푸드,2020,Q1,생활소비재,0.10751479180874793,-0.20454187036744997,10.125798305969756,0.005001411243322984,-0.07316340625510998,-0.24762132839533246,005440
19,삼립식품,2020,Q1,생활소비재,0.10903566447499505,-0.20454187036744997,-0.9225958277139784,-0.016222850590304372,0.0006954747215528467,-0.3618402881216224,005610
19,크라운제과,2020,Q1,생활소비재,0.31164518828451887,-0.20454187036744997,-1.1673259767219741,0.013600768601023105,-0.0005719519376384818,-0.3335905535503235,005740
19,GS리테일,2020,Q1,생활소비재,0.34614867405362665,-0.20454187036744997,-7.963505051757168,0.01156906500110022,-0.01324388461178283,-0.45561649556391937,007070
19,오뚜기,2020,Q1,생활소비재,0.03994161298657736,-0.20454187036744997,2.8827164018795375,0.01609088997333541,0.026543995268713427,-0.14873510765277545,007310
19,한국전력,2020,Q1,생활소비재,0.16185071314639732,-0.20454187036744997,-0.7879102284740958,-0.008255156231463112,0.00617708472008438,-0.34533225014544033,015760
19,KT&G,2020,Q1,생활소비재,-0.13369901115078148,-0.20454187036744997,0.8545454276616347,-0.7067213840172792,0.005586050471261483,-0.12932151669284642,033780
19,무학,2020,Q1,생활소비재,0.40107723248341387,-0.20454187036744997,-663.9069605590519,-0.1055885816358263,-0.08342517425880391,-0.38563195529230704,033920
19,한국가스공사,2020,Q1,생활소비재,0.23110389475218057,-0.20454187036744997,-8.545759180644133,0.100931039653408,-0.0075166641727665295,-0.2847226055874563,036460
19,팜스코,2020,Q1,생활소비재,0.7664491329259047,-0.20454187036744997,-0.6877649520190274,-0.03952847565664985,-0.023701581083801826,-0.14744586612909205,036580
19,동원F&B,2020,Q1,생활소비재,0.22822744890011745,-0.20454187036744997,48.51359330696641,-0.5399461790622588,0.06426397265163009,-0.3920448019939634,049770
19,LG생활건강,2020,Q1,생활소비재,0.24265827239666837,-0.20454187036744997,0.6967505036637971,0.006450801906619175,0.02882077308649378,-0.19484384965703985,051900
19,에이블씨엔씨,2020,Q1,생활소비재,0.18765802250911778,-0.20454187036744997,-0.7881914084002551,-0.052806972732937885,-0.02163489456964307,-0.4017103029593384,078520
19,아모레퍼시픽,2020,Q1,생활소비재,-0.05371070295415184,-0.20454187036744997,-37.02668725521688,0.009974579995478017,0.0030455811653329334,-0.1978963527095429,090430
19,CJ제일제당,2020,Q1,생활소비재,0.37294419818550895,-0.20454187036744997,-3.248231436444526,0.11421533946514817,0.005596670422304495,0.06065065583746565,097950
19,락앤락,2020,Q1,생활소비재,0.18625294386618746,-0.20454187036744997,-1.2019654162068119,-0.016984149856565933,0.0006865322254110406,-0.19384377272804532,115390
19,이마트,2020,Q1,생활소비재,-0.024471884886212852,-0.20454187036744997,0.3766110885234366,0.020315012364024776,-0.03570262343088482,-0.18220162462543427,139480
19,삼양사,2020,Q1,생활소비재,0.2858026744213026,-0.20454187036744997,-9.714476763624205,0.0846173825008878,-0.01275366456235627,0.7021486315459677,145990
19,한국콜마,2020,Q1,생활소비재,0.08847361165387174,-0.20454187036744997,1.6706945758789766,0.03447574101503448,0.003840430396014227,-0.04626839410758293,161890
19,코스맥스,2020,Q1,생활소비재,0.2093873333086102,-0.20454187036744997,1.0985870748643292,0.010633459357012764,0.01689656330607603,-0.16843584797154068,192820
