,name,year,quarter,sector,Relative Return,이익잉여금 변화율,비유동자산 변화율,비유동부채 변화율,GDP 변화율,자본총계 변화율,매출액 변화율,Label,Code
18,하이트진로,2020,Q4,생활소비재,-0.13249684121858768,-0.10302111760401089,-0.029046319094423012,-0.05936497526718176,0.06330876461606394,-0.030624713227711653,-0.17501687502731245,-0.061808521596376134,000080
18,CJ,2020,Q4,생활소비재,-0.08034132147644424,-0.0050442249377706805,0.059975094260653394,-0.734842390154945,0.06330876461606394,-0.0031136428423581552,0.015395639995069654,0.1407733576447262,001040
18,대상,2020,Q4,생활소비재,-0.2270579990150396,-0.01935828128277406,-0.07037721716410617,-0.017742954018179602,0.06330876461606394,-0.023887300624633845,-0.1280731435308854,0.15988297813034139,001680
18,오리온,2020,Q4,생활소비재,-0.15148079843783901,0.046578488805371965,-0.0009674412784755893,-0.05849621095695523,0.06330876461606394,0.000931066520990731,-0.011378728109333047,0.23761294047568837,001800
18,아모레G,2020,Q4,생활소비재,0.04905463680437078,-0.03755802216495441,-0.03888027979852082,0.011850582515684716,0.06330876461606394,-0.023125240237849676,0.015354382677247314,0.15689648711772555,002790
18,남양유업,2020,Q4,생활소비재,-0.13591425916226296,-0.015174295595625553,-0.12013029677448117,-0.04111927710331853,0.06330876461606394,-0.015473274423676076,-0.0694597335601207,0.2628813846666824,003920
18,농심,2020,Q4,생활소비재,-0.29122692187961463,0.006439455738519229,0.002621044757540991,0.12083697580542019,0.06330876461606394,0.005703088218233177,-0.02397200550946821,0.053542562455132406,004370
18,빙그레,2020,Q4,생활소비재,-0.1720976815547221,-0.15746254688205952,0.4839470216492059,-0.14153396045933153,0.06330876461606394,-0.013293055373343021,-0.27655083645508394,0.03773731274771164,005180
18,롯데칠성,2020,Q4,생활소비재,0.11747541183357663,-0.030276882367736957,0.024761963256968667,-0.013446238288995493,0.06330876461606394,0.06185155531640851,-0.22219245468301663,0.34155185870032084,005300
18,현대그린푸드,2020,Q4,생활소비재,0.14419852224148166,-0.008458545933064388,0.03688687989145967,-0.07050219006712355,0.06330876461606394,0.0186125307416245,-0.06274708299506981,0.06373987950585319,005440
18,삼립식품,2020,Q4,생활소비재,-0.19541371737075794,0.03102938839982028,-0.021085533142820245,-0.12260129240477102,0.06330876461606394,0.02914458611326065,0.08619164032272986,0.18978576764851554,005610
18,크라운제과,2020,Q4,생활소비재,-0.14594338005511676,0.13429119920647925,0.06216736263134348,0.01313247587152655,0.06330876461606394,0.08231874031742548,-0.02601332229258768,0.27564720763419176,005740
18,GS리테일,2020,Q4,생활소비재,-0.07399029372326443,0.006679638764601981,0.002754084371635379,0.0005104477749833247,0.06330876461606394,0.008794453851313166,-0.08586604776142825,-0.08140131397865916,007070
18,오뚜기,2020,Q4,생활소비재,-0.17867968258618164,0.007872758078043107,0.005817684844707571,-0.2682885085614023,0.06330876461606394,0.007722008462778263,-0.09548949631862447,-0.07938138595260034,007310
18,한국전력,2020,Q4,생활소비재,-0.1587651807222213,0.024548680154163227,0.005672432526026672,-0.02827715697080635,0.06330876461606394,0.016453468111738978,-0.07262649943388866,0.02376252074291568,015760
18,KT&G,2020,Q4,생활소비재,-0.2794323922985238,0.3696414548667446,0.025826776576103327,-0.05722847315054613,0.06330876461606394,0.039784170037736155,0.053318601714388736,0.0009325416665766709,033780
18,무학,2020,Q4,생활소비재,-0.1905464928633535,0.03780646769521079,-0.07075347595371784,-0.633087572227907,0.06330876461606394,0.03711097741514968,0.04211576753541313,0.3123247698908463,033920
18,한국가스공사,2020,Q4,생활소비재,-0.11075133889394646,0.040404518701038006,-0.028599380160948873,-0.018570245977946653,0.06330876461606394,0.042510166676763994,0.6103468074665894,-0.028401045538297663,036460
18,팜스코,2020,Q4,생활소비재,0.3711014065911746,-0.021733176259626785,-0.07189422012655322,-0.07685078094381437,0.06330876461606394,-0.035171246594863925,0.04910476535255315,0.06868956637303139,036580
18,동원F&B,2020,Q4,생활소비재,-0.11099656668751529,0.045305653370320886,-0.022446166062507378,0.0570917007220495,0.06330876461606394,2.1848443234384618e-05,-0.2705992417147579,0.1762668013330816,049770
18,LG생활건강,2020,Q4,생활소비재,-0.277950793249622,0.011689252736563294,0.05996896427690679,0.7112033575061847,0.06330876461606394,0.03730264013402951,-0.10729881025208621,-0.015655530184086656,051900
18,에이블씨엔씨,2020,Q4,생활소비재,-0.24000061195765252,-1.0150629441435755,-0.34985339027200324,-0.07653775089320802,0.06330876461606394,-0.3099322808811058,0.25044089149554183,0.0005029002568398416,078520
18,아모레퍼시픽,2020,Q4,생활소비재,0.17638115442411384,-0.013521089529572206,-0.0121166216192643,-0.030410941339538256,0.06330876461606394,-0.01162555960958056,-0.07574663628727718,0.16253012855077117,090430
18,CJ제일제당,2020,Q4,생활소비재,-0.09570825568965349,-0.04138685061726166,-0.011257868188261355,-0.04237261747178178,0.06330876461606394,-0.02694003455050331,-0.13587701927039508,0.05438707543164149,097950
18,이마트,2020,Q4,생활소비재,-0.16395308225158622,-0.00028819365189070023,0.0104434512807281,-0.10105202244634792,0.06330876461606394,0.01785798183754972,-0.05417450923621292,-0.13763181476906688,139480
18,삼양사,2020,Q4,생활소비재,-0.09149136926236331,-0.022083896431671968,0.05889513260682433,-0.03647256640057461,0.06330876461606394,0.01618395555650376,0.02545821448468688,0.09971512400644332,145990
18,한국콜마,2020,Q4,생활소비재,-0.024710463509609343,0.27942071151702796,-0.025623011399328655,-0.049052684403196545,0.06330876461606394,0.1489101987066932,-0.31566569720496074,-0.026327466942979938,161890
