,name,year,quarter,sector,Relative Return,국제유가 변화율,비유동부채 변화율,자본총계 변화율,비유동자산 변화율,영업이익 변화율,법인세차감전 순이익 변화율,Label,Code
5,하이트진로,2023,Q3,생활소비재,0.06525524190560864,0.106533304958502,0.1534918485429133,0.011470825467099433,-3.427493868513043e-05,4.940611665452566,-3.205327338075375,-0.14990381084427554,000080
5,CJ,2023,Q3,생활소비재,0.23725698679259047,0.106533304958502,0.025254475159158796,0.004096622552653084,0.0316585615253433,-0.14509910933414283,0.1634556802666809,0.10516296191705135,001040
5,대상,2023,Q3,생활소비재,0.20231955530211015,0.106533304958502,0.0035075270613653675,0.019934195473575,0.006776147810416244,0.3536436488145913,-0.010105261558042256,-0.18735620286412608,001680
5,오리온,2023,Q3,생활소비재,0.09904749246854505,0.106533304958502,0.0043341107601491125,0.0014432566163897764,0.0024569212130651774,1.0013927105972225,1.8792747425188683,-0.22410267205819728,001800
5,아모레G,2023,Q3,생활소비재,-0.0855900374796735,0.106533304958502,0.052095060638998714,0.006727113428855125,0.004821176994932896,-0.503452789422156,9.581751182603815,-0.2113172777498022,002790
5,남양유업,2023,Q3,생활소비재,0.08233999261266219,0.106533304958502,-0.020107263389877117,-0.006186335668034726,-0.01590048318359938,-0.20357693672486876,-0.24469104758792593,0.12716429007244945,003920
5,농심,2023,Q3,생활소비재,0.24311145778868068,0.106533304958502,-0.028774285245781184,0.016036162447492508,0.010359406527498782,0.2580793532881738,0.17289364870066337,-0.3832606228220312,004370
5,빙그레,2023,Q3,생활소비재,0.24468215121572648,0.106533304958502,-0.007632707849610565,0.06308393520003364,-0.010765085323088952,0.40739177148115324,0.4201807368831152,-0.18555266399671505,005180
5,롯데칠성,2023,Q3,생활소비재,0.19770512006767577,0.106533304958502,-0.0009405614736194279,0.03932703915144198,-0.0016900598380182874,0.5217877334208278,0.8983658356103472,-0.29854025651173866,005300
5,현대그린푸드,2023,Q3,생활소비재,0.036903402736017006,0.106533304958502,0.36594538993286485,0.383021752709626,0.36498291371777736,-0.919531746031746,-1.2273019417033089,0.08749462331802357,005440
5,삼립식품,2023,Q3,생활소비재,0.0066272894141746405,0.106533304958502,-0.054087860571124025,0.025948718244346303,-0.04518686145422213,-0.2589571196981666,-0.27412918993967705,-0.23143933308341808,005610
5,크라운제과,2023,Q3,생활소비재,0.002583117244771331,0.106533304958502,0.008199403998065291,-0.00285665824821435,-0.0004764024831023228,-0.5703393990399928,-0.2536866168978088,-0.06942558392178161,005740
5,GS리테일,2023,Q3,생활소비재,0.06785490497220799,0.106533304958502,-0.07722410995713103,0.015177611647266831,0.008357404476413643,0.17123125898422997,0.5491216911370826,-0.23976420579566762,007070
5,오뚜기,2023,Q3,생활소비재,0.06850714615412441,0.106533304958502,0.006153775652151694,0.02466785286661377,-0.0006264116097307593,0.3259791396707197,0.3501210717392853,-0.1020176622102293,007310
5,한국전력,2023,Q3,생활소비재,-0.014868313616894745,0.106533304958502,-0.02944168792407653,-0.05547502665016879,0.007404629751003755,-0.22634618119755368,-0.18218117948744894,0.3019371400496577,015760
5,KT&G,2023,Q3,생활소비재,0.11667024549377489,0.106533304958502,4.400596526596545,-0.02226625324575937,0.061981736747718896,0.20564429195448852,0.25481421479272104,-0.08254307423163569,033780
5,무학,2023,Q3,생활소비재,0.018691673343267066,0.106533304958502,-0.18461131487913118,0.005269935317893992,-0.2611486992422304,-0.33460501674106324,-0.6918882039281434,-0.17894331698613736,033920
5,한국가스공사,2023,Q3,생활소비재,-0.039048603936852,0.106533304958502,0.08167884352780663,-0.037560478320813995,0.016921216760542368,1.2174237050407242,0.5072553425225068,0.07310244983494102,036460
5,팜스코,2023,Q3,생활소비재,-0.188075508663744,0.106533304958502,-0.04905456142051656,0.0201563702162868,0.0026889326148487047,0.17929588104426775,-0.5547023275400906,-0.05737346969145729,036580
5,동원F&B,2023,Q3,생활소비재,0.18256459923126583,0.106533304958502,0.6905977322918218,0.0390234182278788,0.07921191388774163,2.6823477144057115,4.520515888909837,-0.10548364003736209,049770
5,LG생활건강,2023,Q3,생활소비재,-0.3125996810207337,0.106533304958502,-0.030087257281666724,0.014007653190733604,0.0013607178162402533,0.09018903295291825,0.1935363976253459,-0.061355011607819664,051900
5,에이블씨엔씨,2023,Q3,생활소비재,-0.09271437782076081,0.106533304958502,0.17775325639038964,-0.24673410934641293,0.07271219910883087,-0.3047490090561664,0.626586744887009,-0.2982381018225726,078520
5,아모레퍼시픽,2023,Q3,생활소비재,0.06293073325997384,0.106533304958502,-0.0290088394013428,0.005793510039429961,-0.005316234191624636,1.3806878682153263,2.189060990258262,-0.26327996349326727,090430
5,CJ제일제당,2023,Q3,생활소비재,0.04023788741864315,0.106533304958502,-0.1428382634764973,0.0049151251508656735,-0.005343025848300598,1.5585622616929609,1.5190945683316381,-0.15498298769793922,097950
5,락앤락,2023,Q3,생활소비재,0.08561540590786357,0.106533304958502,0.006338727305879699,0.007536000274334986,-0.004833656559076305,4.074660700644694,-0.8611723333909025,-0.07752359056629987,115390
5,이마트,2023,Q3,생활소비재,0.017565706024964257,0.106533304958502,0.10484667329970554,0.013659210396710142,-0.007117239914996243,-5.270005743531652,-2.432257268253843,-0.21079048303497394,139480
5,삼양사,2023,Q3,생활소비재,0.10181730431730429,0.106533304958502,0.02032275206054046,0.04658344361238842,0.029773787100686233,-0.2584289975594324,0.5668046669175761,-0.005154027210595033,145990
