,name,year,quarter,sector,Relative Return,국제유가 변화율,영업이익 변화율,자산총계 변화율,유동부채 변화율,매출액 변화율,GDP 변화율,Label,Code
11,하이트진로,2022,Q1,생활소비재,-0.012106847679306795,0.2602194672474454,0.6800022376931831,0.05076033269726077,0.06419331327102062,0.08248706980528042,0.004832000385876389,-0.05541183527418489,000080
11,CJ,2022,Q1,생활소비재,0.08096572305841608,0.2602194672474454,4.060620788272118,0.015026197894472126,0.289992319917026,0.03862142071999286,0.004832000385876389,0.014524224541941813,001040
11,대상,2022,Q1,생활소비재,-0.00427428766806922,0.2602194672474454,1.758853041157142,0.04760682820087192,-0.026212540109977422,0.07432328304684899,0.004832000385876389,0.00908591641667051,001680
11,오리온,2022,Q1,생활소비재,0.05552237888351503,0.2602194672474454,6.006456225253842,0.005681155894883272,0.7780987257581282,2.3781730038538362,0.004832000385876389,0.11705508667435624,001800
11,아모레G,2022,Q1,생활소비재,0.058838877200013344,0.2602194672474454,-5.16477236330467,0.009142292923508766,0.5449049020805175,0.038634652475603604,0.004832000385876389,-0.06572536495685012,002790
11,남양유업,2022,Q1,생활소비재,0.00540607024117299,0.2602194672474454,0.0765331974780743,-0.012233165943732471,0.02990554637777021,-0.04599389556949496,0.004832000385876389,0.01619361040473865,003920
11,농심,2022,Q1,생활소비재,0.08963650623354918,0.2602194672474454,0.03767911344220254,0.012867829074469483,0.06541504839646617,0.0005152940829384889,0.004832000385876389,0.018852195521839837,004370
11,빙그레,2022,Q1,생활소비재,0.06169277134863508,0.2602194672474454,-1.9041654549967175,0.03073681452815702,0.1555717024926715,0.10319349606391004,0.004832000385876389,-0.056387606328970115,005180
11,롯데칠성,2022,Q1,생활소비재,0.2320650224295948,0.2602194672474454,1.625672539291541,-0.002627533764413492,0.2603056900046017,0.04485957917551886,0.004832000385876389,-0.09264071438839692,005300
11,현대그린푸드,2022,Q1,생활소비재,0.04004255462786395,0.2602194672474454,1.6811126533391185,-0.0044153892219312985,-0.008701246034882204,0.043560674738745364,0.004832000385876389,-0.033150363955609836,005440
11,삼립식품,2022,Q1,생활소비재,-0.09474296463364472,0.2602194672474454,-0.5372459755098034,0.011515968545754873,0.05817359297215585,-0.07891292806277361,0.004832000385876389,0.08237324862937995,005610
11,크라운제과,2022,Q1,생활소비재,0.0008654444457313545,0.2602194672474454,-26.124290633997973,0.014092866970699003,0.02890303220893986,1.7494707770032236,0.004832000385876389,-0.17176966543518066,005740
11,GS리테일,2022,Q1,생활소비재,-0.032465579571449535,0.2602194672474454,0.17900657065057834,0.015892341110257835,0.11745317701526359,-0.023873645267978083,0.004832000385876389,0.03112638205578504,007070
11,오뚜기,2022,Q1,생활소비재,0.11998002740190816,0.2602194672474454,1.0598221415875972,0.00014963991712391156,0.05205906667679239,0.08483860028407197,0.004832000385876389,0.08099068262893837,007310
11,한국전력,2022,Q1,생활소비재,0.007554649125326733,0.2602194672474454,1.1913509898834027,0.029354918959550336,0.17156662126064304,0.04786673031510946,0.004832000385876389,0.025871117517250262,015760
11,KT&G,2022,Q1,생활소비재,0.08123081673494727,0.2602194672474454,0.47490534913969307,0.011075011380321076,0.24012655654833437,-0.007626099185097157,0.004832000385876389,0.029769985178088477,033780
11,무학,2022,Q1,생활소비재,-0.1437043930860703,0.2602194672474454,3.386937502372823,-0.01802570527909375,-0.008062275311585987,0.1317006851727358,0.004832000385876389,-0.08748334979096431,033920
11,한국가스공사,2022,Q1,생활소비재,0.09895568846111666,0.2602194672474454,1.4308359565560362,0.14933225532318373,0.3888677921650743,0.5140919388818563,0.004832000385876389,-0.03392703926513722,036460
11,팜스코,2022,Q1,생활소비재,0.08929084686128183,0.2602194672474454,-2.088713722588575,0.10965670521866833,0.1944671161371434,-0.04438990448663804,0.004832000385876389,-0.10020767742549733,036580
11,동원F&B,2022,Q1,생활소비재,-0.06759196413551521,0.2602194672474454,2.3046883323753016,0.029825172545796974,0.06853622007046556,0.21903215211928018,0.004832000385876389,0.05616131133753853,049770
11,LG생활건강,2022,Q1,생활소비재,-0.002431085539437889,0.2602194672474454,-0.21049067094194363,-0.012761888535521293,0.041364190847690274,-0.14512203626819664,0.004832000385876389,0.09437621745332392,051900
11,에이블씨엔씨,2022,Q1,생활소비재,-0.018200180565223326,0.2602194672474454,-1.3325309473744609,0.033402765897178055,0.1413683383452886,-0.14588429367430078,0.004832000385876389,-0.20376928896607693,078520
11,아모레퍼시픽,2022,Q1,생활소비재,0.08752471738103038,0.2602194672474454,2.303581716330081,-0.01032103135845619,-0.15840670681744162,-0.09094063572333033,0.004832000385876389,-0.19462244117933306,090430
11,CJ제일제당,2022,Q1,생활소비재,0.19318561101359816,0.2602194672474454,-5.874061467684054,0.02262982568163463,-0.15268275923115426,0.1120102281620785,0.004832000385876389,0.0660073367602374,097950
11,락앤락,2022,Q1,생활소비재,0.11606639681184697,0.2602194672474454,-9.471811411200935,0.11490809922395395,-0.22510035191634326,0.0670708667429043,0.004832000385876389,-0.10792438754829758,115390
11,이마트,2022,Q1,생활소비재,0.11240786658832445,0.2602194672474454,1.1731445727029874,0.011762270692796895,-0.13176585141199837,0.054053692748778914,0.004832000385876389,-0.09212274454057562,139480
11,삼양사,2022,Q1,생활소비재,0.16705224847281808,0.2602194672474454,-1.2680677571227492,0.05090262012086111,-0.23614621435246408,-0.018010966463993694,0.004832000385876389,-0.12848526317521378,145990
