,name,year,quarter,sector,Relative Return,영업이익 변화율,이익잉여금 변화율,비유동자산 변화율,법인세차감전 순이익 변화율,매출액 변화율,부채총계 변화율,Label,Code
20,하이트진로,2019,Q4,생활소비재,0.038010294575439196,-0.32379792221962045,-0.16296750789433656,-0.015803933380092117,-0.6039890403462096,0.05866835754624522,-0.0364310175520145,0.30181752030032916,000080
20,CJ,2019,Q4,생활소비재,-0.12836156294329962,-0.12717008443991185,0.008625523468160257,0.04463898819980927,0.09924160118006253,0.06926147537427907,0.27409581398444205,0.12774314746819232,001040
20,대상,2019,Q4,생활소비재,-0.17116254653552745,-0.738569248994904,0.02373104038395568,-0.02468428575655912,0.3052966724290622,-0.09057439999858086,0.03757895647334042,0.6107140407435353,001680
20,오리온,2019,Q4,생활소비재,-0.1504634047634513,-0.7109621044324965,-0.42290713552775494,0.0070893392689685975,0.39434810743991977,-0.11929344676583042,0.3010996787218281,0.17173407717340772,001800
20,아모레G,2019,Q4,생활소비재,-0.14143855502809646,-1.0277598210503645,-0.012065246620204362,-0.01485964758394509,-1.1801021900108184,0.1541162474850828,0.13778726906984073,-0.0450300553801985,002790
20,남양유업,2019,Q4,생활소비재,-0.21975698492432408,0.41140000653998987,-0.006970197006802903,0.0037003193138653856,1.3394534132214244,0.027408438748920627,-0.03631631066540064,-0.003714744304484721,003920
20,농심,2019,Q4,생활소비재,0.2389364481694069,0.11254193552394631,0.0022954416870135663,0.0047835587149041014,0.13584025996139792,0.027963332618129,-0.060108234384121495,0.10675410669059096,004370
20,빙그레,2019,Q4,생활소비재,-0.04657183270994533,-1.0282709707470221,0.003643609933263514,-0.01233540177520831,-0.9212056978829177,-0.29847881017690203,-0.19632073229909275,0.43685215692563384,005180
20,롯데칠성,2019,Q4,생활소비재,-0.18874623829601198,-1.150622399719342,-0.05298794476701074,-0.04864520421130247,-5.57099759662638,-0.20318656442021021,-0.08258145291486751,0.13431404844903122,005300
20,현대그린푸드,2019,Q4,생활소비재,-0.2512865642853134,-0.3452304410913688,-0.008536778670389156,0.00898769607132377,-0.7901207226529587,-0.04337304490003313,-0.08238080788615487,0.10751479180874793,005440
20,삼립식품,2019,Q4,생활소비재,-0.21491658150414625,1.076606204616065,0.038013807628310525,0.06863468950518614,1.3790092560135427,0.3076711882900769,0.0858261921469543,0.10903566447499505,005610
20,크라운제과,2019,Q4,생활소비재,-0.2034993236259083,-0.9471606624769817,-0.1186616511141052,-0.061690628108902024,-69.7006374552232,-0.22916503782230713,-0.004471856057121526,0.31164518828451887,005740
20,GS리테일,2019,Q4,생활소비재,-0.1010458152912597,-0.526695053676417,-0.01086653542793814,0.05882667877559178,-1.1239296638008869,-0.06860104486185781,0.054784481237781346,0.34614867405362665,007070
20,오뚜기,2019,Q4,생활소비재,-0.02672794854789709,-0.3601807754352703,0.012615338507120377,0.03558829422634879,-0.5268725304641009,-0.015288151588355725,-0.08273242833864747,0.03994161298657736,007310
20,한국전력,2019,Q4,생활소비재,-0.15232934492999803,-3.035675584076203,-0.028147384787170382,0.013690632004329517,-45.570541585527614,-0.0733867556101897,0.056464957783175285,0.16185071314639732,015760
