,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,부채총계 변화율,비유동자산 변화율,소비자물가지수 변화율,Label,Code
23,하이트진로,2019,Q1,생활소비재,0.13211775161023842,-0.06709658363690052,0.5745497952748062,-2.8027381050160685,0.03482530829707153,0.02281548901552677,-0.6874179652905958,0.0872777002159705,000080
23,CJ,2019,Q1,생활소비재,-0.1025298796100788,-0.06709658363690052,-0.010962648062234681,2.4244923121743223,0.3158812349784681,0.006704233237018853,-0.6874179652905958,-0.22322779129095355,001040
23,대상,2019,Q1,생활소비재,-0.1110409216559617,-0.06709658363690052,0.007737813478325473,-13.855683758889123,0.21764858273454646,0.016791748590101463,-0.6874179652905958,-0.045225165199967235,001680
23,오리온,2019,Q1,생활소비재,0.05690690037991064,-0.06709658363690052,-0.5166194444124357,1.1790902867316215,4.480502986397194,-0.005230914790510743,-0.6874179652905958,-0.10415342262919178,001800
23,아모레G,2019,Q1,생활소비재,0.01831549592935707,-0.06709658363690052,0.019844772334498773,10.662312602334579,0.46788752636997955,0.007241672382942044,-0.6874179652905958,-0.1419193800760003,002790
23,남양유업,2019,Q1,생활소비재,0.025595438990866713,-0.06709658363690052,0.0012391164281579936,-0.77339266940667,0.8274765590518394,0.23797955907884805,-0.6874179652905958,-0.03722636073201374,003920
23,농심,2019,Q1,생활소비재,-0.0937125065069914,-0.06709658363690052,0.0002148293137493873,0.03343316144242414,0.11069453910696891,0.016565253455773865,-0.6874179652905958,-0.10368408595835324,004370
23,빙그레,2019,Q1,생활소비재,0.05314771236452197,-0.06709658363690052,-0.7555308882112701,-1.7360550372191543,0.33893306571778337,0.04725385616479194,-0.6874179652905958,-0.08456857949375865,005180
23,롯데칠성,2019,Q1,생활소비재,-0.08649932546618737,-0.06709658363690052,-0.01472544331340453,-1.0908917409157324,0.07241339789940704,0.013391309035339916,-0.6874179652905958,-0.06691938007600029,005300
23,현대그린푸드,2019,Q1,생활소비재,-0.04503444151343003,-0.06709658363690052,0.01226831212556645,-0.0671054181142634,0.10780884705883254,0.0252630604507893,-0.6874179652905958,-0.063978033141956,005440
23,삼립식품,2019,Q1,생활소비재,-0.11254376588181063,-0.06709658363690052,-0.0028842896521105166,-0.6283044674897995,0.04817961731429388,0.05173150717544406,-0.6874179652905958,-0.22634560958419703,005610
23,크라운제과,2019,Q1,생활소비재,-0.052891736055795724,-0.06709658363690052,0.009605634488643044,-48.8127811984517,0.05132933932257777,0.0024727982001935267,-0.6874179652905958,0.02582255540787068,005740
23,GS리테일,2019,Q1,생활소비재,-0.04304538092221839,-0.06709658363690052,-0.005755629847688182,7.042748748861285,0.8161932619806209,0.39785412100725903,-0.6874179652905958,0.1682857665271764,007070
23,오뚜기,2019,Q1,생활소비재,-0.06578986417756941,-0.06709658363690052,0.015855058149871093,0.6451519821130289,0.07382844545455347,0.019810200984247794,-0.6874179652905958,-0.06186157660779219,007310
23,한국전력,2019,Q1,생활소비재,-0.062135433534787315,-0.06709658363690052,-0.04665705880421267,1.8551488347681602,0.03631823170321824,0.00729405142711359,-0.6874179652905958,0.006749821444912256,015760
23,KT&G,2019,Q1,생활소비재,-0.026203348997833883,-0.06709658363690052,-0.7299799860372886,0.4603845457533904,0.6045715971582935,0.015093106272925816,-0.6874179652905958,0.07808061992399971,033780
23,무학,2019,Q1,생활소비재,0.003847495069725357,-0.06709658363690052,0.028007990685686934,-1.8918382199856516,0.07718679806392803,0.03566734514840997,-0.6874179652905958,-0.06126094386200852,033920
23,한국가스공사,2019,Q1,생활소비재,-0.04955170103406928,-0.06709658363690052,0.08245079108349884,5.776205934501036,-0.035666233010660964,0.003375135320194733,-0.6874179652905958,-0.00938925959407258,036460
23,팜스코,2019,Q1,생활소비재,-0.0707086975813737,-0.06709658363690052,-0.016155576562984608,-0.5549733988922871,0.06119939891530768,0.02209891303139777,-0.6874179652905958,-0.29555632607188115,036580
23,동원F&B,2019,Q1,생활소비재,0.0021552348059576676,-0.06709658363690052,-0.5172122304416414,5.279714324606249,0.17737096034218203,0.014995211625088656,-0.6874179652905958,-0.06791842099671641,049770
23,LG생활건강,2019,Q1,생활소비재,-0.042458012245072285,-0.06709658363690052,0.007965681123349277,0.5375255805754249,0.2849184252278887,0.025250006336399844,-0.6874179652905958,-0.0370114046158776,051900
23,에이블씨엔씨,2019,Q1,생활소비재,-0.07662555390726063,-0.06709658363690052,-0.012950788191325668,-2.427648805862355,0.8936438498780199,1.1496355018598794,-0.6874179652905958,-0.04448348264010285,078520
23,아모레퍼시픽,2019,Q1,생활소비재,0.07755991690090147,-0.06709658363690052,0.009206081790204435,18.44193138946877,0.3860062764768415,0.008465714439033656,-0.6874179652905958,-0.2904042285608488,090430
23,CJ제일제당,2019,Q1,생활소비재,-0.0810423531173217,-0.06709658363690052,-0.006738687390951514,-1.5144962057028,0.4199683315757081,0.21510177789330687,-0.6874179652905958,-0.13264102956053636,097950
23,락앤락,2019,Q1,생활소비재,-0.15189112212184017,-0.06709658363690052,-0.024174253182452365,-0.8150093764757382,0.9290473288599876,0.05668109053592918,-0.6874179652905958,-0.09061253307489035,115390
23,이마트,2019,Q1,생활소비재,-0.045815862228003726,-0.06709658363690052,0.008148856083709077,-58.80439962165803,0.21711640636786567,0.08633863815635068,-0.6874179652905958,-0.22989406362030407,139480
23,삼양사,2019,Q1,생활소비재,-0.007631648549718907,-0.06709658363690052,-0.033483649139343874,-1.6045842159578512,0.4123922060863585,0.02327223510946852,-0.6874179652905958,-0.09995046815890185,145990
23,한국콜마,2019,Q1,생활소비재,-0.12023116457498792,-0.06709658363690052,0.029280541432614715,-0.10188407685710854,0.2614590721896821,0.0010506190611736521,-0.6874179652905958,-0.24045787179486455,161890
23,코스맥스,2019,Q1,생활소비재,-0.18760708614563298,-0.06709658363690052,0.027242643153229107,0.7384874823675371,0.05889037456327051,0.029247328867399558,-0.6874179652905958,-0.34191766551595637,192820
