,name,year,quarter,sector,Relative Return,이익잉여금 변화율,국제유가 변화율,부채총계 변화율,매출액 변화율,소비자물가지수 변화율,유동부채 변화율,Label,Code
10,하이트진로,2022,Q2,생활소비재,-0.05541183527418489,0.10988968351355366,0.13207484462760455,-0.16849693083145334,0.07507877310486655,0.38636857995042173,-0.19261584075039462,-0.08268146388369943,000080
10,CJ,2022,Q2,생활소비재,0.014524224541941813,0.006281080295398311,0.13207484462760455,-0.1792772536382813,0.05650237465735941,0.38636857995042173,-0.45921487289168916,-0.028630712774054167,001040
10,대상,2022,Q2,생활소비재,0.00908591641667051,0.031961079673317405,0.13207484462760455,0.03334131492264092,0.02006316343272041,0.38636857995042173,0.006027646968464584,-0.03113067350765521,001680
10,오리온,2022,Q2,생활소비재,0.11705508667435624,0.008424818935703682,0.13207484462760455,-0.5380934819168897,-0.7075019099455933,0.38636857995042173,-0.6976804083716084,-0.0074771304231540416,001800
10,아모레G,2022,Q2,생활소비재,-0.1529368295026173,-0.0008303513930537632,0.13207484462760455,-0.46602340002228404,0.05652954876225125,0.38636857995042173,-0.6334263301096036,-0.1733895665421122,002790
10,남양유업,2022,Q2,생활소비재,0.01619361040473865,-0.013577851608926994,0.13207484462760455,-0.04466798102344527,-0.0040177905838105765,0.38636857995042173,-0.0873444715650109,0.014653148954756496,003920
10,농심,2022,Q2,생활소비재,0.018852195521839837,0.002913364690631637,0.13207484462760455,0.05064387902530365,0.027244587449402946,0.38636857995042173,0.05097786032217666,0.055899257977107306,004370
10,빙그레,2022,Q2,생활소비재,-0.056387606328970115,2.8791704033515595,0.13207484462760455,-0.0572641122256059,0.2992065897503786,0.38636857995042173,-0.07373993725140304,-0.1316149739804934,005180
10,롯데칠성,2022,Q2,생활소비재,-0.09264071438839692,0.02603014792888425,0.13207484462760455,0.016563485577994808,0.21099456455603316,0.38636857995042173,-0.09516544938811433,-0.08574179890984965,005300
10,현대그린푸드,2022,Q2,생활소비재,-0.033150363955609836,0.017017974307176553,0.13207484462760455,0.14014680587768846,-0.001592539922026348,0.38636857995042173,0.35245353894095377,-0.11202923652357855,005440
10,삼립식품,2022,Q2,생활소비재,0.08237324862937995,0.041352562883605115,0.13207484462760455,-0.028183935236996693,0.14575678707866135,0.38636857995042173,-0.011644997973584426,-0.15498852896185183,005610
10,크라운제과,2022,Q2,생활소비재,-0.17739734218451125,-0.001920526801375666,0.13207484462760455,-0.08915063388652489,-0.6520041597578234,0.38636857995042173,-0.11214950381934008,-0.13351116239778008,005740
10,GS리테일,2022,Q2,생활소비재,0.03112638205578504,0.02539248880909728,0.13207484462760455,0.04138268685252444,0.08699199469379981,0.38636857995042173,-0.05773230025058229,0.1348010876662948,007070
10,오뚜기,2022,Q2,생활소비재,0.08099068262893837,0.02355430173066453,0.13207484462760455,0.036908521810522954,0.058340443682321386,0.38636857995042173,0.06421474092529955,-0.01628628201500495,007310
10,한국전력,2022,Q2,생활소비재,0.025871117517250262,-0.18411115228558828,0.13207484462760455,0.08248058152447268,-0.07240538554126363,0.38636857995042173,-0.007926264291103324,-0.11338568967637055,015760
10,KT&G,2022,Q2,생활소비재,0.029769985178088477,1.4072363797534555,0.13207484462760455,-0.1461402580266935,0.14380824290990435,0.38636857995042173,-0.15368045680291553,0.15947363058701292,033780
10,무학,2022,Q2,생활소비재,-0.08748334979096431,-0.03831396737953485,0.13207484462760455,0.0012893533349402908,0.030787845135615388,0.38636857995042173,0.0007409237012829806,-0.244028633674745,033920
10,한국가스공사,2022,Q2,생활소비재,-0.03392703926513722,-0.03380139856510345,0.13207484462760455,-0.12800264942717432,-0.3813402079235293,0.38636857995042173,-0.28753346924146117,-0.1009164621164213,036460
10,팜스코,2022,Q2,생활소비재,-0.09522333458506486,-0.08601704220962403,0.13207484462760455,0.16670700482531164,0.17482351151847775,0.38636857995042173,0.1748872941215054,-0.2395778161253396,036580
10,동원F&B,2022,Q2,생활소비재,0.035753471093122914,0.2501177928804428,0.13207484462760455,-0.08485877237136241,-0.10361234410626652,0.38636857995042173,-0.1446003750847773,-0.16012188083198564,049770
10,LG생활건강,2022,Q2,생활소비재,0.09437621745332392,0.01996000769764672,0.13207484462760455,-0.04405428524557364,0.13283126203462015,0.38636857995042173,-0.12913847696962588,-0.13602363629989975,051900
10,에이블씨엔씨,2022,Q2,생활소비재,-0.20376928896607693,-0.002817944681468787,0.13207484462760455,-0.03473382367371247,0.11979691051619157,0.38636857995042173,-0.09242986995294344,-0.05625954212512729,078520
10,아모레퍼시픽,2022,Q2,생활소비재,-0.19462244117933306,0.010121355849287417,0.13207484462760455,-0.2012973465388157,-0.08548086417210343,0.38636857995042173,-0.2345702907388041,-0.01069919175972248,090430
10,CJ제일제당,2022,Q2,생활소비재,0.0660073367602374,0.013041392303981603,0.13207484462760455,0.015329232420014938,0.004849154459414251,0.38636857995042173,0.046156951684569236,0.022845638695863126,097950
10,락앤락,2022,Q2,생활소비재,-0.10792438754829758,0.0030309566123205567,0.13207484462760455,0.0018745923706171563,-0.09559208397613006,0.38636857995042173,-0.0215276372007821,-0.16231964321523096,115390
10,이마트,2022,Q2,생활소비재,-0.09212274454057562,-0.011648940849734335,0.13207484462760455,0.003518092836465536,-0.06638543155912258,0.38636857995042173,-0.021288660287968608,-0.09853199062615547,139480
10,삼양사,2022,Q2,생활소비재,-0.12848526317521378,0.024929764320274606,0.13207484462760455,-0.030873408075636655,0.10602633972980091,0.38636857995042173,-0.06407091315336433,-0.09071372994517521,145990
