,name,year,quarter,sector,Relative Return,이익잉여금 변화율,비유동자산 변화율,비유동부채 변화율,자본총계 변화율,GDP 변화율,매출액 변화율,Label,Code
26,하이트진로,2018,Q4,생활소비재,0.15274857846813358,-0.08282817200515613,0.021948372902118374,0.007789461030083711,-0.016575649822790806,0.054052357856046784,-0.05531814741359575,0.13211775161023842,000080
26,CJ,2018,Q4,생활소비재,0.07009491430302167,0.0028189272266914145,0.014525718565627788,-0.019385911893585295,0.0018241234889764257,0.054052357856046784,-0.008244404168079034,-0.10578547419621319,001040
26,대상,2018,Q4,생활소비재,0.17822628547450303,-0.007127677885910733,-0.010008215223868189,-0.012608566866817994,-0.0015540498649665446,0.054052357856046784,-0.11348934979201597,-0.1110409216559617,001680
26,오리온,2018,Q4,생활소비재,0.1597081438005444,0.2031017832477573,-0.0034949823676022618,-0.03550112612611245,0.0026072594948924888,0.054052357856046784,-0.020182672774677335,0.05690690037991064,001800
26,아모레G,2018,Q4,생활소비재,0.17858040024170735,0.00014975188344323875,-0.001515593881055377,-0.04148154402594273,-4.896524352504539e-05,0.054052357856046784,-0.008254393559216755,0.01831549592935707,002790
26,남양유업,2018,Q4,생활소비재,0.009899846319882544,-0.001241452476746674,0.004935241531481616,-0.26796436794811385,-0.0012652723749220218,0.054052357856046784,-0.020974055112275014,0.025595438990866713,003920
26,농심,2018,Q4,생활소비재,0.27272395715464004,0.008735818530305695,0.018820579120811365,-0.02385355285456281,0.00883411632898956,0.054052357856046784,0.018619256074731805,-0.07792505035238814,004370
26,빙그레,2018,Q4,생활소비재,-0.06289809654488854,-0.2424951035717664,-0.010012550432065281,-0.2344988731832388,-0.02299855405755591,0.054052357856046784,-0.361304937595019,0.05314771236452197,005180
26,롯데칠성,2018,Q4,생활소비재,0.3688960782856217,-0.03864282018551135,-0.03342546906544441,-0.15280918682487243,-0.06517150160774932,0.054052357856046784,-0.19187409753451345,-0.08649932546618737,005300
26,현대그린푸드,2018,Q4,생활소비재,0.1812216463379505,0.030470070683007888,-0.03375627161153627,-0.140514495874147,0.006960771707087199,0.054052357856046784,-0.026888292629267396,-0.04503444151343003,005440
26,삼립식품,2018,Q4,생활소비재,0.0964518735180358,0.04977029255339893,0.04667801175936903,-0.33610869506132357,0.04649843950202004,0.054052357856046784,0.14652254612107463,-0.11254376588181063,005610
26,크라운제과,2018,Q4,생활소비재,0.15848423141359735,-0.0005680895008302045,-0.0009409105643155558,-0.06666942352945127,-0.0012818625522539318,0.054052357856046784,-0.5665336787925355,-0.052891736055795724,005740
26,GS리테일,2018,Q4,생활소비재,0.08819899459003133,-0.0036350644527173293,-0.0029717850804019674,-0.07135591078797421,-0.0031897169749615095,0.054052357856046784,-0.07211249630572802,-0.04304538092221839,007070
26,오뚜기,2018,Q4,생활소비재,0.1408191528728668,0.018516736766470254,0.023706022161981144,1.1372115656101482,0.0177707915394707,0.054052357856046784,-0.10219973479970179,-0.06205903934074607,007310
26,한국전력,2018,Q4,생활소비재,0.04035828361249591,-0.015788457752547225,-0.0011475008651425922,0.016077591291058235,-0.0109226739840389,0.054052357856046784,-0.07266493176045796,-0.062135433534787315,015760
26,KT&G,2018,Q4,생활소비재,-0.0008428953289276349,0.15027811024687665,0.004026508723789846,-0.07463354294231761,0.011449636430830079,0.054052357856046784,0.02870114928697176,-0.014417207488387894,033780
26,무학,2018,Q4,생활소비재,0.10773796275688094,-0.04985247149136007,-0.03631071918309203,1.5774950648879194,-0.04874086257840682,0.054052357856046784,0.12950513293505983,0.003847495069725357,033920
26,한국가스공사,2018,Q4,생활소비재,-0.13604901949163975,0.028994287467819513,-0.012723141756476375,-0.015352854073874433,0.003158710284548949,0.054052357856046784,0.6571556772362621,-0.04955170103406928,036460
26,팜스코,2018,Q4,생활소비재,0.007525648531827866,-0.026247693554334428,0.25381011542537135,-0.05000518467728299,-0.03993454372893568,0.054052357856046784,0.0790811720992104,-0.03370699680867886,036580
26,동원F&B,2018,Q4,생활소비재,-0.1306623825091255,0.09289233826382426,-0.007169333490023355,-0.01676478404142745,-0.003142581086250207,0.054052357856046784,-0.2932385130617885,0.025549046905903136,049770
26,LG생활건강,2018,Q4,생활소비재,0.29500108795104063,0.038879220320024555,0.023384421672141942,-0.21732139669481898,0.03731675195165418,0.054052357856046784,-0.030751607298841743,-0.042458012245072285,051900
26,에이블씨엔씨,2018,Q4,생활소비재,0.49850101496571625,0.019690936171280704,0.5029196110568173,-0.43147359791520856,0.09876441140449832,0.054052357856046784,0.37262300723075237,-0.07662555390726063,078520
26,아모레퍼시픽,2018,Q4,생활소비재,0.19843060344952163,0.004882226081613705,0.010632919713773559,0.1809291761153735,0.0038158018513558822,0.054052357856046784,-0.12794452358259034,0.07755991690090147,090430
26,CJ제일제당,2018,Q4,생활소비재,-0.08800465940083556,-0.0317089878531287,0.01465762723338071,-0.10060847822122698,-0.022047547888350727,0.054052357856046784,-0.13682625508249124,-0.0810423531173217,097950
26,이마트,2018,Q4,생활소비재,-0.12270823146884084,-0.025909061356036767,-0.026146886847281614,-0.04346151863508663,-0.025306843066640994,0.054052357856046784,-0.13302545702065205,-0.045815862228003726,139480
26,삼양사,2018,Q4,생활소비재,0.017433889320277385,-0.10221371696734238,0.04021065937138424,-0.2989773633306756,-0.03278637567105014,0.054052357856046784,0.049942834902332756,-0.007631648549718907,145990
26,한국콜마,2018,Q4,생활소비재,0.43495508813914396,0.06969595391089678,0.013493957840575943,-0.025965266388587316,0.03229379173978453,0.054052357856046784,-0.029800371889064925,-0.14039901619557438,161890
26,코스맥스,2018,Q4,생활소비재,0.2692854790403307,0.05302405735052873,0.015966987193514193,-0.01854853149479241,0.017207680648399615,0.054052357856046784,0.013483701669015469,-0.18760708614563298,192820
