Variable,VIF
const,1.2624201260368524
F_유동자산 변화율,1.2458874436074558
F_비유동자산 변화율,1.9235054048377322
F_자산총계 변화율,3.000851108051692
F_유동부채 변화율,2.3232260434964327
F_비유동부채 변화율,1.1628165733874805
F_부채총계 변화율,2.995133100512924
F_이익잉여금 변화율,1.147517349921289
F_자본총계 변화율,2.512263595946638
F_매출액 변화율,1.3982612077632446
F_영업이익 변화율,1.0157876664600187
F_법인세차감전 순이익 변화율,2.1341586075460928
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4137337465717097
M_환율 변화율,38.38759280814754
M_GDP 변화율,109.91301337192073
M_금리 변화율,3.224615279874001
M_수출액 변화율,18.94343621791542
M_실업률 변화율,7.502686927754368
M_국제유가 변화율,4.995215479051199
M_주택가격 변화율,82.80692967379146
Relative Return,1.0467458791175395
