code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용
5490,POSCO_Holdings,금속,2015,Q4,"11,427,638,423,093","39,881,770,276,375","51,309,408,699,468","3,817,678,456,909","4,466,172,795,967","8,283,851,252,876","41,862,569,753,352","43,025,557,446,592",25607220942253.0,2238248789010,1668283230840.0,1318271459610.0,1318271459610.0,,,
5490,POSCO_Holdings,금속,2016,Q1,"11,206,038,028,268","39,950,644,711,644","51,156,682,739,912","3,743,041,726,998","4,510,150,132,166","8,253,191,859,164","41,821,552,160,236","42,903,490,880,748",5767131973119.0,582114326646,561303729464.0,445910570550.0,445910570550.0,,,
5490,POSCO_Holdings,금속,2016,Q2,"11,541,085,575,917","40,045,259,520,108","51,586,345,096,025","3,261,684,568,573","5,054,878,388,594","8,316,562,957,167","42,068,639,179,899","43,269,782,138,858",6009607590906.0,712734168370,395373543174.0,310509841739.0,310509841739.0,,,
5490,POSCO_Holdings,금속,2016,Q3,"11,245,706,461,313","39,997,418,374,759","51,243,124,836,072","2,394,766,406,781","5,022,837,556,429","7,417,603,963,210","42,527,764,081,406","43,825,520,872,862",6106520315402.0,852422178677,765403490786.0,578995935125.0,578995935125.0,,,
5490,POSCO_Holdings,금속,2016,Q4,"11,732,675,842,563","40,323,077,102,943","52,055,752,945,506","2,697,251,936,985","5,029,054,084,751","7,726,306,021,736","42,943,049,526,282","44,329,446,923,770",6441673380568.0,488066521278,467252929695.0,449629568979.0,449629568979.0,,,
5490,POSCO_Holdings,금속,2017,Q1,"12,322,560,121,585","40,292,307,256,938","52,614,867,378,523","2,948,203,351,451","4,930,789,959,828","7,878,993,311,279","43,309,442,602,676","44,735,874,067,244",7067446142569.0,795427494743,1070660119575.0,839636930840.0,839636930840.0,,,
5490,POSCO_Holdings,금속,2017,Q2,"12,424,002,306,424","40,243,343,348,860","52,667,345,655,284","2,360,154,644,057","5,009,451,007,069","7,369,605,651,126","43,685,902,553,614","45,297,740,004,158",7134349886273.0,584998259744,650769558235.0,509163850257.0,509163850257.0,,,
5490,POSCO_Holdings,금속,2017,Q3,"13,775,678,189,659","39,317,912,545,831","53,093,590,735,490","2,425,976,603,565","5,012,705,949,727","7,438,682,553,292","44,281,295,026,476","45,654,908,182,198",7255040623131.0,721762288189,918912017756.0,729921746510.0,729921746510.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2017,Q4,"14,840,421,236,321","38,851,836,273,554","53,692,257,509,875","3,570,147,955,817","4,180,654,620,082","7,750,802,575,899","44,605,367,889,138","45,941,454,933,976",7096977924407.0,800264824016,714399521464.0,466962760888.0,466962760888.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2018,Q1,"16,292,071,194,811","38,642,523,536,418","54,934,594,731,229","4,238,393,922,897","4,318,913,746,396","8,557,307,669,293","45,404,616,928,276","46,377,287,061,936",7760890028105.0,1015915088958,1053147512552.0,768736732509.0,768736732509.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2018,Q2,"15,652,085,722,176","38,355,910,321,607","54,007,996,043,783","4,082,046,440,984","3,916,091,110,711","7,998,137,551,695","45,854,790,083,096","46,009,858,492,088",7704845146423.0,822124080656,788722641211.0,580290733901.0,580290733901.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2018,Q3,"17,881,691,569,443","38,245,928,972,916","56,127,620,542,359","4,324,356,555,301","4,991,692,455,730","9,316,049,011,031","46,603,400,208,598","46,811,571,531,328",7905508084744.0,1094769177693,1181323586557.0,891098863628.0,891098863628.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2018,Q4,"16,796,400,047,219","37,329,579,638,935","54,125,979,686,154","3,895,972,889,381","4,957,905,021,987","8,853,877,911,368","45,175,458,896,631","45,272,101,774,786",7288182174243.0,876567465377,-788295027314.0,-1167534767153.0,-1167534767153.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2019,Q1,"17,603,455,407,023","37,608,360,849,658","55,211,816,256,681","4,164,307,178,881","5,047,008,023,671","9,211,315,202,552","45,430,512,857,319","46,000,501,054,129",7816470982778.0,832467085451,922058809380.0,671172964429.0,671172964429.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2019,Q2,"17,599,358,118,224","37,038,220,057,223","54,637,578,175,447","3,105,705,013,576","5,138,815,862,554","8,244,520,876,130","45,819,332,122,657","46,393,057,299,317",7475853979115.0,724298409509,745482629324.0,545381748420.0,545381748420.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2019,Q3,"17,716,458,788,079","37,711,522,945,019","55,427,981,733,098","2,825,160,798,240","6,266,838,232,201","9,091,999,030,441","46,151,051,277,446","46,335,982,702,657",7735894942797.0,662475809033,692958820317.0,499044928266.0,499044928266.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2019,Q4,"18,216,066,010,030","37,494,700,407,090","55,710,766,417,120","3,331,446,367,137","6,765,134,918,740","10,096,581,285,877","45,372,411,230,927","45,614,185,131,243",7345290833825.0,367118047739,-529251359178.0,-539887238816.0,-539887238816.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2020,Q1,"20,774,351,810,895","37,662,025,973,037","58,436,377,783,932","4,179,100,856,034","8,707,336,045,732","12,886,436,901,766","45,498,431,215,647","45,549,940,882,166",6969856036498.0,458110742653,616955954655.0,453020315302.0,453020315302.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2020,Q2,"20,016,741,294,623","37,603,367,654,957","57,620,108,949,580","4,737,598,075,389","7,479,748,906,924","12,217,346,982,313","45,383,558,840,504","45,402,761,967,267",5884823631004.0,-108474793466,-50736604835.0,6645986027.0,6645986027.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2020,Q3,"20,873,341,426,052","37,452,397,644,444","58,325,739,070,496","5,646,183,881,518","7,310,016,434,911","12,956,200,316,429","45,521,725,001,766","45,369,538,754,067",6577886720727.0,261862667097,280256303098.0,180809542496.0,180809542496.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2020,Q4,"19,579,953,330,110","37,215,015,171,419","56,794,968,501,529","5,089,110,669,881","6,591,153,732,744","11,680,264,402,625","45,781,777,465,907","45,114,704,098,904",7077354057955.0,523697948861,171404313872.0,325387596526.0,325387596526.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2021,Q1,"20,397,788,524,951","37,867,525,561,583","58,265,314,086,534","5,753,568,365,825","6,831,454,100,630","12,585,022,466,455","46,386,727,791,784","45,680,291,620,079",7800446570493.0,1072883816900,1306101668110.0,952175503207.0,952175503207.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2021,Q2,"21,057,743,395,812","37,942,906,522,967","59,000,649,918,779","5,347,755,646,162","6,850,031,810,265","12,197,787,456,427","47,464,668,539,092","46,802,862,462,352",9277353281119.0,1608072665540,1830453470384.0,1318159603103.0,1318159603103.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2021,Q3,"24,842,655,660,060","38,510,944,972,349","63,353,600,632,409","6,270,412,022,556","8,764,362,173,631","15,034,774,196,187","48,997,388,311,193","48,318,826,436,222",11314723632472.0,2295695564204,2474422454328.0,1840068246557.0,1840068246557.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2021,Q4,"25,918,879,999,015","38,323,878,956,874","64,242,758,955,889","7,868,269,046,806","7,339,064,914,051","15,207,333,960,857","49,734,491,732,778","49,035,424,995,032",11527677352540.0,1672947839547,1372722151953.0,1070823996567.0,1070823996567.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2022,Q1,"5,875,723,628,951","47,458,142,280,986","53,333,865,909,937","1,740,014,138,694","4,467,709,468,629","6,207,723,607,323","47,871,560,957,884","47,126,142,302,614",,1069678186525,1078155662943.0,-1404227032116.0,-1404227032116.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2022,Q2,"4,060,603,659,405","47,422,658,774,188","51,483,262,433,593","345,619,300,214","4,318,126,500,164","4,663,745,800,378","47,747,804,045,007","46,819,516,633,215",,76280879367,215450148693.0,179077627009.0,179077627009.0,"482,403,125,000",,
5490,POSCO_Holdings,금속,2022,Q3,"3,457,736,374,418","47,402,753,865,253","50,860,490,239,671","125,078,244,418","4,201,026,696,794","4,326,104,941,212","46,810,082,297,279","46,534,385,298,459",,11860252914,-174795888670.0,31677793765.0,31677793765.0,"482,403,125,000",,
