,name,year,quarter,sector,Relative Return,비유동자산 변화율,매출액 변화율,자본총계 변화율,부채총계 변화율,법인세차감전 순이익 변화율,Label,Code
25,CJ대한통운,2018,Q3,산업재,0.11571023203286286,0.07200074222122677,0.005236459958047002,-0.005114451968693978,0.07604020980753701,-2.512120138169358,0.07043111948977278,000120
25,두산,2018,Q3,산업재,0.2813772335036169,0.0062391754067658844,0.04857299833993167,-0.0018587691539526663,0.05488092123132082,-0.383974126496601,-0.30989866906136915,000150
25,LG상사,2018,Q3,산업재,-0.22248022226883024,0.028415872805860998,0.14063880098115744,-0.008188866955211704,0.034674663772899184,-0.1426673112769622,-0.02870096063856419,001120
25,대한항공,2018,Q3,산업재,0.12495020537271037,0.0007791309762670284,0.1313875892856171,0.0805304333471526,-0.0013898377301613252,-2.000323774725639,0.05916233969037817,003490
25,S&T중공업,2018,Q3,산업재,0.08716642462338153,-0.0077788609803605135,-0.1349036038166156,-0.0021343426537644428,0.022768702872491886,-0.9591667248996231,0.10331555535117505,003570
25,LS,2018,Q3,산업재,-0.14615924572539346,0.0006836637938372192,0.048574308689872,-0.0005982512411460972,-0.07944703780976536,-0.846410178733717,-0.060650721129957924,006260
25,LS산전,2018,Q3,산업재,-0.24531077979904248,-0.009956163836052245,-0.13919047520535566,0.022269156107807442,-0.022567623022530237,-0.3040566895770126,-0.020304365285447098,010120
25,현대상선,2018,Q3,산업재,-0.0778137709005156,-0.012289281334195601,0.17293212152091786,-0.29200767240546377,0.01772233751924146,-0.390037543187138,-0.11673145047657724,011200
25,한국단자,2018,Q3,산업재,-0.1721078513440587,-0.010696626495260486,0.004463314742449764,-0.0009730130926989267,0.01413042549399024,-0.2094391130883595,0.6870521827515407,025540
25,대우인터내셔널,2018,Q3,산업재,0.1684108036867166,-0.009676910333021982,0.07223325458805108,0.007796745841547548,0.03495940854504842,-0.2615997816204334,-0.10590625140546793,047050
25,한국항공우주,2018,Q3,산업재,-0.08890511711530323,0.09231915133126978,-0.4767041717849947,-0.030346813347603252,0.14355035171347708,-1.9114305825399933,0.0739380664375445,047810
25,한전KPS,2018,Q3,산업재,-0.1550786282296816,0.022001489111314276,-0.2166285123622641,0.01207731907751941,0.030781163524374433,-0.7305637883442541,0.219485130318002,051600
25,현대글로비스,2018,Q3,산업재,-0.003821716985839413,-0.006145161243314212,0.038555866872892475,0.03440463390532367,-0.026602741471356106,5.046562206788066,0.045244140944131386,086280
