code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
3300,Hanil_Cement,비금속,2019,Q2,"169,322,897,567","978,351,645,175","1,147,674,542,742","196,674,240,799","137,302,408,733","333,976,649,532","1,755,593,866,092","813,697,893,210",,-452969563.0,16129529125.0,14896527105.0,14896527105.0,"31,342,450,000",,,,,,,,,,
3410,Ssangyong_Cement,비금속,2019,Q2,"581,480,926,625","2,323,541,528,806","2,905,022,455,431","400,255,953,074","651,528,414,191","1,051,784,367,265","568,790,043,853","1,853,238,088,166",281062430208.0,60855913272.0,52033631763.0,39081008365.0,39081008365.0,"505,403,280,000",,,,,,,,,,
3490,Korean_Air,운송·창고,2019,Q2,"3,527,507,231,613","22,264,872,039,079","25,792,379,270,692","7,846,641,193,377","15,186,210,485,748","23,032,851,679,125","56,601,822,062","2,759,527,591,567",3020111965102.0,-101453490330.0,-484778325367.0,-380778724872.0,-380778724872.0,"479,777,140,000",,,,,,,,,,
3520,Youngjin_Pharmaceutical,제약,2019,Q2,"120,740,760,785","89,876,816,641","210,617,577,426","45,533,934,465","48,273,770,352","93,807,704,817","14,789,987,830","116,809,872,609",59049676967.0,4532361209.0,4215550458.0,3451797574.0,3451797574.0,"91,446,365,500",,,,,,,,,,
3550,LG_Corp,기타금융,2019,Q2,"451,889,000,000","9,064,486,000,000","9,516,375,000,000","157,570,000,000","82,750,000,000","240,320,000,000","5,953,437,000,000","9,276,055,000,000",98267000000.0,32669000000.0,34792000000.0,27231000000.0,27231000000.0,"879,359,000,000",,,,,,,,,,
3570,S&T_Heavy_Industries,운송장비·부품,2019,Q2,"384,247,920,251","439,032,558,508","823,280,478,759","99,339,576,248","121,643,968,738","220,983,544,986","556,990,360,774","602,296,933,773",84663128415.0,3834020070.0,4753441010.0,3671965417.0,3671965417.0,"85,631,742,500",,,,,,,,,,
3620,SsangYong_Motor,운송장비·부품,2019,Q2,"814,522,090,164","1,653,368,973,062","2,467,891,063,226","1,230,993,602,741","569,833,823,377","1,800,827,426,118","-160,266,573,142",,932089311716.0,-47138712108.0,-50273936226.0,-50273936226.0,-50273936226.0,"749,200,010,000",,,,,,,,,,
3920,Namyang_Dairy_Products,음식료·담배,2019,Q2,"446,191,325,089","721,959,879,662","1,168,607,645,512","128,079,943,536","133,337,795,939","261,417,739,475","924,239,944,188","907,189,906,037",260448153749.0,20409073.0,25720530075.0,18538266014.0,18538266014.0,"4,433,310,000",,,,,,,,,,
4000,Samsung_Fine Chemicals,화학,2019,Q2,"759,366,355,191","883,767,569,655","1,643,133,924,846","269,385,490,271","14,443,157,952","283,828,648,223","905,541,293,206","1,359,305,276,623",330754819724.0,52628887656.0,55798248787.0,38038293608.0,38038293608.0,"129,000,000,000",,,,,,,,,,
4020,Hyundai_Steel,금속,2019,Q2,"7,718,660,402,526","24,348,054,154,382","32,066,714,556,908","5,634,929,985,734","9,464,712,811,950","15,099,642,797,684","11,558,429,193,325","16,967,071,759,224",5017336036457.0,218265851131.0,125578027945.0,44633437408.0,44633437408.0,"667,228,925,000",,,,,,,,,,
4150,Hansol_Holdings,기타금융,2019,Q2,"75,478,910,631","343,851,809,552","419,330,720,183","25,030,743,797","4,954,379,093","29,985,122,890","46,496,569,078","389,345,597,293",,1932670373.0,2015485334.0,1532315446.0,1532315446.0,"235,918,395,000",,,,,,,,,,
4170,Shinsegae,유통,2019,Q2,"317,834,270,684","6,994,775,941,105","7,312,610,211,789","1,294,568,525,108","2,223,750,462,407","3,518,318,987,515","2,784,925,653,257","3,794,291,224,274",367469902378.0,32680220249.0,24470728579.0,17493940947.0,17493940947.0,"49,225,905,000",,,,,,,,,,
4370,Nongshim,음식료·담배,2019,Q2,"893,235,941,730","1,584,455,870,590","2,477,691,812,320","517,122,666,510","61,610,745,431","578,733,411,941","1,819,464,194,786","1,898,958,400,379",465048363480.0,3632295740.0,13593308108.0,3457250121.0,3457250121.0,"30,413,210,000",,,,,,,,,,
4490,SEBANG_Global_Battery,전기·전자,2019,Q2,"782,122,980,660","514,898,585,124","1,297,021,565,784","253,534,924,553","18,293,012,430","271,827,936,983","968,294,978,227","1,025,193,628,801",276437139458.0,26549221546.0,32542151028.0,21338048102.0,21338048102.0,"7,000,000,000",,,,,,,,,,
4700,Chokwang_Leather,섬유·의류,2019,Q2,"87,818,691,063","188,189,714,575","276,008,405,638","10,281,568,162","7,314,558,723","17,596,126,885","205,156,547,046","258,412,278,753",30472588065.0,5373676245.0,6312813563.0,4782105894.0,4782105894.0,"34,245,690,000",,,,,,,,,,
4710,Hansol_Technics,전기·전자,2019,Q2,"142,917,462,950","264,474,900,680","407,392,363,630","194,928,092,835","37,107,343,164","232,035,435,999","7,904,627,389","175,356,927,631",132668651324.0,5760945469.0,4632056608.0,4582551597.0,4582551597.0,"110,549,390,000",,,,,,,,,,
4800,Hyosung,기타금융,2019,Q2,"86,637,010,469","2,039,545,536,488","2,126,182,546,957","129,194,638,195","173,794,495,930","302,989,134,125","5,782,782,888,942","1,823,193,412,832",58738911798.0,-3143690600.0,-3062663645.0,-2610178298.0,-2610178298.0,"105,355,125,000",,,,,,,,,,
5090,Samkwang_Glass,전기·가스,2019,Q2,"180,443,537,608","387,828,691,380","568,272,228,988","355,172,322,031","26,161,232,531","381,333,554,562","146,778,724,703","186,938,674,426",106139274863.0,1434714618.0,351686892.0,272644611.0,272644611.0,"24,272,090,000",,,,,,,,,,
5180,Binggrae,음식료·담배,2019,Q2,"418,626,293,935","288,900,078,625","707,526,372,560","137,352,018,212","19,716,809,629","157,068,827,841","23,406,859,192","550,457,544,719",241885081563.0,17768202526.0,20657471439.0,15925202809.0,15925202809.0,"49,756,205,000",,,,,,,,,,
5300,Lotte_Chilsung_Beverage,음식료·담배,2019,Q2,"976,524,183,116","2,551,097,344,620","3,527,621,527,736","1,239,283,332,462","1,008,519,246,784","2,247,802,579,246","1,913,622,501,515","1,279,818,948,490",646655598356.0,46552843826.0,17755387464.0,-44238912186.0,-44238912186.0,"4,384,385,000",,,,,,,,,,
