,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,유동부채변화율,Code
1,SK_Telecom,Telecommunications_&_Media,2024,Q2,-0.0017920098067087942,-0.004013371679929545,0.04400103086793394,017670
1,KT_Corp,Telecommunications_&_Media,2024,Q2,-0.01993037346673976,-0.0011010839094862668,0.021754654738667556,030200
1,LG_Uplus,Telecommunications_&_Media,2024,Q2,-0.019034577864533997,-0.0313839781737375,-0.005845572896508999,032640
1,SBS_Media,Telecommunications_&_Media,2024,Q2,-0.006773905514708467,-0.008678222187901818,0.21541563977296685,034120
