접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20231212000051,2023-12-12,00356361,LG화학,윤명훈,등기임원,전무,-,0,-239,0.00,0.00,2023,Q4
20240123000003,2024-01-23,00356361,LG화학,김선애,비등기임원,상무,-,75,75,0.00,0.00,2024,Q1
20241108000349,2024-11-08,00356361,LG화학,LG,-,-,10%이상주주,"23,660,211","126,000",30.22,0.16,2024,Q4
20241115000286,2024-11-15,00356361,LG화학,LG,-,-,10%이상주주,"23,795,211","135,000",30.40,0.18,2024,Q4
20241122000397,2024-11-22,00356361,LG화학,LG,-,-,10%이상주주,"23,919,211","124,000",30.56,0.16,2024,Q4
20241129001933,2024-11-29,00356361,LG화학,LG,-,-,10%이상주주,"24,028,090","108,879",30.69,0.13,2024,Q4
20241209000118,2024-12-09,00356361,LG화학,김상민,비등기임원,전무,-,200,200,0.00,0.00,2024,Q4
20250106000424,2025-01-07,00356361,LG화학,김우성,비등기임원,상무,-,12,12,0.00,0.00,2025,Q1
20250207000701,2025-02-07,00356361,LG화학,LG,-,-,10%이상주주,"24,098,090","70,000",30.78,0.09,2025,Q1
20250214002239,2025-02-14,00356361,LG화학,LG,-,-,10%이상주주,"24,271,090","173,000",31.01,0.23,2025,Q1
20250221002021,2025-02-21,00356361,LG화학,LG,-,-,10%이상주주,"24,427,090","156,000",31.20,0.19,2025,Q1
20250228003516,2025-02-28,00356361,LG화학,LG,-,-,10%이상주주,"24,574,090","147,000",31.39,0.19,2025,Q1
20250307000673,2025-03-07,00356361,LG화학,LG,-,-,10%이상주주,"24,670,331","96,241",31.52,0.13,2025,Q1
20250310000207,2025-03-10,00356361,LG화학,김노마,비등기임원,전무,-,119,119,0.00,0.00,2025,Q1
