,name,sector,year,quarter,Relative Return,매출액변화율,유동부채변화율,비유동자산변화율,비유동부채변화율,영업이익변화율,Label,Code
12,Kia,Transportation,2021,Q3,0.023882528043028782,0.10157667849251051,0.11885650670986858,-0.00542031561485512,-0.02419915513577764,0.5870921424398033,0.002564168264668598,000270
12,SK_Hynix,Electronics,2021,Q3,-0.12397476340694003,-0.15286303504958987,-0.15721935415246646,-0.07735460361172852,-0.03964633943247575,-0.5620058968407649,-0.09888720735836898,000660
12,LG_Corporation,etc,2021,Q3,0.14709907740509348,-0.3228540472529009,0.17712992896887148,-0.01272905006349423,-0.06164604093224457,-1.0305742898017578,0.005034361269082008,003550
12,POSCO_Future_M,Electronics,2021,Q3,-0.1306903546559015,-0.05328522923922807,-0.06764462304866514,-0.07874579933745118,-0.23402014182110187,0.1290093971312718,0.31818315019641763,003670
12,Hyundai_Motor,Transportation,2021,Q3,0.03827999356831386,0.15080167235262065,0.0931043807281895,-0.00448511118368744,0.013870111142487374,1.7529748425083378,-0.06815592113318708,005380
12,POSCO_Holdings,Metal,2021,Q3,0.037915625252084605,-0.21960685225811094,-0.1725315136745591,-0.014970873384150485,-0.2794629888429587,-0.42760685720199865,0.045650607767681456,005490
12,Samsung_Electronics,Electronics,2021,Q3,-0.06970598870338271,-0.1780952868289667,-0.1600830205226833,-0.01240430756157651,0.006598062156857654,-0.3708405527627905,0.013766549796666958,005930
12,Samsung_SDI,Electronics,2021,Q3,-0.006096762109081479,-0.017711508667703102,0.06888457919063518,-0.011945170802732052,-0.0316517914818788,-0.021285449843425397,0.11606167817875186,006400
12,Samsung_Electro_Mechanics,Electronics,2021,Q3,-0.11875394861748434,-0.1116099286517549,-0.19030802716646877,-0.004699703334897443,-0.21884892037936132,-1.2692299413789496,0.09326965538672907,009150
12,Korea_Shipbuilding_&_Offshore_Engineering,Transportation,2021,Q3,-0.055295214292608294,0.07244087163161006,-0.022906952422272475,0.0052805235439767895,-0.12653543953455704,0.5342905507763549,-0.14553631476252465,009540
12,Korea_Zinc,Metal,2021,Q3,0.013612808120949178,0.06227241767022673,-0.1648953772760755,-0.012527073185296667,0.1093208136610001,0.022202627642775474,0.25493247293869215,010130
12,S_Oil,Chemistry,2021,Q3,0.2144274640507597,-0.061080335556605636,0.0024661832671957207,0.01491737356299927,0.02670501158352745,0.03793603300888848,0.16644038709404613,010950
12,Lotte_Chemical,Chemistry,2021,Q3,-0.18011840872532334,-0.10041096495190804,0.009485962322474117,0.005263789113605588,0.0577234742918632,0.45381159213149,0.01678820364431699,011170
12,Hyundai_Mobis,Transportation,2021,Q3,-0.05805729841062461,0.0360861012580429,0.17810843531673615,-0.018455104524653043,-0.2794211805842328,0.31191295847677336,-0.035818124303460264,012330
12,Korea_Electric_Power,Electronics,2021,Q3,0.023232882769971534,-0.19977151341320187,0.09431125159563136,0.0004507824965080953,-0.07664956898545716,-0.1994245665377603,0.04095577208693028,015760
12,SK_Telecom,Communication,2021,Q3,0.10320152908894692,-0.0019188477646814306,0.003398312425347494,0.02049939131781786,0.013489194194624132,0.026824217322450994,0.10578527727367189,017670
12,Samsung_SDS,IT_Service,2021,Q3,-0.09181545546401225,-0.015857018720422333,0.04876137696658844,-0.003112365868906064,0.024144616391876705,0.10739005070289309,-0.03681164542627907,018260
12,Hanon_Systems,Machines,2021,Q3,-0.12330680129860871,0.09061917428719968,0.019817376551942267,-0.002077590498401838,-0.21470981442457804,0.06130502475434263,0.03604073972407847,018880
12,Samsung_C&T,Distribution,2021,Q3,0.044112193114799116,0.015951185271085966,-0.02474604749531184,0.05279804525457088,0.09311215479526302,2.2364938679279147,0.0013578906808467128,028260
12,KT_Corporation,Communication,2021,Q3,0.07183050297395405,-0.0415075373967273,-0.11295073852766047,-0.0059934846267695185,0.05630314366820566,0.26214299951593156,0.11842688809113158,030200
12,KT&G,Food,2021,Q3,-0.011032770030164028,0.021543510552759826,-0.09823308597775826,-0.029105280375611775,-0.0706236889035321,0.006386082005609084,0.05535496344360111,033780
12,LG_Display,Electronics,2021,Q3,0.022038959001876836,-0.05556687564715501,-0.18658994789991445,-0.018404916614343403,0.09286558597037686,0.42346059853371254,-0.13640004598108552,034220
12,SK_Inc,etc,2021,Q3,-0.056659736709762286,-0.316480617743506,-0.12396250976155909,-0.027718665290909383,-0.05791785909871594,-5.302931145727717,0.04194222175841049,034730
12,NAVER,IT_Service,2021,Q3,0.06396601962299223,-0.015488953775417258,-0.07155329399605681,-0.07831780652241926,-0.023419350424098928,-0.05023290867097763,0.021499320458499407,035420
12,Kakao,IT_Service,2021,Q3,0.5763137934017746,-0.1279897941762682,-0.3041123642777479,-0.05885861788440727,-0.021574945141047852,0.00882321338829195,-0.18721814949131974,035720
12,NCSoft,IT_Service,2021,Q3,-0.1213341345688167,0.08604982475042777,-0.0490478193968229,-0.015005768478024484,-0.7529006812101067,0.13618837440592468,-0.1731537022775045,036570
12,LG_Household_&_Health_Care,Chemistry,2021,Q3,0.07440518674537236,-0.09483777360391743,-0.05133919126890052,-0.06461657139715582,-2.09488438038947,-0.31296884184943763,-0.15136311297485286,051900
12,LG_Chem,Chemistry,2021,Q3,-0.007496130018615814,-0.06447653164726663,0.11332998070923472,-0.010610286729245022,-0.23189179046577002,0.21009006806670694,0.005138045515988773,051910
12,LG_Electronics,Electronics,2021,Q3,0.010364620299265138,-0.030812720523810233,0.0007696586495135049,0.004301588831245651,0.007894540318006071,3.5532317212926885,-0.12929132022302703,066570
