,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,비유동부채변화율,영업이익변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,Label,Code
5,Kyungbang,유통,2023,Q2,-0.0007798103137797163,-0.0007611477217361884,-0.008348423511236103,0.011032105989292051,0.8279178342813958,-0.11688493113784645,-0.0035275884727701268,-0.003264910310021518,0.0,-0.004286713571401535,-0.11759751036169562,000050
5,Hite_Jinro,음식료·담배,2023,Q2,0.00773214600764871,0.02626055787165582,-0.05317315783530008,-0.009208579083249901,0.8384316553527165,-0.224453738477296,0.03253771932651017,0.04817181110235147,0.03165005390330522,0.0262365842034733,-0.08994987313571379,000080
5,Yuhan_Corporation,제약,2023,Q2,-0.00807407739364896,-0.009304753109873332,-0.11736610746013976,-1.2870511786151053,-0.2544449871506649,-0.22250029516563236,-0.02102716399586879,-0.021096257811483055,-4.351165365336463,-0.021836020506609488,0.15508310796901675,000100
5,CJ_Logistics,운송·창고,2023,Q2,-0.0032949348494932806,-0.0370200035630035,-0.061911959852647414,0.02633032885934805,-0.23102451755927245,-0.2592854945235631,0.045035295367782946,0.05044917085715295,0.9994062670736695,-0.04713138024273622,-0.09070208552509432,000120
5,Doosan_Corp,기타금융,2023,Q2,0.02420064369543251,0.02228870251672177,0.05801525197965629,0.2968335651956906,-0.14976464075590123,0.07864493781632614,0.02458958589722604,0.022790864016448142,3.7895544178376865,0.032509046754386595,-0.12121228960672698,000150
5,DL_Holdings,화학,2023,Q2,0.006128143838783906,0.0033393569458602945,0.8959441108062536,-0.32371504371089044,0.9580835418311151,-0.1852170317877591,-0.002302253723171388,-0.004290705276131845,-124.11,-0.013253715021253942,-0.2708427984706853,000210
5,Ildong_Pharmaceutical,제약,2023,Q2,0.059188043705768245,0.25456418653547386,0.1513119002200365,0.3047476583441846,1.4134489509038728,-0.45372509526121557,0.059239487296704474,0.05291628093777456,0.09698919318204346,0.06527825029093093,-0.3613270855250943,000230
5,Hankook_Tire_Worldwide,기타금융,2023,Q2,-0.0029879773006846744,-0.013061040396650014,0.1187140334876603,0.01456031919530798,0.6338954090330614,-0.2489199306481145,0.025247727669954423,0.02088958284046194,0.09359857194292609,-0.13452092870929344,-0.05071880793312107,000240
6,Kia_Corp,운송장비·부품,2023,Q2,-0.2260697350650236,-0.24243343749077484,-0.15867979199937698,0.05520769075296239,-1.689523744819621,0.23717992488904066,-0.06089005878885856,-0.05468614381740777,-4.32654683581532,-0.08524938445627517,0.040187485027052924,000270
6,Chosun_Refractories,비금속,2023,Q2,0.26892021884026973,0.021716290280187622,1.0,-0.7872541419431884,1.3738715376465342,0.11838502653128033,0.33584840450570197,0.055712654682727014,-2.6206570760137464,0.2805457012327337,1.2072203374292096,000480
5,Dong-A_Socio_Holdings,기타금융,2023,Q2,0.005533707666305787,0.009672768054790892,0.9364534170466223,6.4139224288384256e-06,1.0725193474803996,-0.2639857581817295,-0.013563051554140282,0.036813120519860076,-1.0975223500290912,-0.010250235022550624,-0.04452284024207545,000640
5,S_hynix,전기·전자,2023,Q2,0.0329557895502387,0.03635736077997298,-0.2885048301160691,0.020279968690568362,0.09512765199484652,0.08030658109660546,0.01390710378195481,0.011719216788726894,-0.03573690320548484,0.03522694654763103,0.23857885092975517,000660
5,Youngpoong,금속,2023,Q2,0.024097997295568496,0.02415226449330099,-0.04329616218725052,0.001748827615193571,20.724422116316564,-0.14699251351774661,0.04872354814923496,0.018259858527078343,0.0,-0.009610590806598429,-0.061193701785072,000670
5,Hyundai_E&C,건설,2023,Q2,-0.014866707433216275,-0.02182887648691967,-0.10578181037309875,-0.18622622603188166,-0.11600808358773707,-0.062469385703469535,-0.007446220890067412,-0.008748021564496389,-0.11938569701612511,0.0,-0.014578946147557108,000720
5,Hanwha_Corp,화학,2023,Q2,0.01072817410513327,0.010507922273071069,-0.14248818120257445,0.023937785203075657,0.1612553448311136,-0.07805296026717926,0.00026421383685959476,-0.004749987182034676,0.9967290890461817,-0.0024741615052281674,0.09092030536674629,000880
5,CJ_Corp,기타금융,2023,Q2,-0.003633852539001392,-0.005832896904294893,0.05002922664336318,-0.02287837532444903,0.857424106651499,0.1377941856033683,0.022995674997305704,0.025049052958930118,0.009806878960662235,-0.021702271841459675,-0.3908602830322851,001040
5,LG_International,유통,2023,Q2,-0.014214181004842397,-0.020160058961229188,0.1898611060247668,-0.20054618214494768,1.2518149656218385,-0.2504801314391728,0.021220134707187865,-0.004797137458852685,-0.07581920309709966,0.015908904250457212,0.18677654695353818,001120
5,Dongkuk_Steel,기타금융,2023,Q2,0.8148674913946101,-0.116804760161203,0.9989383478227063,0.9634186773797745,1.0354017918519796,-0.010042467619913273,0.8542249131223942,0.7727457851684207,-10.666269192221037,0.7779112472149506,0.6161944990961611,001230
5,SeAH_Besteel,금속,2023,Q2,0.006597283425959333,0.010380686732845978,0.930894918620101,0.003341721179336843,1.044308089132528,0.3030230417084625,-0.010230756917613437,-0.0027964330332861387,0.0,0.060060378116967406,0.06660892959369617,001430
5,Daesang,음식료·담배,2023,Q2,-0.02617033730561036,-0.03261988164759111,-0.025288841820854557,-0.025740115173348954,-0.3867737264089872,-0.20809010211365964,-0.007610969505602805,-0.0081197981318204,-3.7782485973339828,0.0,-0.16564057860556586,001680
5,SK_Networks,유통,2023,Q2,0.02354779821506814,0.09712596432614917,0.17272128299057077,0.12042130600817025,-0.06853485286082273,0.06915845348119948,0.0,0.0,1.0861689886665498,0.0025612600301073707,0.08570103251499477,001740
