,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,영업이익 변화율,Label,Code
1,CJ대한통운,2024,Q3,산업재,-0.045049518370987585,-0.006302671640738167,-0.006784793883670703,0.02857706809806615,0.09502698350049466,0.07174232802373501,000120
1,두산,2024,Q3,산업재,0.576339132409057,-0.0026689140665191458,-0.00398377215671053,0.0007597759747115518,0.5109359954514094,0.2714160839160839,000150
1,SK하이닉스,2024,Q3,정보기술,0.08992808521243906,0.02785444477482013,0.04197389643660232,0.08382739687598484,0.2582407687440518,0.02398203218323508,000660
1,LG상사,2024,Q3,산업재,0.03935304208420444,0.03415793284259494,-0.005618702851098112,0.03046366516724719,0.7486641129985223,-0.15531093906093915,001120
1,대한항공,2024,Q3,산업재,0.23188828067207462,0.03233988013205469,0.00854260442095156,0.02775188395410888,0.49637124816425837,-0.10632004797777332,003490
1,LG,2024,Q3,정보기술,0.049045669220156504,-0.0045883768820113024,0.008727432773399713,0.009094625060398931,1.6321918670527507,-0.1723400765900766,003550
1,S&T중공업,2024,Q3,산업재,0.16573363957244888,0.02484415139166729,-0.04319808392009228,0.017041432052964156,-0.6791011322562474,0.09611893425387576,003570
1,한솔테크닉스,2024,Q3,정보기술,-0.08271489411237727,-0.008348600140601348,0.06689275430269692,0.005088827059204437,-2.208699277700176,-0.0054990648296937145,004710
1,삼성전자,2024,Q3,정보기술,-0.22919748518725305,0.012059726196401943,0.018094243627815754,0.013514758918475867,-0.37626505868958504,0.012060026626759604,005930
1,LS,2024,Q3,산업재,0.01240458199620946,0.005982618939186057,0.001988358883869168,0.00943302674145774,-0.7030805849065527,0.14085914085914092,006260
1,삼성SDI,2024,Q3,정보기술,-0.08946737351994968,-0.03146048947642255,0.005787418107062958,-0.00453029835390395,-1.3364525397330314,-0.23323203072141702,006400
1,대덕전자,2024,Q3,정보기술,0.15248247586581212,-0.017394865784618796,0.005326578316150243,0.005493708129709951,0.22391107573660074,0.016664177579807343,008060
1,삼성전기,2024,Q3,정보기술,-0.14076218433053553,-0.019654816465402125,-0.012118889676227762,0.007148848749282566,-0.09264704950688685,0.1832352696323284,009150
1,LS산전,2024,Q3,산업재,-0.06381382043048417,0.03201942396343882,-0.0009236683270209545,0.032644571991981675,-0.5257982180559033,0.3872234582002677,010120
1,LG이노텍,2024,Q3,정보기술,-0.25267422180303534,-0.03560779936036773,0.15621219034689737,0.014448246022765066,3.7587139423076925,-0.006987318512606949,011070
1,현대상선,2024,Q3,산업재,-0.005130339658099628,0.010075579932693923,0.023091545925471246,0.02058623097888046,1.295161239429509,0.24701674434638393,011200
1,삼성에스디에스,2024,Q3,정보기술,0.060844780178995965,-0.011649499565403731,0.0944884675914277,0.12144425607203568,0.28535477733787595,-0.184668388181162,018260
1,일진머티리얼즈,2024,Q3,정보기술,-0.013344156443558255,0.06661861299734584,-0.004423362361828387,-0.019940879836016667,5.14055536648723,-0.23082985383359644,020150
1,한국단자,2024,Q3,산업재,0.2847673435329886,-0.01200630737140762,-0.05290025323161773,0.010382959442039263,-0.07009453355132511,-0.17045873283423083,025540
1,신도리코,2024,Q3,정보기술,0.14739875270247443,-0.12476732531822543,-0.002701597809042444,0.004932950799740876,-0.4214951188891798,-0.0691847764911146,029530
1,LG디스플레이,2024,Q3,정보기술,-0.016816672104377678,-0.07406521484357398,-3.463289577465556e-05,-0.07471692985137468,-0.2972715618250157,-0.09871884871884867,034220
1,SK,2024,Q3,정보기술,0.12210989641145588,-0.006009727154304589,-0.0014408157530961807,-0.003571186184424646,-0.049874012973983084,-0.0941906513027203,034730
1,한미반도체,2024,Q3,정보기술,-0.19476319905215403,0.03879379348296519,0.053770180614587826,0.03225566725514084,0.7885367633837228,0.03687919114989763,042700
1,대우인터내셔널,2024,Q3,산업재,0.05579092265251979,0.01965727572038478,0.0027640597724407634,0.032911021115225925,-0.01661331253035747,0.13286654197537473,047050
1,한국항공우주,2024,Q3,산업재,0.28873716071611066,0.013606854538139368,-0.01102047406478146,0.04222545641842923,0.07808275133762344,0.3309037045044507,047810
1,한전KPS,2024,Q3,산업재,0.16495993640367362,0.0003730860441761852,-0.01592662078548457,0.027304002391263626,-0.4422912390528241,-0.09272102897102899,051600
1,LG전자,2024,Q3,정보기술,0.03059741145357381,0.006539568571971355,-0.004766265674271963,-0.05206765706781491,-1.2591583102826926,-0.15227128477411608,066570
1,현대글로비스,2024,Q3,산업재,0.14694704913473322,0.07894878370956038,0.044599638652921714,0.05431274863239355,0.2896014487325105,-0.006394651555941933,086280
