,name,year,quarter,sector,Relative Return,비유동자산 변화율,Relative Return,자산총계 변화율,영업이익 변화율,비유동부채 변화율,매출액 변화율,Label,Code
30,CJ대한통운,2017,Q2,산업재,-0.07002388280293698,0.009155256454576488,-0.07002388280293698,0.03278002565413973,0.3573915073470797,0.1896338452058668,0.053139564139281115,-0.18818800596954915,000120
30,두산,2017,Q2,산업재,0.27590082802195737,0.033209887626210355,0.27590082802195737,0.025030156366888212,-0.5130205440367384,0.08522753485624879,0.039511687599190104,-0.0906428996630934,000150
30,대림산업,2017,Q2,건설,0.06358837528771155,0.037620731154822895,0.06358837528771155,0.029558522306349033,0.7548838990648417,0.1381359229481698,0.25572269797940983,-0.11560459519957578,000210
30,현대건설,2017,Q2,건설,-0.1576694390258916,-0.010912913880520403,-0.1576694390258916,-0.01828491458903847,0.07576430856736582,-0.05732587376051723,0.02483817375675601,-0.1900207477224205,000720
30,LG상사,2017,Q2,산업재,-0.10095799557848197,0.0113795865955999,-0.10095799557848197,-0.0061127427246376875,-1.2171829298845502,-0.08555743429261997,-0.13591972098713678,-0.10129325401356078,001120
30,KCC,2017,Q2,건설,0.09648870505921951,0.1047361583841322,0.09648870505921951,0.100861554487097,0.3589136642056878,-0.23700357306812225,0.14978842977054319,-0.09493906539262703,002380
30,한일시멘트,2017,Q2,건설,-0.09165227113750558,0.022001206562001663,-0.09165227113750558,0.08778909554664693,27.71484124531362,0.9937203036516606,0.32525847119741513,0.07450946031834868,003300
30,대한항공,2017,Q2,산업재,0.09689873056460413,0.024905135612618645,0.09689873056460413,0.0391882923282445,-0.12506326209348284,0.10048219796415503,0.014462115017845223,-0.24487756318235174,003490
30,S&T중공업,2017,Q2,산업재,-0.03294770782556234,-0.00837130771692196,-0.03294770782556234,0.000955595883725957,-1.1112211673911938,-0.011504315345271077,-0.07524522039502124,-0.1652097407655618,003570
30,LS,2017,Q2,산업재,0.2403844910729292,-0.0005732458885194802,0.2403844910729292,-0.003447635124771309,-0.0046896571143939525,-0.003401852505394931,-0.006609049048103888,-0.23972379605919317,006260
30,LS산전,2017,Q2,산업재,0.05932401154252052,-0.02619490093562149,0.05932401154252052,0.02550263941575137,0.14302367242111313,0.06610511181279533,0.07018521787188381,-0.06067428757190768,010120
30,아이에스동서,2017,Q2,건설,-0.14622369606157376,0.019218193401694617,-0.14622369606157376,0.16409180383347954,0.2774588318335951,-0.3816700785859808,0.22398420507167716,-0.14836272527852445,010780
30,현대상선,2017,Q2,산업재,-0.15852426423223576,-0.01802591553881061,-0.15852426423223576,-0.11203572854020927,-0.13964198999575617,-0.0016332897181295936,-0.016873109842341583,-0.2434103961001017,011200
30,현대산업,2017,Q2,건설,-0.1727835290494158,0.028497051679339247,-0.1727835290494158,0.024384111931448516,-0.006472172177458546,0.0004288214772367738,0.25732773025263445,-0.09943011953419714,012630
30,한국단자,2017,Q2,산업재,-0.07227961953471577,0.046316961797328915,-0.07227961953471577,0.020687168106272136,-0.16407360884873678,0.035559119785812054,-0.031473892920850566,-0.08213517779674952,025540
30,삼성엔지니어링,2017,Q2,건설,-0.17932405448451283,-0.016658546503388494,-0.17932405448451283,-0.026390886337740227,-4.374018740693419,0.5726237094703648,-0.22326195394420723,0.1238958183741534,028050
30,대우건설,2017,Q2,건설,-0.07214100872307247,0.017909831764996165,-0.07214100872307247,-0.011469329615495516,0.11926966279908191,-0.017343779117713898,0.18032059611451712,-0.23459878992406843,047040
30,대우인터내셔널,2017,Q2,산업재,-0.04366249078850408,0.011254855047295953,-0.04366249078850408,0.06409379885466926,-0.07739147013250891,-0.07321002131728549,0.1661319324147985,-0.2495476075871764,047050
30,한국항공우주,2017,Q2,산업재,-0.41103735527460894,0.03716847425770231,-0.41103735527460894,-0.05205264972730628,-1.3911129271157874,0.34020098591246506,-0.23418916526884526,0.22578965339006057,047810
30,한전KPS,2017,Q2,산업재,-0.15239433098220867,0.04270955873312099,-0.15239433098220867,0.05842417386447152,0.6657482373151253,0.5586600583358914,0.2638812854580237,-0.27659612149542767,051600
30,한전기술,2017,Q2,건설,-0.2592446028034107,-0.017003077976747383,-0.2592446028034107,0.023421222406534437,-5.346505713826979,0.032285541295199005,0.16236956298973726,-0.0989931714951364,052690
30,현대글로비스,2017,Q2,산업재,0.06391622056542583,0.03523211102032642,0.06391622056542583,0.007372691017806243,-0.08428796931751326,0.07313181274008995,0.05008100741307664,-0.19470552100981864,086280
30,LG하우시스,2017,Q2,건설,-0.059193781531659224,0.028707617528881624,-0.059193781531659224,0.059694691164001945,0.34581693087917165,0.20759658819622784,0.1003598955839422,-0.16172406895413802,108670
