,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,매출액 변화율,자본총계 변화율,영업이익 변화율,비유동부채 변화율,Label,Code
6,CJ대한통운,2023,Q4,산업재,0.4966950132532586,0.005313680848907376,-0.03178797372816777,0.06616800715562254,-0.03911776262100786,0.11588427568347903,-0.01444855855543592,-0.06923119272769242,000120
6,두산,2023,Q4,산업재,0.7918139118765377,0.010875646627577673,-0.018812339881735363,1.962351018147904,-0.011312003820950434,-3.7693834522350493,-0.04313349805623545,0.11362603673680229,000150
6,LG상사,2023,Q4,산업재,-0.21887943762821263,-0.0464742264459822,-0.08490764659103156,-0.007270987712649779,-0.06606135005017977,-1.5024549732669694,-0.029740480112622425,0.11396611115926664,001120
6,대한항공,2023,Q4,산업재,-0.10937360538388757,0.023367019170002168,0.006131582524865786,0.0301147885255737,-0.042260192771823135,-0.6471138660390401,0.0269622225209325,0.013349172915318229,003490
6,S&T중공업,2023,Q4,산업재,0.10831961863685378,0.02150738172388955,0.041740629707346155,0.1147772812965775,0.024255449780284266,-0.4895026326950116,0.28849060980953456,0.004393848110463167,003570
6,LS,2023,Q4,산업재,0.2473305226659312,0.07334271536829795,0.0689886538170077,3.4319350037527645,0.04022167132597576,2.2823677410580716,0.20493268142296306,0.4117420199528373,006260
6,LS산전,2023,Q4,산업재,0.2639803394231661,0.04183867912046235,0.01098633974585228,0.017485900996638826,0.03163387348731628,0.11860700208632169,0.20542173139673348,0.8769314678781875,010120
6,현대상선,2023,Q4,산업재,-0.16428017730178335,-0.05180675994998618,-0.029339526320570908,-0.03239144689156348,-0.02708896212303402,-0.39812925170068025,-0.07606857229145991,0.1333854761350332,011200
6,SK텔레콤,2023,Q4,커뮤니케이션서비스,-0.06663761102511306,0.008460555756166777,0.005488365933755457,0.01773668097319092,-0.012899162910763762,-0.3761210087666509,-0.023120270960331646,-0.010410923381107289,017670
6,한국단자,2023,Q4,산업재,-0.21019469644483962,-0.02211139375049942,-0.013792101723771766,-0.009767879800544277,-0.01529964123342109,-0.14238861116206325,0.22399233132053342,-0.015590539087038785,025540
6,제일기획,2023,Q4,커뮤니케이션서비스,-0.22360389338737713,-0.11227460018553848,0.1206005913372068,0.21478620181307329,-0.08685851950533419,-0.2593973654058588,-0.14611202184982097,0.04079984521159238,030000
6,KT,2023,Q4,커뮤니케이션서비스,0.014524599782562472,-0.0038203037632494885,-0.016415893533656356,-0.017310873046393116,0.004016053803668207,0.014578660685677702,-0.06718146033188932,-0.03468020585882476,030200
6,LG유플러스,2023,Q4,커뮤니케이션서비스,-0.15834178081439812,0.0027738333744080634,-0.005138796879539664,0.05413174579611724,0.010378595963690174,-0.2546754133021968,-0.09871950512458261,0.0011199097196988887,032640
6,SBS,2023,Q4,커뮤니케이션서비스,0.007389048813903759,0.05857901905477636,0.0195932958939109,0.09934733768198534,0.03567666277111403,1.703648270800311,-0.0810159714276435,-0.21490626066424448,034120
6,NAVER,2023,Q4,커뮤니케이션서비스,-0.17074025971481907,-0.0025869888065161994,0.004259920065930123,0.030568293587590167,0.04488091595611565,-0.013571523719412948,-0.0140283593764442,-0.004516381938165881,035420
6,엔씨소프트,2023,Q4,커뮤니케이션서비스,-0.3590388552658222,0.056278007158893306,0.015045277845041172,0.053708873159404424,0.02706524746959338,-0.8164407024259057,-0.011943363080861191,0.13818671178564776,036570
6,대우인터내셔널,2023,Q4,산업재,-0.16867594959706195,-0.007691882457082522,-0.0214486484203833,0.004672705361339569,0.013221713300493931,-0.353777482631893,-0.1691960486890901,-0.1740151210410325,047050
6,한국항공우주,2023,Q4,산업재,-0.026732196523154034,0.006238013836370904,-0.013490005009909378,0.4961267952021058,0.06790252687442444,1.3636415381499187,0.11423108534014492,0.09038771312992959,047810
6,한전KPS,2023,Q4,산업재,-0.06436083872545746,-0.0211583167123367,0.0157306148432228,0.30136933394457954,0.005219074521145339,0.6211204798344074,-0.4713903441839674,-0.01662839012488982,051600
6,현대글로비스,2023,Q4,산업재,-0.042301870426109486,0.016523843787425774,0.0015837851275373183,0.03325965201124648,0.03584639660019562,0.034578942547976776,-0.04686057941567634,0.005164872593534946,086280
