,name,year,quarter,sector,Relative Return,비유동부채 변화율,부채총계 변화율,유동자산 변화율,비유동자산 변화율,금리 변화율,기초 소유주식 지분율 변화율,Label,Code
25,대림산업,2018,Q3,건설,0.24461398270001578,-0.12935115221113647,-0.13031030122578957,-0.07609312293173964,0.005461379407374123,-0.09246405552800974,0.0,0.15289343413165826,000210
25,현대건설,2018,Q3,건설,-0.060928753437617986,-0.030474606318600106,-0.05388673635397667,-0.019502604496009712,-0.05421040638977426,-0.09246405552800974,0.0,0.00930155204081681,000720
25,한화,2018,Q3,에너지_화학,-0.00021630305485643986,-0.10118530282249327,0.02726579858391509,0.0822084292702403,0.002286463293995844,-0.09246405552800974,0.0,-0.0020263470074288192,000880
25,KCC,2018,Q3,건설,-0.1265411468584273,0.06386701103660775,0.0012531842290972595,0.014899388471498964,0.043661220529586764,-0.09246405552800974,0.0,0.15749415766718328,002380
25,한국쉘석유,2018,Q3,에너지_화학,0.10084290265524605,2.4275870233597403,0.5040678123875606,0.16651756967002762,0.025745242824302572,-0.09246405552800974,0.0,-0.11106545604653786,002960
25,태광산업,2018,Q3,에너지_화학,-0.09765456177358828,0.01211207393117042,0.17701586648870338,0.11960370982775936,0.009905684395749681,-0.09246405552800974,0.0,0.11405666675706061,003240
25,한일시멘트,2018,Q3,건설,-0.2000711357221891,0.0005683522479111858,-0.8287873194200299,-0.8704199790901498,0.057376852927256916,-0.09246405552800974,0.0,-0.182706499966927,003300
25,쌍용양회,2018,Q3,건설,0.06630701334197442,0.18351785233340023,-0.0305100064114997,-0.04632929951239806,-0.004206296062386872,-0.09246405552800974,0.0,0.17082101167610733,003410
25,삼성정밀화학,2018,Q3,에너지_화학,-0.24209490684398327,-0.08250475718580552,-0.2011016987038874,-0.0684313800055929,0.006866781617132611,-0.09246405552800974,0.0,0.02942855286852369,004000
25,효성,2018,Q3,에너지_화학,0.2196153631717404,-0.15308135205934081,-0.10471706812059567,0.1614186577700385,-0.08746428963817954,-0.09246405552800974,0.0,0.5196370191693875,004800
25,SK케미칼,2018,Q3,에너지_화학,-0.06448909256972342,-0.42304962377479394,-0.0032137219944476936,0.19148157561187729,0.035625874669532376,-0.09246405552800974,0.0,-0.05844208590491955,006120
25,대한유화,2018,Q3,에너지_화학,-0.24454073215744743,0.010088364630515656,-0.13878950689369274,0.05137885706524137,-0.014669953204640707,-0.09246405552800974,0.0,-0.0789269133001408,006650
25,국도화학,2018,Q3,에너지_화학,-0.09507633544050358,-0.33058583226974947,-0.023408550179479515,-0.027517874750595972,0.03763424546037952,-0.09246405552800974,0.0,-0.0012590144242402256,007690
25,한화케미칼,2018,Q3,에너지_화학,-0.1279303291015167,0.01856966700691176,0.08296605982861949,-0.018843313066281953,0.07205264886217555,-0.09246405552800974,0.0,0.2348747740716629,009830
25,OCI,2018,Q3,에너지_화학,-0.002626915734135357,-0.026121697068187122,-0.1543091554268725,-0.14626105201562734,-0.008604645104032027,-0.09246405552800974,0.0,-0.06880738944257711,010060
25,아이에스동서,2018,Q3,건설,-0.0011112333954137188,0.8218164250166198,-0.0996524982501612,-0.08056026353794721,0.028283959761657762,-0.09246405552800974,0.0,0.033426551851878136,010780
25,S-Oil,2018,Q3,에너지_화학,0.023682694835438917,0.041486282428327526,0.0022725581650355764,-0.011873883160337884,0.029325311892569372,-0.09246405552800974,0.0,-0.2035770219525992,010950
25,롯데케미칼,2018,Q3,에너지_화학,-0.1241478422577471,-0.027074346285407835,-0.0020324912168543374,0.03861145633861662,0.014159490414086928,-0.09246405552800974,0.0,-0.17546183525316797,011170
25,금호석유,2018,Q3,에너지_화학,-0.06873875451116711,0.23510674912265195,0.04524598279362735,0.10053063877464608,0.0087470745032181,-0.09246405552800974,0.0,0.03335902319440412,011780
25,SKC,2018,Q3,에너지_화학,-0.1542131953200498,-0.05854927547208211,0.010338000031234529,0.10090106550078648,-6.755969771954362e-05,-0.09246405552800974,0.0,-0.0015160504631379426,011790
25,현대산업,2018,Q3,건설,-0.24677706086944673,0.25103924674325917,-0.2044255653768532,-0.034710041269124914,0.6340944090445821,-0.09246405552800974,0.0,0.09903370954224197,012630
25,한솔케미칼,2018,Q3,에너지_화학,0.01813462526584715,0.006785990869335956,-0.06353872007860595,-0.11912642877940482,0.055079217112883105,-0.09246405552800974,0.0,0.04165632462892592,014680
25,동원시스템즈,2018,Q3,에너지_화학,-0.1143999270858642,-0.5657580552009391,-0.05296908682989576,-0.1548642096019155,0.05147625269096001,-0.09246405552800974,0.0,0.28015447928964193,014820
25,유니드,2018,Q3,에너지_화학,-0.1695131914393005,0.044291125561082056,0.08664852978339921,0.14964429860819295,-0.018880060228118056,-0.09246405552800974,0.0,0.2550790532247878,014830
25,남해화학,2018,Q3,에너지_화학,-0.1592170756057017,0.059981587795172375,0.12292454315240864,0.06232445193318337,-0.015300177280626492,-0.09246405552800974,0.0,-0.06022740520848702,025860
25,삼성엔지니어링,2018,Q3,건설,0.19282500191387464,-0.33546964125477885,-0.07489850432531109,-0.030570857141538066,-0.051393658818864485,-0.09246405552800974,0.0,-0.14342252310036457,028050
25,대우건설,2018,Q3,건설,-0.040184176886632145,-0.009473639577732507,-0.07416481716439682,-0.08208808410669333,0.0008293371127536808,-0.09246405552800974,0.0,0.03716613569969823,047040
25,LG화학,2018,Q3,에너지_화학,-0.019456041860826584,0.006276925136355693,0.04930991317803435,0.06192915557686418,0.018276145279965572,-0.09246405552800974,0.0,0.05724486610993815,051910
