,name,year,quarter,sector,Relative Return,부채총계 변화율,영업이익 변화율,자산총계 변화율,비유동부채 변화율,이익잉여금 변화율,Label,Code
34,대림산업,2016,Q2,건설,-0.015144660421478967,0.006555558100858283,1.016410796698589,0.0053597240562808235,0.06521745957130287,0.0034195489020401038,-0.01695130941694848,000210
34,현대건설,2016,Q2,건설,0.02257622244255246,0.03471060882237542,0.14653702594350482,0.027476181608819816,0.00779332097730423,0.022739021498932033,0.17336626894697518,000720
34,한화,2016,Q2,에너지_화학,-0.11963789620488255,-0.006856082886492754,0.05351073597396949,0.003799772876975638,-0.13896463459713082,0.02782782752995927,-0.008169161058828388,000880
34,KCC,2016,Q2,건설,-0.02140646831967888,-0.00972120630817519,0.2200061365129613,-0.02887315234754817,-0.05874469977218333,0.011500376657158862,-0.055202335069408956,002380
34,한국쉘석유,2016,Q2,에너지_화학,-0.08564949341191254,-0.49114410536161,0.08470084590711235,-0.12454639859611283,-0.07994066253480414,0.10224508292317336,-0.00914302308301864,002960
34,태광산업,2016,Q2,에너지_화학,-0.06198293431178346,0.07170480614733665,-3.843180230566171,0.01090239730786724,0.011530969475506136,0.0013466434853635079,0.003052012134175792,003240
34,한일시멘트,2016,Q2,건설,-0.2802891170932226,-0.012489355867329244,33.520585131954505,0.0037838798926037587,0.26878467567263664,0.017466138349566895,-0.0743844073816016,003300
34,삼성정밀화학,2016,Q2,에너지_화학,-0.05296271180271714,0.00363933164911856,-2.174724758684227,0.012500321891677713,0.0005684683359967746,0.030025500590234566,-0.16505417548574225,004000
34,효성,2016,Q2,에너지_화학,0.1534777984746975,-0.048970911140585605,0.43435460460787234,-0.023604927982833757,0.053961787663831196,0.03241013972825746,0.008662089460464695,004800
34,SK케미칼,2016,Q2,에너지_화학,-0.15460176219070887,-0.08956709111457506,0.3264385470433404,-0.04327907244339413,-0.014263080282585605,0.003568120172122269,-0.12294333711072915,006120
34,대한유화,2016,Q2,에너지_화학,-0.05071435023551498,-0.11483530561273991,0.2669870103634342,0.012211804778274882,-0.30273460574846656,0.10155162454000233,-0.12593169363574927,006650
34,국도화학,2016,Q2,에너지_화학,-0.1222520140915675,-0.052181855112757525,-0.43389292465933493,-0.007382578935945405,0.5317996669312401,0.017447569635229865,-0.040211982271602,007690
34,한화케미칼,2016,Q2,에너지_화학,0.02973855793924371,-0.036029762792166964,0.9359119861473901,-0.004385374634725103,-0.056816699825072536,0.027951934155502567,-0.07329964740484654,009830
34,OCI,2016,Q2,에너지_화학,-0.21887881235146914,-0.06359646236215244,3.4556025053435624,-0.03177737602196362,-0.07993106927714266,-0.012231196750389195,-0.08019995721843763,010060
34,아이에스동서,2016,Q2,건설,0.21964518954462248,0.03714699987239989,0.5571778487722643,0.1266669729077603,0.21065455151657808,0.1936813436192446,-0.18481327166520314,010780
34,S-Oil,2016,Q2,에너지_화학,-0.170820468687368,0.07347042568996853,0.3030983887890297,0.07575675246948577,0.1587246338352455,0.11003688357990749,0.13137804526155245,010950
34,롯데케미칼,2016,Q2,에너지_화학,-0.0007790827229420955,0.37836911176258936,0.26370199976845843,0.13853683020333185,0.7460121814568945,0.04621922570693693,0.03567162649136499,011170
34,금호석유,2016,Q2,에너지_화학,-0.11187737889313507,0.013462307094410653,0.08878573558772396,0.013196903254406811,-0.009182690562038909,0.038916997822662225,0.178539035203508,011780
34,SKC,2016,Q2,에너지_화학,-0.025663861228004493,-0.05403629801804677,-0.13126885659328913,0.006737551813508658,-0.012999924642301042,0.053106060997001325,-0.012310610291791764,011790
34,현대산업,2016,Q2,건설,-0.043726091106808855,0.03387361982636783,1.28059832084594,0.03787428480873878,-0.004821802759424565,0.051717214834727576,0.06545321633288634,012630
34,한솔케미칼,2016,Q2,에너지_화학,0.13034264519103736,0.05179148978500736,0.10397383277698813,0.04059071709623341,-0.2665463438785507,0.05661698802611115,-0.023393262799784063,014680
34,동원시스템즈,2016,Q2,에너지_화학,-0.21127548913522995,-0.10971682855771547,0.15548950539490658,-0.06478034943380961,0.008465758521924771,-0.5932300951388292,0.04719676204808745,014820
34,유니드,2016,Q2,에너지_화학,-0.10289678248751447,-0.08239591761183251,0.24448289365522435,-0.013151227567790524,-0.034328421866639314,0.025135004928894533,0.05530676296054313,014830
34,남해화학,2016,Q2,에너지_화학,-0.19072252225831157,-0.012712051334322183,1.2532364719762512,0.01462594019241159,-0.4241158726520925,0.034026910192691995,-0.07088510526180938,025860
34,삼성엔지니어링,2016,Q2,건설,-0.09026630771118492,-0.027348811177078547,-3.8119216076219877,-0.004796163236055695,-0.4220106638592216,-0.19878020857576584,-0.05733214760499251,028050
34,대우건설,2016,Q2,건설,-0.08927410156238276,-0.03289591781354906,0.6892331338339026,-0.02550923106484182,-0.1519311414275909,0.10778393128749086,0.06518944236306617,047040
34,LG화학,2016,Q2,에너지_화학,-0.12090195646609972,-0.07847169262155995,0.2809803331902381,0.010588902549553358,0.05825440039324681,0.044732337355155805,-0.08704468603024589,051910
