,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,영업이익 변화율,비유동자산 변화율,매출액 변화율,비유동부채 변화율,Label,Code
12,하이트진로,2021,Q4,생활소비재,0.20334813704858318,0.08325393584683072,-0.01539016242601654,-0.21041849634010934,-0.017496724090179328,-0.024782293011089473,-0.10778592211798232,-0.012106847679306795,000080
12,대림산업,2021,Q4,건설,0.016286275246006884,0.08325393584683072,-0.009170287232970531,0.07453537583599856,0.017072759320268638,0.6657415766444117,0.10401204579725531,0.09273574716054264,000210
12,현대건설,2021,Q4,건설,0.06602718996731899,0.08325393584683072,0.01863721533039575,-0.0009419853555265867,0.09127882831184198,0.264208675335603,0.0379147986466426,-0.1054703706981916,000720
12,CJ,2021,Q4,생활소비재,-0.049183820687011576,0.08325393584683072,0.005618432515553717,-0.3170238126470596,-0.0007903595871687763,0.08215751793950066,0.005331462099485984,0.08096572305841608,001040
12,대상,2021,Q4,생활소비재,0.017341955966959574,0.08325393584683072,0.057306155020289795,-0.44789828906794027,0.04067889098868993,0.016078588369014435,-0.01806669354966317,0.13444508417465725,001680
12,오리온,2021,Q4,생활소비재,-0.041456974598205895,0.08325393584683072,0.10134816901972954,0.6787995507065689,7.716800276091895e-05,0.0882933446530414,-0.06980858259304012,0.05552237888351503,001800
12,KCC,2021,Q4,건설,0.09321642013939833,0.08325393584683072,-0.0022566628465829908,-0.2102363722063837,-0.008604962377954273,0.10411392878255032,0.11891414188587279,0.0737975786631034,002380
12,아모레G,2021,Q4,생활소비재,-0.00833068060234668,0.08325393584683072,-0.028702787116539508,0.5511813540535162,-0.0016863648177930513,0.08219109131236602,0.002873976094922792,0.058838877200013344,002790
12,한일시멘트,2021,Q4,건설,0.09613034129676085,0.08325393584683072,-0.001250353062719256,-0.47569231182425364,-0.0983012467246479,0.08221086278559753,-0.006544187720160188,0.06601474266625923,003300
12,남양유업,2021,Q4,생활소비재,0.0018168583606366084,0.08325393584683072,-0.010582437376386533,-0.12980994264356815,-0.006942762646226841,0.02258594563756322,-0.10985991829670982,0.0018108270868471901,003920
