,name,year,quarter,sector,Relative Return,국제유가 변화율,영업이익 변화율,이익잉여금 변화율,비유동자산 변화율,비유동부채 변화율,매출액 변화율,Label,Code
35,하이트진로,2016,Q1,생활소비재,-0.09220073570701287,-0.22660852268380383,-0.7921962925095051,-0.14283658413234124,-0.002774170367094375,0.07972263992679673,-0.7875491240816817,-0.21978854970262243,000080
35,대림산업,2016,Q1,건설,-0.07082949201266767,-0.22660852268380383,-0.8613563896633599,0.011133375325857564,0.00022933334677022188,0.1429515082642676,-0.7630111055752188,-0.015144660421478967,000210
35,현대건설,2016,Q1,건설,-0.1138887071203408,-0.22660852268380383,-0.7897866190334117,0.022351135263412036,-0.04676639581120923,-0.031917511890761974,-0.7719534202778431,0.02257622244255246,000720
35,CJ,2016,Q1,생활소비재,0.1658840593286085,-0.22660852268380383,-0.20218102130330573,-0.0007255670168015982,-0.0007438857420923872,0.0011539542745053755,-0.4765896394266991,-0.18960116914057856,001040
35,대상,2016,Q1,생활소비재,0.0024987178448997033,-0.22660852268380383,-0.7427104788660766,0.017421025547783797,-0.0015953868439720909,0.3065040728472739,-0.7293425614967709,0.07967801911387586,001680
35,오리온,2016,Q1,생활소비재,0.10012761001946362,-0.22660852268380383,-0.7491739573323553,-0.0486670575465713,0.0069245978447773915,-0.15696619219238073,-0.7542702563119487,-0.15338178941590255,001800
35,KCC,2016,Q1,건설,0.011181880672166583,-0.22660852268380383,-0.7239352560716084,-0.007542504049081855,0.03094125819075244,0.025461218875272973,-0.7684539644114332,-0.02140646831967888,002380
35,아모레G,2016,Q1,생활소비재,0.17942190353383847,-0.22660852268380383,0.32958237574646687,0.01672717769163734,-0.0031676388954510193,0.015705926833479822,2.2995569554126183,-0.17744728494812168,002790
35,한일시멘트,2016,Q1,건설,0.18097937747870593,-0.22660852268380383,-0.992269853435432,-0.001271909939817517,-0.05153917776500061,-0.021687721574391805,-0.785381791703731,-0.2802891170932226,003300
35,남양유업,2016,Q1,생활소비재,-0.06863495201839015,-0.22660852268380383,-0.7955220487716779,0.0030094677168606143,-0.048652696455431466,0.08778523140518835,-0.7640961350617557,-0.09472363552423035,003920
35,농심,2016,Q1,생활소비재,-0.005639651422808933,-0.22660852268380383,-0.7275599360154745,0.07763551765089205,0.01146604662845796,0.0472818448848622,-0.7455429297746425,-0.1780270453076065,004370
35,빙그레,2016,Q1,생활소비재,-0.009581848014798968,-0.22660852268380383,-0.9419901614504285,-0.8195465855092996,-0.009424675253938641,0.09994805581988464,-0.7904747197257899,-0.11018559045260598,005180
35,롯데칠성,2016,Q1,생활소비재,0.1148799477440989,-0.22660852268380383,-0.7286895738437257,0.008610675607727769,0.01619755471999751,-0.0746480990131112,-0.7632764518514848,-0.24769800863879976,005300
35,현대그린푸드,2016,Q1,생활소비재,0.015734933866686868,-0.22660852268380383,-0.6699880973106936,0.03013673746034895,0.037447624114595346,0.08448443792012084,-0.7245226634801425,-0.14465697385225118,005440
35,삼립식품,2016,Q1,생활소비재,0.09709641899432499,-0.22660852268380383,-0.847272192467714,-0.013710955167176131,-0.008244666491319608,0.06026523736485334,-0.7513390535754894,-0.2779688257670116,005610
35,크라운제과,2016,Q1,생활소비재,-0.06421746058080974,-0.22660852268380383,-0.7994026433476038,0.007345332191925902,-0.0007563018468796923,0.01793515323212791,-0.7369974551722236,0.0,005740
35,GS리테일,2016,Q1,생활소비재,0.22752201212244957,-0.22660852268380383,-0.8760426314515606,-0.024681046214165447,0.01692235033920375,0.00876846528346964,-0.7418784828872695,-0.1831230244588442,007070
