,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,영업이익 변화율,비유동자산 변화율,매출액 변화율,Label,Code
21,하이트진로,2019,Q3,생활소비재,0.2802798329144396,-0.10146539633409102,0.07165593032855733,4.8057016164004915,0.0006343433154849532,0.009775092172608968,0.038010294575439196,000080
21,대림산업,2019,Q3,건설,-0.12059862893574436,-0.10146539633409102,0.009539286033366956,-0.422068209161119,-0.05375354340190086,-0.1629417899811697,-0.16662607758445078,000210
21,현대건설,2019,Q3,건설,-0.035704372441128854,-0.10146539633409102,0.015687917863351775,0.017616106154198174,0.006996744834302904,-0.1090789080029918,-0.2516429718168658,000720
21,CJ,2019,Q3,생활소비재,0.0876596259759125,-0.10146539633409102,0.0073445635061542,0.70620321634364,0.0034708583210154575,-0.013868677224125991,-0.12836156294329962,001040
21,대상,2019,Q3,생활소비재,-0.016678527527980727,-0.10146539633409102,0.0319751527873644,0.31120619367008695,0.03607698903771861,0.11660446636080435,-0.17116254653552745,001680
21,오리온,2019,Q3,생활소비재,0.02043666881706442,-0.10146539633409102,0.12956335298577826,1.60427633747544,0.007800447084038931,0.36448215843734566,-0.1504634047634513,001800
21,KCC,2019,Q3,건설,-0.0627374078954682,-0.10146539633409102,-0.012743550981878626,-0.09091138372183505,-0.0010719597334636344,-0.046688310862271765,-0.17376325794838146,002380
21,아모레G,2019,Q3,생활소비재,0.3027252659402598,-0.10146539633409102,0.07203738069164145,-398.63361860141833,0.027868682195731243,-0.013864348650130198,-0.14143855502809646,002790
21,한일시멘트,2019,Q3,건설,-0.03312599588747128,-0.10146539633409102,-7.013769151176241e-05,0.06820392035921397,0.1910115696514958,-0.013865069026423926,-0.1571609347295915,003300
21,남양유업,2019,Q3,생활소비재,-0.21883060991489223,-0.10146539633409102,-0.0008062929379824002,-30.54857577313776,-0.015074503681693718,-0.035528723105934246,-0.21975698492432408,003920
21,농심,2019,Q3,생활소비재,-0.00952486751588151,-0.10146539633409102,0.007211417464328518,1.9719871807574787,0.09673860936494516,0.01714105441926317,0.2389364481694069,004370
21,빙그레,2019,Q3,생활소비재,-0.14858969059051724,-0.10146539633409102,0.6921604352854518,0.09303866249728943,-0.000355805271806231,0.07284684675111164,-0.04657183270994533,005180
21,롯데칠성,2019,Q3,생활소비재,-0.10676315554364323,-0.10146539633409102,0.01680049832323105,0.024044854019741546,-0.005505573822425891,-0.020517668437002756,-0.18874623829601198,005300
21,현대그린푸드,2019,Q3,생활소비재,-0.10379415904414765,-0.10146539633409102,0.02085962607204883,0.18073049784474882,0.004372174107435622,0.08098849655977225,-0.2512865642853134,005440
21,삼립식품,2019,Q3,생활소비재,-0.009357330657772722,-0.10146539633409102,0.016068992950110106,-0.3609437799589216,0.5826182425775157,0.03357728639936264,-0.21491658150414625,005610
21,크라운제과,2019,Q3,생활소비재,-0.11345583980642095,-0.10146539633409102,0.0017164083840812694,4.665485341620225,-0.00019878703060449698,0.4414980708065164,-0.2034993236259083,005740
21,GS리테일,2019,Q3,생활소비재,-0.08304177194964817,-0.10146539633409102,0.028858877104721348,0.15263544883128333,-0.0005380101437516549,0.03037393017945078,-0.1010458152912597,007070
21,오뚜기,2019,Q3,생활소비재,-0.15989466455750517,-0.10146539633409102,0.019410056883409688,0.015215392245295112,0.05222590632538959,0.035239048790653094,-0.02672794854789709,007310
21,아이에스동서,2019,Q3,건설,0.028257710820506723,-0.10146539633409102,0.021470786337603798,0.8812150501226053,0.046013521014190095,-0.02852727465707905,-0.17896627382970062,010780
21,현대산업,2019,Q3,건설,-0.15566204781602946,-0.10146539633409102,0.022191991907262176,-0.09409634753847995,-0.003749084390301527,-0.2551885155392586,-0.17061323994475183,012630
21,한국전력,2019,Q3,생활소비재,-0.013779777699707618,-0.10146539633409102,-0.0007755803989889509,1.589779914768462,-0.004258078938752741,0.2137079634292378,-0.15232934492999803,015760
