,name,year,quarter,sector,Relative Return,유동부채 변화율,비유동부채 변화율,비유동자산 변화율,소비자물가지수 변화율,당기순이익(손실) 변화율,금리 변화율,Label,Code
32,대림산업,2016,Q4,건설,-0.13911732572419963,0.0587947890377849,-0.016167842348950634,0.245349989686229,0.9720054193181309,-3.4807539410036314,0.3210161662817601,-0.04877684289017979,000210
32,현대건설,2016,Q4,건설,0.01665776516054719,0.06505597667153418,-0.14080468836625648,-0.024582035243341127,0.9720054193181309,0.7510697700520506,0.3210161662817601,-0.0775925137133953,000720
32,KCC,2016,Q4,건설,-0.2071485078598309,0.07391805066997326,-0.01657924196818139,-0.053048630772714045,0.9720054193181309,-1.32949897802654,0.3210161662817601,-0.054690556496670914,002380
32,한일시멘트,2016,Q4,건설,0.1901894167030761,-0.19653759475345767,-0.14148658821706783,-0.09829025257893786,0.9720054193181309,-3.7712877094125195,0.3210161662817601,0.17624072955812897,003300
32,아이에스동서,2016,Q4,건설,-0.15739864160906342,0.09635804814876381,-0.062261510306290124,0.19145076129796323,0.9720054193181309,0.3813589542712763,0.3210161662817601,-0.04969911223983275,010780
32,현대산업,2016,Q4,건설,-0.29298896140738145,0.0632341095698703,0.07209867588312946,0.02701776346884044,0.9720054193181309,-0.2985605645873587,0.3210161662817601,0.05333080336953553,012630
32,SK텔레콤,2016,Q4,커뮤니케이션서비스,0.04982150810956108,0.2900757314357416,0.005719066125057681,0.037885425998522626,0.9720054193181309,1.5729366278932608,0.3210161662817601,-0.1265149732385295,017670
32,삼성엔지니어링,2016,Q4,건설,0.1877029336552789,-0.0020705054502079268,0.11587534543614941,0.013342843655157255,0.9720054193181309,-3.3611783366800814,0.3210161662817601,-0.10751161223983274,028050
32,제일기획,2016,Q4,커뮤니케이션서비스,0.06370995993432076,0.31767639502267886,0.1277908213287382,-0.06076714085593282,0.9720054193181309,-0.44008660725830184,0.3210161662817601,-0.05491420964243015,030000
32,KT,2016,Q4,커뮤니케이션서비스,-0.10688162308256621,0.011001361940799148,0.02342226693351379,0.051838611084483066,0.9720054193181309,-0.021628407029682717,0.3210161662817601,-0.08243373061989505,030200
32,LG유플러스,2016,Q4,커뮤니케이션서비스,0.19021465954406075,0.020139151253032006,0.006762353703821056,0.05367795978738443,0.9720054193181309,-0.11411650901250159,0.3210161662817601,-0.1284575581857787,032640
32,SBS,2016,Q4,커뮤니케이션서비스,-0.10342613834156378,0.11144578224139301,-0.025885290841079045,0.014039438633693058,0.9720054193181309,-3.4475704809141896,0.3210161662817601,-0.02733052572071806,034120
32,NAVER,2016,Q4,커뮤니케이션서비스,0.013392578190782448,0.2176867435239831,-0.04644655163230338,0.006415577372424153,0.9720054193181309,-0.4461746872504885,0.3210161662817601,-0.07260074365793275,035420
32,엔씨소프트,2016,Q4,커뮤니케이션서비스,0.06016764626972447,0.3774502748903572,-0.2956053287129865,-0.033002235800522195,0.9720054193181309,0.66251722925737,0.3210161662817601,0.14570839247964562,036570
32,대우건설,2016,Q4,건설,-0.028748295485192324,0.238178041846127,-0.3462569086046928,0.04649327031831718,0.9720054193181309,-27.468005534433864,0.3210161662817601,0.017384365568766415,047040
32,한전기술,2016,Q4,건설,0.029857739630720317,-0.08882510342981209,-0.2049722191704536,-0.009842301607977944,0.9720054193181309,0.7666631662824277,0.3210161662817601,-0.2067921877794011,052690
32,LG하우시스,2016,Q4,건설,-0.0411936734727648,-0.05351691242636869,-0.22492249006444454,0.020883339770765286,0.9720054193181309,3.542243628336344,0.3210161662817601,-0.032759136992307994,108670
