,name,year,quarter,sector,Relative Return,차입부채 변화율,이익잉여금 변화율,영업이익 변화율,국제유가 변화율,매출액 변화율,금리 변화율,자본총계 변화율,총포괄손익 변화율,부채총계 변화율,Label,Code
6,Kyungbang,2023,Q1,유통,-0.0654013812207838,-2.966112763791926e-12,-0.013595101325913683,0.28484066432155053,0.08337411073888668,0.07243933081203058,0.12061758935426237,-0.013904427573035782,0.06496846072128715,-0.0029020548327598483,-0.11688493113784645,000050
6,LG_International,2023,Q1,유통,-0.16606603845859197,6.237772550242856e-12,-0.007746470125004734,0.014528696289504595,0.08337411073888668,-0.030138139171620892,0.12061758935426237,-0.03419285859264898,0.0648302289603292,-0.21730548126320026,-0.2504801314391728,001120
6,SK_Networks,2023,Q1,유통,-0.05065109660958744,-1.422723261293661e-12,0.03756470666079137,2.565562752046927,0.08337411073888668,0.038794073704307985,0.12061758935426237,0.018884929889003477,1.4341448364842153,0.04614839640867385,0.06915845348119948,001740
6,Shinsegae,2023,Q1,유통,-0.06866736937208259,1.5493461916251225e-12,-0.024666098685004467,0.3166343323488664,0.08337411073888668,0.07158767631125196,0.12061758935426237,-0.006866942944211862,0.06464658105934162,-0.027643489722025016,-0.1131837155940008,004170
6,GS_Retail,2023,Q1,유통,0.08266855207116929,-1.9279608783375194e-12,-0.00014406226849228432,0.5175809729751171,0.08337411073888668,0.052470360952762696,0.12061758935426237,-0.00011257084080518176,0.06473929922544819,-0.0291605431764137,-0.10294708057823303,007070
6,Hotel_Shilla,2023,Q1,유통,0.13402629764482446,1.0683531170014401e-12,-0.12088514475872136,1.9905909820415622,0.08337411073888668,0.5787777103828627,0.12061758935426237,-0.050948555213822244,0.0649513595667438,-0.043492986905903974,-0.10067922867337442,008770
6,Hanssem,2023,Q1,유통,0.021473532237648047,0.0649706889246745,0.017676304926104947,0.34955613329541024,0.08337411073888668,0.04604511913680831,0.12061758935426237,-0.05627609384242005,0.0649706889246745,-0.019715524878918034,0.05082874739841023,009240
6,Lotte_Shopping,2023,Q1,유통,0.02068504678016055,-1.8327648670609006e-12,0.00014472215181748904,0.13351023026837594,0.08337411073888668,0.04144699746085079,0.12061758935426237,0.00038803540588927543,0.056173707774862414,0.006981591898282402,-0.19747135962267043,023530
7,Samsung_C&T,2023,Q1,유통,0.07440292240510572,5.079014466499445e-12,-0.015130371976901591,-0.08018155573048524,0.08337411073888668,0.022776101939852356,0.12061758935426237,-0.08278736431497857,-0.14091199745069316,-0.0475407267192165,-0.15447557253843136,028260
6,Daewoo_International,2023,Q1,유통,0.04160477792663339,5.896476985828085e-12,-0.005383120347427273,-1.1479325134072118,0.08337411073888668,-0.08922463754530718,0.12061758935426237,-0.49901962080009676,0.062362830578510886,-0.3821351798143078,-0.10834262736618488,047050
6,Hyundai_Department_Store,2023,Q1,유통,0.06761559208836365,5.381937945155532e-12,-0.008490078295734671,-0.03830248052311891,0.08337411073888668,0.04315132660206844,0.12061758935426237,-0.008305978858109908,0.06472851505766475,-0.023642475810778052,-0.17390382307966484,069960
6,Youngone_Corporation,2023,Q1,유통,0.02639010189228522,9.52114609045451e-13,0.015096846925135465,0.018187578339741384,0.08337411073888668,0.1827123629089792,0.12061758935426237,-0.058840536225440054,0.06492021222705235,-1.1266478761078482,-0.12714276936121505,111770
6,Emart,2023,Q1,유통,0.14282008216841935,2.0194100935380496e-13,-0.008600382109216875,0.20941354496642328,0.08337411073888668,0.015469432605191846,0.12061758935426237,0.0026430467032669824,0.06353353833824449,-0.015259745411084547,-0.026283006769978925,139480
