,name,year,quarter,sector,Relative Return,차입부채 변화율,이익잉여금 변화율,영업이익 변화율,국제유가 변화율,매출액 변화율,금리 변화율,자본총계 변화율,총포괄손익 변화율,부채총계 변화율,Label,Code
28,Kyungbang,2017,Q3,유통,-0.06397795738200666,2.876895679164229e-13,-0.011660194691591963,0.17872175451057737,-0.04912421985101645,0.0914156844256715,-0.03346456692913535,-0.011435336975592847,-0.034238584831593144,0.059297633979631836,-0.1082178461538461,000050
28,LG_International,2017,Q3,유통,-0.15207160286695648,4.28896238532265e-12,-0.024330435584485777,3.687951662231167,-0.04912421985101645,-0.20112842079003146,-0.03346456692913535,-0.031994002512184094,-0.03424094448893866,-0.026797724333977202,-0.1342504951768488,001120
28,SK_Networks,2017,Q3,유통,-0.26627183063380605,8.082141874239607e-13,0.9999989930065112,0.9999973842298958,-0.04912421985101645,0.9999992690177324,-0.03346456692913535,0.9999990151104293,-0.0690911935703642,0.9999989994662479,0.13602517197452235,001740
28,Shinsegae,2017,Q3,유통,0.09411446237670036,-9.84349920616294e-13,-0.012156802881854833,-0.09518719679930876,-0.04912421985101645,-0.009131393514593134,-0.03346456692913535,-0.003418085535240145,-0.03419011179015685,-0.04597474997650597,-0.16790815584415578,004170
28,GS_Retail,2017,Q3,유통,-0.13201196044943236,8.29288667885451e-14,0.12698568904887741,-0.14135469522525956,-0.04912421985101645,-0.09198423932390143,-0.03346456692913535,-0.025992498150269716,-0.03429758290078677,-0.13920451438413162,-0.3463585324292054,007070
28,Hotel_Shilla,2017,Q3,유통,0.14886941431168443,7.514441999305986e-13,-0.5276044428324949,-0.44745231309274347,-0.04912421985101645,-0.20501956278052869,-0.03346456692913535,-0.027693607165587775,-0.034255764414313994,-0.052478390810525744,0.00010991304347831958,008770
28,Hanssem,2017,Q3,유통,-0.2748770327312099,-0.03424863065442674,-0.07230290682485885,-0.49026905264809373,-0.04912421985101645,-0.09483202448174,-0.03346456692913535,-0.08659589586989735,-0.03424863065442674,-0.06947456166314381,-0.18419514754098354,009240
28,Lotte_Shopping,2017,Q3,유통,0.2879532626697414,3.862919199926021e-12,0.09474593970165546,-1.827681465830803,-0.04912421985101645,-0.02092466970195872,-0.03346456692913535,0.27729078725069534,-0.01993540556320017,-0.4337783318043924,-0.19312550373051843,023530
29,Samsung_C&T,2017,Q3,유통,0.05332809547391833,3.1981329654035254e-13,-0.030660188862792204,0.38886597610459217,-0.04912421985101645,0.038850680716761565,-0.03346456692913535,-0.03235462524227817,-0.0064191530296802135,0.012768023444588716,-0.10297309090909085,028260
28,Daewoo_International,2017,Q3,유통,-0.17440182494613254,1.7733648972703836e-12,-0.021570271873704083,-0.0482860192267871,-0.04912421985101645,0.09761640157133478,-0.03346456692913535,-0.011648558954753696,-0.03357509317333318,0.0551033780269059,-0.15428622222222216,047050
28,Hyundai_Department_Store,2017,Q3,유통,-0.01878626751265562,-1.2530621075521538e-13,-0.013822215366826596,0.07718475416414317,-0.04912421985101645,0.0343619292712245,-0.03346456692913535,-0.013027834889352663,-0.034207408617655144,-0.03920868147656509,-0.2192388878923766,069960
28,Youngone_Corporation,2017,Q3,유통,-0.08343219422754786,-1.4164218550498664e-13,-0.06244384936520775,0.04017895781376013,-0.04912421985101645,-0.025175430155817802,-0.03346456692913535,-0.04131692076151072,-0.03424200926065213,0.03366375833074675,-0.05884762573099409,111770
28,Emart,2017,Q3,유통,0.03366300315962033,9.149928409843148e-12,-0.17263732158688927,-1.497939079715216,-0.04912421985101645,-0.14010329856730386,-0.03346456692913535,-0.038445911974869684,-0.03384863298001206,0.01035865499031341,-0.13045723467230438,139480
