,name,year,quarter,sector,Relative Return,차입부채 변화율,이익잉여금 변화율,영업이익 변화율,국제유가 변화율,매출액 변화율,금리 변화율,자본총계 변화율,총포괄손익 변화율,부채총계 변화율,Label,Code
30,Kyungbang,2017,Q1,유통,-0.20297109444964215,-1.961299942353305e-13,-0.0018528525817571584,0.20262668444170506,-0.09135267010029824,0.07752464893045097,-0.13548951048950886,-0.0018172435021077682,-0.057478491392119135,-0.0058287212226337815,-0.10802736495410303,000050
30,LG_International,2017,Q1,유통,-0.1674045967570508,-7.25980847139644e-12,-0.03910968848309948,-56.3004095155766,-0.09135267010029824,-0.05126643530198982,-0.13548951048950886,0.029422748750093985,-0.05743274828897871,-0.00361973991270359,0.011580751052465477,001120
30,SK_Networks,2017,Q1,유통,0.032452963124305956,-1.0067852862474391e-11,0.016982864099578276,0.599748897480122,-0.09135267010029824,-0.051693993115554226,-0.13548951048950886,0.010689071464900834,-0.05891706876251068,-0.023138738400444003,-0.011597283691479152,001740
30,Shinsegae,2017,Q1,유통,-0.04540496889623086,-8.619182653594219e-13,-0.008006385156531293,0.34769812451710147,-0.09135267010029824,0.12116489481787451,-0.13548951048950886,-0.0006931157988876446,-0.05723519440781999,0.010583271967582242,0.006521231561706586,004170
30,GS_Retail,2017,Q1,유통,-0.025526660059283456,-1.2041260491741518e-12,-0.057407158620362386,0.25550603613228007,-0.09135267010029824,0.05144889419159382,-0.13548951048950886,0.029969524939857828,-0.05740715862036261,-0.07493387080810376,0.025347632176812962,007070
30,Hotel_Shilla,2017,Q1,유통,-0.2086812385044251,-1.9001263177257064e-12,-0.057450088464559235,0.3568734202880014,-0.09135267010029824,-0.10274782811831917,-0.13548951048950886,0.005020864007936998,-0.057450088464559235,0.053098884640023436,-0.13332256758808625,008770
30,Hanssem,2017,Q1,유통,0.12875511015515254,-0.05748117454685664,-0.023644701203793472,0.26185993317806855,-0.09135267010029824,0.06367824607381645,-0.13548951048950886,0.10262136508220754,-0.05748117454685686,-0.07977976239379037,0.023729781433573044,009240
30,Lotte_Shopping,2017,Q1,유통,0.05788500068545952,-2.568738118922676e-12,-0.004846572519447978,0.6117972651185819,-0.09135267010029824,0.10966286259169422,-0.13548951048950886,-0.004393449251418158,-0.04711490084148107,-0.018619188556786792,-0.09315614096733399,023530
31,Samsung_C&T,2017,Q1,유통,-0.17354386974283725,-1.1033155095235495e-11,0.21442391716072184,0.583253680540662,-0.09135267010029824,0.1785754957100345,-0.13548951048950886,-0.05905512842676597,0.010728824495280898,0.06175598044338715,-0.06586160177730205,028260
30,Daewoo_International,2017,Q1,유통,0.08241064137092471,-5.879972288809607e-12,-0.011978006012714149,-0.7267583536136184,-0.09135267010029824,-0.070232259574186,-0.13548951048950886,-0.11249922228028209,-0.057966925747564124,-0.13431408429473723,-0.20495962146326407,047050
30,Hyundai_Department_Store,2017,Q1,유통,-0.08979281681327651,2.2469328155133187e-13,-0.02631702792972135,-0.11929123666343355,-0.09135267010029824,0.009407185174935218,-0.13548951048950886,-0.016361002328733498,-0.0572922455563869,0.08561957974042678,-0.1509222807205154,069960
30,Youngone_Corporation,2017,Q1,유통,-0.16791310258448877,2.296974375568622e-12,-0.016540760485444617,-0.022406647469824792,-0.09135267010029824,0.1734405154562043,-0.13548951048950886,-0.009693168515862771,-0.05746720867722077,0.10214212540984724,-0.004127953844760376,111770
30,Emart,2017,Q1,유통,0.15997805387809627,4.200694892289969e-12,-0.03701922561189064,-0.22371599379279727,-0.09135267010029824,-0.06506155102467881,-0.13548951048950886,-0.004885825843601088,-0.0563378302721782,0.002999349961248954,0.0350499693295748,139480
