,p1,p2,p3,p4
CAGR,0.5171041681466002,-0.20390161861008893,-0.045604061780132654,0.6638681188036857
Sharpe Ratio,1.4943735743136335,-0.8945443785948499,-0.08257674645591678,1.5804690732096882
MDD,0.13972117857483932,0.11213586787843816,0.08594594030713446,0.17223344157120676
