,p1,p2,p3,p4,Average
CAGR,0.797484950466741,-0.35158403839433083,0.2794970558247778,-0.09432445622563912,0.1577683779178872
Sharpe Ratio,2.3889187941682115,-1.6304363265073254,0.8471254000165204,-0.13555662699688734,0.36751281017012977
MDD_model,0.0998353830294198,0.10488751948515583,0.1969856033360853,0.15609381862194383,0.1394505811181512
