Year,Quarter,공시일,sj_div,account_nm,thstrm_dt,thstrm_amount
2021,Q1,20210517,BS,유동자산,2021.03.31 현재,"953,491,983,452"
2021,Q1,20210517,BS,비유동자산,2021.03.31 현재,"921,880,453,999"
2021,Q1,20210517,BS,자산총계,2021.03.31 현재,"1,875,372,437,451"
2021,Q1,20210517,BS,유동부채,2021.03.31 현재,"515,926,504,667"
2021,Q1,20210517,BS,비유동부채,2021.03.31 현재,"259,274,000,692"
2021,Q1,20210517,BS,부채총계,2021.03.31 현재,"775,200,505,359"
2021,Q1,20210517,BS,자본금,2021.03.31 현재,"58,432,690,000"
2021,Q1,20210517,BS,이익잉여금,2021.03.31 현재,"752,347,474,135"
2021,Q1,20210517,BS,자본총계,2021.03.31 현재,"1,100,171,932,092"
2021,Q1,20210517,IS,매출액,2021.01.01 ~ 2021.03.31,211063232308
2021,Q1,20210517,IS,영업이익,2021.01.01 ~ 2021.03.31,637559545
2021,Q1,20210517,IS,법인세차감전 순이익,2021.01.01 ~ 2021.03.31,17665508081
2021,Q1,20210517,IS,당기순이익(손실),2021.01.01 ~ 2021.03.31,14170391407
2021,Q2,20210817,BS,유동자산,2021.06.30 현재,"904,093,234,640"
2021,Q2,20210817,BS,비유동자산,2021.06.30 현재,"987,139,620,095"
2021,Q2,20210817,BS,자산총계,2021.06.30 현재,"1,891,232,854,735"
2021,Q2,20210817,BS,유동부채,2021.06.30 현재,"446,652,561,042"
2021,Q2,20210817,BS,비유동부채,2021.06.30 현재,"341,249,739,896"
2021,Q2,20210817,BS,부채총계,2021.06.30 현재,"787,902,300,938"
2021,Q2,20210817,BS,자본금,2021.06.30 현재,"58,432,690,000"
2021,Q2,20210817,BS,이익잉여금,2021.06.30 현재,"755,697,779,069"
2021,Q2,20210817,BS,자본총계,2021.06.30 현재,"1,103,330,553,797"
2021,Q2,20210817,IS,매출액,2021.01.01 ~ 2021.06.30,293812592314
2021,Q2,20210817,IS,영업이익,2021.01.01 ~ 2021.06.30,5745892591
2021,Q2,20210817,IS,법인세차감전 순이익,2021.01.01 ~ 2021.06.30,3557820806
2021,Q2,20210817,IS,당기순이익(손실),2021.01.01 ~ 2021.06.30,3350304934
2021,Q3,20211115,BS,유동자산,2021.09.30 현재,"958,698,022,902"
2021,Q3,20211115,BS,비유동자산,2021.09.30 현재,"978,666,226,844"
2021,Q3,20211115,BS,자산총계,2021.09.30 현재,"1,937,364,249,746"
2021,Q3,20211115,BS,유동부채,2021.09.30 현재,"433,653,175,198"
2021,Q3,20211115,BS,비유동부채,2021.09.30 현재,"343,581,745,116"
2021,Q3,20211115,BS,부채총계,2021.09.30 현재,"777,234,920,314"
2021,Q3,20211115,BS,자본금,2021.09.30 현재,"58,432,690,000"
2021,Q3,20211115,BS,이익잉여금,2021.09.30 현재,"814,530,658,017"
2021,Q3,20211115,BS,자본총계,2021.09.30 현재,"1,160,129,329,432"
2021,Q3,20211115,IS,매출액,2021.01.01 ~ 2021.09.30,377295593785
2021,Q3,20211115,IS,영업이익,2021.01.01 ~ 2021.09.30,64627625994
2021,Q3,20211115,IS,법인세차감전 순이익,2021.01.01 ~ 2021.09.30,72015355394
2021,Q3,20211115,IS,당기순이익(손실),2021.01.01 ~ 2021.09.30,54946606764
2021,Q4,20220321,BS,유동자산,2021.12.31 현재,"826,983,892,657"
2021,Q4,20220321,BS,비유동자산,2021.12.31 현재,"1,098,642,268,559"
2021,Q4,20220321,BS,자산총계,2021.12.31 현재,"1,925,626,161,216"
2021,Q4,20220321,BS,유동부채,2021.12.31 현재,"368,979,528,068"
2021,Q4,20220321,BS,비유동부채,2021.12.31 현재,"331,196,334,937"
2021,Q4,20220321,BS,부채총계,2021.12.31 현재,"700,175,863,005"
2021,Q4,20220321,BS,자본금,2021.12.31 현재,"58,432,690,000"
2021,Q4,20220321,BS,이익잉여금,2021.12.31 현재,"881,728,397,694"
2021,Q4,20220321,BS,자본총계,2021.12.31 현재,"1,225,450,298,211"
2021,Q4,20220321,IS,매출액,2021.01.01 ~ 2021.12.31,288134023764
2021,Q4,20220321,IS,영업이익,2021.01.01 ~ 2021.12.31,-10832969903
2021,Q4,20220321,IS,법인세차감전 순이익,2021.01.01 ~ 2021.12.31,74690183296
2021,Q4,20220321,IS,당기순이익(손실),2021.01.01 ~ 2021.12.31,68933227408
