code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,영업비용
000070,Samyang_Holdings,Conglomerate,2015,Q4,"208,987,000,000","1,054,563,000,000","1,263,550,000,000","30,326,000,000","199,116,000,000","229,442,000,000","44,342,000,000","630,922,000,000","1,034,108,000,000",169561000000,14098000000,13433000000,13056000000,13056000000,,
000070,Samyang_Holdings,Conglomerate,2016,Q1,"226,731,000,000","1,055,882,000,000","1,282,613,000,000","40,819,000,000","200,444,000,000","241,263,000,000","44,342,000,000","637,100,000,000","1,041,350,000,000",50721000000,17947000000,18295000000,17805000000,17805000000,,
000070,Samyang_Holdings,Conglomerate,2016,Q2,"212,788,000,000","1,050,099,000,000","1,262,887,000,000","89,703,000,000","139,372,000,000","229,075,000,000","44,342,000,000","634,317,000,000","1,033,812,000,000",40933000000,-2928000000,-3165000000,-2782000000,-2782000000,,
000070,Samyang_Holdings,Conglomerate,2016,Q3,"212,938,000,000","1,054,499,000,000","1,267,437,000,000","87,983,000,000","140,921,000,000","228,904,000,000","44,342,000,000","634,887,000,000","1,038,533,000,000",12225000000,660000000,482000000,617000000,617000000,,
000070,Samyang_Holdings,Conglomerate,2016,Q4,"202,090,000,000","1,362,438,000,000","1,564,528,000,000","76,979,000,000","135,807,000,000","212,786,000,000","44,342,000,000","959,308,000,000","1,351,742,000,000",-1699000000,33558000000,31546000000,42468000000,42468000000,,
000070,Samyang_Holdings,Conglomerate,2017,Q1,"214,942,000,000","1,358,405,000,000","1,573,347,000,000","86,134,000,000","136,583,000,000","222,717,000,000","44,342,000,000","958,368,000,000","1,350,630,000,000",27387000000,14682000000,15023000000,14604000000,14604000000,,
000070,Samyang_Holdings,Conglomerate,2017,Q2,"197,791,000,000","1,379,982,000,000","1,577,773,000,000","9,706,000,000","197,807,000,000","207,513,000,000","44,342,000,000","970,217,000,000","1,370,260,000,000",26707000000,12997000000,12531000000,11896000000,11896000000,,
000070,Samyang_Holdings,Conglomerate,2017,Q3,"195,879,000,000","1,385,203,000,000","1,581,082,000,000","7,397,000,000","198,287,000,000","205,684,000,000","44,342,000,000","984,686,000,000","1,375,398,000,000",25673000000,15486000000,15109000000,14586000000,14586000000,,
000070,Samyang_Holdings,Conglomerate,2017,Q4,"196,754,000,000","1,381,305,000,000","1,578,059,000,000","9,283,000,000","197,404,000,000","206,687,000,000","44,342,000,000","984,034,000,000","1,371,372,000,000",11824000000,-397000000,-933000000,147000000,147000000,,
000070,Samyang_Holdings,Conglomerate,2018,Q1,"285,791,000,000","1,311,430,000,000","1,597,221,000,000","22,430,000,000","198,613,000,000","221,043,000,000","44,342,000,000","991,063,000,000","1,376,178,000,000",29293000000,20079000000,20557000000,20184000000,20184000000,,
000070,Samyang_Holdings,Conglomerate,2018,Q2,"270,651,000,000","1,327,791,000,000","1,598,442,000,000","97,642,000,000","107,800,000,000","205,442,000,000","44,342,000,000","1,009,000,000,000","1,393,000,000,000",27723000000,18976000000,19125000000,18016000000,18016000000,,
