,name,year,quarter,sector,Relative Return,부채총계 변화율,영업이익 변화율,유동부채 변화율,비유동부채 변화율,이익잉여금 변화율,Label,Code
5,SK하이닉스,2023,Q3,정보기술,0.19518738408239644,0.0671883444492627,-0.6239092728615194,0.10412914957475894,0.04339359761260497,-0.018715603110758483,0.12280654486687421,000660
5,한화,2023,Q3,에너지_화학,-0.1137787505712034,0.03428575893546082,0.6689269946581458,-0.1063448453825735,0.2831172653168097,0.005070895330064884,0.06789821303561219,000880
5,한국쉘석유,2023,Q3,에너지_화학,0.11795366795366793,-0.07261375859929742,0.06936710563264725,-0.07813904552383344,0.08758831985721205,0.10259957821164467,-0.04740177439797208,002960
5,태광산업,2023,Q3,에너지_화학,0.022519478886202097,0.05202566693391253,0.387984849066181,0.038053548201682386,0.07073186645380636,-0.0028482136496117416,0.05806270647634486,003240
5,LG,2023,Q3,정보기술,0.03902478990411453,-0.004208067675916416,0.8532238558971421,-0.019428864333100093,0.014377794762847618,0.010798227349275269,-0.025779461755282854,003550
5,삼성정밀화학,2023,Q3,에너지_화학,-0.033932134017023705,0.051721019222021436,-0.4997784633410045,0.05378857076988086,0.017646436139695743,0.02307297606136416,-0.2817709610981643,004000
5,한솔테크닉스,2023,Q3,정보기술,0.006413112700537828,-0.06584066645514997,0.12193158208531196,-0.1184932998181194,-0.007981878555060273,0.24546279125805048,-0.0867870625702989,004710
5,효성,2023,Q3,에너지_화학,0.06717388159221001,-0.0015370117977532294,-8.516586374850377,-0.06263593019596736,0.024433588179026078,0.003449225309517301,-0.16641416349233173,004800
5,삼성전자,2023,Q3,정보기술,0.08806308701045537,0.006539207554685511,-0.41375672878770553,-0.003802304994998229,0.019950064742488394,0.03735319059744868,-0.07907967861134663,005930
5,SK케미칼,2023,Q3,에너지_화학,0.05176628390914103,-0.11005119187478296,-4.704212175960705,-0.11745302363953669,-0.101664041106734,0.0006257350606932999,0.029458673432543908,006120
5,삼성SDI,2023,Q3,정보기술,-0.28770043814046464,-0.09861391772175887,1.0495032737894947,-0.11375750904378479,-0.029975055826562014,0.02820697922860238,-0.12927765950942557,006400
5,대한유화,2023,Q3,에너지_화학,0.21189306189306187,-0.039257337788305535,-1.4703275772710598,-0.06419599569955492,0.1641240766977472,0.009628093215088729,-0.20069021246227506,006650
5,국도화학,2023,Q3,에너지_화학,-0.17799185246914162,0.06908712497797165,-0.8511855492935669,0.08744201875394397,-0.0034136438429478444,0.003757871815522229,-0.09615814877157773,007690
5,대덕전자,2023,Q3,정보기술,-0.014959936012567641,0.0767986235902145,1.0400192815965101,0.11713563816881889,-0.23523970228467783,0.12837297619443588,-0.04686844106463875,008060
5,삼성전기,2023,Q3,정보기술,-0.06054771648406905,-0.01090117915988631,-0.6331991794410895,0.0004670757300540007,-0.07376054397899301,0.49088014084496057,-0.10836384571847801,009150
5,한화케미칼,2023,Q3,에너지_화학,-0.14144989144989145,0.05992525628173384,-1.0057798925057826,0.13823905251572133,-0.012512255949679418,-0.00636837096522358,-0.2136681476471225,009830
5,OCI,2023,Q3,에너지_화학,-0.014162995870312965,-0.3212221039475881,-39.08956974938121,-0.6191616634043191,0.0006964005745351276,0.05367835690292733,-0.18592472848978844,010060
5,S-Oil,2023,Q3,에너지_화학,-0.08708396956804601,0.18839232070276446,23.51275677837776,0.19066552815102678,0.18251076493330465,0.07764558528598187,0.058710795737404564,010950
5,LG이노텍,2023,Q3,정보기술,-0.06411316144140572,0.3328233482240719,-21.51809255843386,0.5087987318761564,0.09433855324843843,0.051783430458439694,-0.22337108492058472,011070
5,롯데케미칼,2023,Q3,에너지_화학,0.060036112667691564,0.05450085820413042,-0.931521488520397,0.09111393280844693,0.013106746565890282,0.0014177697639161657,-0.26315182541908133,011170
5,금호석유,2023,Q3,에너지_화학,0.06366348159390081,0.15281679871760456,-0.12674879268183759,0.0957091167779558,0.4221667850630384,0.016310626491690794,-0.049396631828727014,011780
5,SKC,2023,Q3,에너지_화학,-0.12462022310776313,0.1116884254504098,-0.49886461915722413,0.2933456224615407,-0.007911685583317452,-0.004926907005666337,0.2118425897943526,011790
5,한솔케미칼,2023,Q3,에너지_화학,-0.038264594487301976,0.10825267397788552,0.2246085465745109,0.07644309538674632,0.15484604764535725,0.03984386632581183,-0.013607867947747113,014680
5,동원시스템즈,2023,Q3,에너지_화학,-0.1442669942669943,0.004664942287154972,-0.16705949769251027,0.0645303544152589,-0.08798012672036493,0.06554819063206252,0.45998914414974135,014820
5,유니드,2023,Q3,에너지_화학,0.3692847199914338,-0.25218264631367615,-0.9621210143159994,-0.266113232381204,-0.11203155406767673,-0.006936364845405718,-0.12843421011933323,014830
5,삼성에스디에스,2023,Q3,정보기술,0.12041705171341337,-0.05140619355959064,0.01732521866802772,-0.039067679593368654,-0.07313595939674955,0.017663255170146552,0.01185493249169775,018260
5,일진머티리얼즈,2023,Q3,정보기술,-0.23038020457949288,-0.13794153825231747,24.07346267682345,-0.1722179330529403,0.006364521548529067,-0.04059768325858626,-0.12560749097490714,020150
5,남해화학,2023,Q3,에너지_화학,-0.047419668387410345,0.09395666075609532,-0.52553244887549,0.09372959017551108,0.10291942238267304,0.004114750416720714,-0.10077892217419211,025860
5,신도리코,2023,Q3,정보기술,0.02563904620318104,-0.010842057635217617,0.1939308451110202,-0.03249860617513811,0.12672345915030214,0.027167878622939012,0.02830142590748541,029530
5,LG디스플레이,2023,Q3,정보기술,-0.014785660795847602,0.01992051421871266,-0.6076178919831854,0.07641514619498957,-0.07310625745942279,-0.271633951490609,-0.2226266835274046,034220
5,SK,2023,Q3,정보기술,0.07693036277428286,0.05696164325927944,0.7518985958586024,0.11849935598859362,0.016478001830337652,-0.002715063108194249,0.061618743903792364,034730
5,한미반도체,2023,Q3,정보기술,0.2881108767356645,0.0029244837417086167,-0.6735055770191849,0.002288927125926099,0.0036579383627191042,0.03526646037233405,0.6037712706747602,042700
5,LG화학,2023,Q3,에너지_화학,-0.2186985772512089,0.10006291255108524,-34.65370705244123,-0.2518201930373156,0.3646208116350991,0.008320860658242779,-0.17609553496280195,051910
5,LG전자,2023,Q3,정보기술,0.03252759019836282,0.0362819141014219,0.3084659920557933,0.01072840271839226,0.08303582351056815,0.08986663112512239,-0.14275481060984133,066570
5,휴켐스,2023,Q3,에너지_화학,0.018362248137529014,0.22194538719796153,-0.30355373633143523,0.32359394327685,-0.08627374953728162,0.04751545619564945,-0.19265558888339043,069260
5,GS,2023,Q3,에너지_화학,0.13929367243458918,-0.0011573492355654302,8.941704846877261,-0.015499425947187118,0.00649251912658233,0.03735759724236121,0.06084108710628855,078930
5,휴비스,2023,Q3,에너지_화학,-0.0008551094757991498,0.09792071482563824,0.23340687254533,0.15035219348022588,0.009020990159470443,-0.11043913113725401,-0.13721183696751085,079980
5,후성,2023,Q3,에너지_화학,-0.08897562997241454,0.04664453669306168,-2.364900547108394,-0.05702322521553249,0.1273836199435221,-0.014489309292017527,-0.33275896257206167,093370
5,SK이노베이션,2023,Q3,에너지_화학,-0.2619666205261195,-0.1508068126185821,-2.4206134823429517,-0.36178815832300415,0.057828352231692914,-0.0010798243462168955,-0.15580615304060402,096770
5,코오롱인더,2023,Q3,에너지_화학,-0.19522229052615794,-0.017044840230758362,-0.8272456695222417,-0.021449338547169905,-0.00013325719290102622,-0.012751916968439025,-0.17506604833355716,120110
