,name,year,quarter,sector,Relative Return,자본총계 변화율,영업이익 변화율,비유동부채 변화율,비유동자산 변화율,국제유가 변화율,총포괄손익 변화율,전체 주주 수 변화율,유동부채 변화율,전체 주식 수 변화율,Label,Code
23,Kyungbang,2018,Q4,경기소비재,-0.07274732285193074,-0.008381010009685497,-0.04425670617956756,0.0063138934932538415,-0.006308139892766462,0.09983604378074207,0.008254440763235338,0.008254440763235338,-0.1330366304127415,0.008254440763235227,-0.034801146457588195,000050
23,Hankook_Tire_Worldwide,2018,Q4,경기소비재,0.02983579419169799,-0.00357459599639931,0.03688539391955903,0.01620400337647221,-0.009718527948925137,0.09983604378074207,0.008249724348448395,0.008249724348448284,-0.08861571364673937,0.008249724348448395,0.05859632124155548,000240
24,Kia_Corp,2018,Q4,경기소비재,0.1331164067217377,0.04310790474130666,3.616495266634884,0.034195002090053106,0.011991763690717194,0.09983604378074207,0.007490795792407079,0.00787881019547565,-0.18894516043579723,0.007512767513402019,0.08997024147169447,000270
23,SK_Networks,2018,Q4,경기소비재,0.21757525779323056,-0.009796702475512786,0.13596059113300496,0.03157607876661683,0.018110907214665573,0.09983604378074207,0.010017026827842113,0.0,-0.18351739269124612,0.0,0.07496067655287365,001740
23,Nexen_Tire,2018,Q4,경기소비재,-0.061789821571848806,-0.02295899647286337,0.04679286261967508,-0.3023074621422881,-0.03895422014659711,0.09983604378074207,0.008240680145192636,0.008240680145192636,0.23470421281190812,0.008240680145192636,0.09648517746031468,002350
23,Ilshin_Spinning,2018,Q4,경기소비재,-0.05268189892680826,0.005469838804302407,1.8369423282975392,0.010351533321304673,-0.013864040137467892,0.09983604378074207,0.008256618839551422,0.008256618839551533,-0.14256132712693592,0.008256618839551533,0.011955964519706264,003200
23,SsangYong_Motor,2018,Q4,경기소비재,-0.016465892967825288,0.008243895489485231,0.9839038288217956,-0.06671070360838494,-0.013301477696061381,0.09983604378074207,0.008243895489485231,0.008243895489485342,-0.009160303278824777,0.008243895489485231,0.000696678209410273,003620
23,Hansol_Holdings,2018,Q4,경기소비재,0.11364856238890106,0.12210599557346125,0.5555714621077386,-0.17732459275868928,0.12468379680910324,0.09983604378074207,0.008257914619478779,0.008257914619478779,0.20497316676153832,0.008257914619478668,0.12761122519081539,004150
23,Shinsegae,2018,Q4,경기소비재,-0.09726273414113185,0.0016951144243785299,-1.0044228111027724,0.02319394019252341,0.015612798954362517,0.09983604378074207,0.008344963861944499,0.008344963861944499,0.1263704689666989,0.008344963861944499,-0.16644601884320132,004170
23,SEBANG_Global_Battery,2018,Q4,경기소비재,0.19121290818247333,-0.0340686387921878,-0.6181342304752699,0.17310998310036307,-0.06868944452193437,0.09983604378074207,0.008250243198532625,0.008250243198532514,-0.04699964338430762,0.008250243198532625,0.08861216603694932,004490
23,Chokwang_Leather,2018,Q4,경기소비재,0.06467456949431218,0.02805137710679073,-0.17493821687647126,0.5043319240037886,0.06022742474422271,0.09983604378074207,0.008257163303866166,0.008257163303865944,0.17399066451439782,0.008257163303866055,0.075057636003934,004700
23,Hyundai_Motor,2018,Q4,경기소비재,0.03135303557100833,0.025377525707380943,0.8110775000595472,0.21852143548746783,-0.0009065278851072556,0.09983604378074207,-0.0038254200766683066,-0.0020823288321916156,-0.30868537015713815,0.0023314712718088826,0.04276048110403936,005380
