,name,year,quarter,sector,Relative Return,자본총계 변화율,영업이익 변화율,비유동부채 변화율,비유동자산 변화율,국제유가 변화율,총포괄손익 변화율,전체 주주 수 변화율,유동부채 변화율,전체 주식 수 변화율,Label,Code
17,Kyungbang,2020,Q2,경기소비재,0.03337209649874409,-0.01662466319102096,0.08081915313825772,-0.007077124870782825,-0.034937376128248765,0.41825270948982285,0.14297842509082992,0.14297842509082992,-0.16186899089814322,0.14297842509082992,0.359479460513127,000050
17,Hankook_Tire_Worldwide,2020,Q2,경기소비재,-0.21123997246677315,-0.001628457810918249,0.914212695694332,-0.07648360772166574,0.0020947488147727844,0.41825270948982285,0.14292311778988098,0.1429231177898811,0.7718048381741895,0.1429231177898811,0.33313515746866035,000240
18,Kia_Corp,2020,Q2,경기소비재,-0.2154208114690407,-0.008304395482893412,-1.0346778006762483,-0.1092892085898105,-0.006722978302771576,0.41825270948982285,0.1577624415408071,0.18010932216141295,-0.25307968240847023,0.10274518693336443,0.034535833219362266,000270
17,SK_Networks,2020,Q2,경기소비재,-0.03899670647350714,-0.0007153486619453364,3.5267452402538533,0.13977162936961196,-0.012490805596643506,0.41825270948982285,0.1426635136468588,0.0,0.20879671415450318,0.0,-0.14601170130410351,001740
17,Nexen_Tire,2020,Q2,경기소비재,-0.2855455280223287,0.0017634662013082947,1.7471508341011872,0.09408782486708978,0.008139516137367298,0.41825270948982285,0.14293032006832196,0.14293032006832185,-0.02754907972689513,0.14293032006832196,-0.04955390322626546,002350
17,Ilshin_Spinning,2020,Q2,경기소비재,-0.16432144878989294,0.0030440972174696768,1.4568950648995524,0.021679883787003806,-0.002627693536808806,0.41825270948982285,0.1429995098344573,0.14299950983445742,0.07730428422206848,0.14299950983445742,0.11507910285134088,003200
17,SsangYong_Motor,2020,Q2,경기소비재,-0.12057623542145715,0.1429410488521785,-0.18790433837330212,-0.09614393424300038,0.0597914429605686,0.41825270948982285,0.1429410488521784,0.1429410488521784,0.000989071445627543,0.1429410488521784,1.0722125071959392,003620
17,Hansol_Holdings,2020,Q2,경기소비재,-0.11997686786825038,-0.007297008605789301,0.6338662017099281,0.31858159835837474,-0.007072017542589348,0.41825270948982285,0.1430019630251924,0.14300196302519252,0.03940225863237623,0.1430019630251923,-0.15194912624914017,004150
17,Shinsegae,2020,Q2,경기소비재,-0.053694635679208375,0.06165288889902476,0.3665550608275313,-0.22252781870467486,-0.04477643733519865,0.41825270948982285,0.14209667927755476,0.14209667927755476,-0.08639386561344731,0.14209667927755487,-0.17258860621755853,004170
17,SEBANG_Global_Battery,2020,Q2,경기소비재,-0.1070033952855651,-0.01638509113153619,0.07409981496132279,-0.09614518529907778,-0.036787129463959456,0.41825270948982285,0.1429799657252514,0.1429799657252513,0.1297922477462099,0.14297996572525118,-0.001672815307226877,004490
17,Chokwang_Leather,2020,Q2,경기소비재,0.22980384196621656,-0.048912829303608296,0.25373772145801665,-0.5715169794941886,-0.06900924091902572,0.41825270948982285,0.14300238550821853,0.14300238550821875,-0.029756356308571874,0.14300238550821864,0.15165661110842032,004700
17,Hyundai_Motor,2020,Q2,경기소비재,-0.07193212122710371,-0.011198993354321063,-0.6298924370673025,-0.24405818081861685,-0.00754007063277351,0.41825270948982285,0.10990457245224283,0.16679443581317466,0.049435374347430616,0.06207248214856598,-0.09183566010616341,005380
17,SL_Corp,2020,Q2,경기소비재,-0.07968494730650569,-0.00198637433820692,0.3470726331240679,-0.03003704670465157,-0.00789339676289269,0.41825270948982285,0.1429790059990712,0.1429790059990712,0.10907162726361264,0.1429790059990712,-0.11757050549484868,005850
17,Dong-A_Tire,2020,Q2,경기소비재,0.04783192682352763,-0.019621090606376734,0.31620720289340765,-0.07959200717209303,-0.006400297960332368,0.41825270948982285,0.1429993225251629,0.1429993225251628,0.5748134167748506,0.1429993225251629,-0.20757631933768445,007340
17,Seoyon,2020,Q2,경기소비재,0.2068543591745128,-0.00823098635721875,0.9680180561036671,0.10437465450164951,0.0016788498907402971,0.41825270948982285,0.14300280327637405,0.14300280327637405,0.5853446387152476,0.14300280327637416,1.093771827196239,007860
17,Hotel_Shilla,2020,Q2,경기소비재,-0.03951765976319008,0.0505111592199341,0.07635610623870848,-0.3847057708245387,-0.04094206849926585,0.41825270948982285,0.14294042098044923,0.14294042098044923,0.31282562021738447,0.14294042098044923,-0.17420772855310077,008770
17,Hanssem,2020,Q2,경기소비재,-0.00018997246677315838,0.011929596972191092,-0.34616858440553333,-0.11546005717984875,-0.044131351817500164,0.41825270948982285,0.14299257568139168,0.14299257568139168,0.1427152498189278,0.14299257568139168,0.5179272314709278,009240
17,Motonic,2020,Q2,경기소비재,-0.054423079042736855,-0.005844669737351538,0.4873103134726241,0.28761974703624626,0.1123460550844968,0.41825270948982285,0.14300131273183248,0.14300131273183236,0.2127703064058296,0.14300131273183248,-0.07494454091589935,009680
17,Hwashin,2020,Q2,경기소비재,-0.2698217767481187,0.03970802822285502,-1.4648630190529648,-0.3291370685834334,-0.03132419234089978,0.41825270948982285,0.14299686695631342,0.14299686695631342,-0.09810846014550845,0.14299686695631342,-0.08084793363041823,010690
17,Hyundai_Merchant_Marine,2020,Q2,경기소비재,0.06702127929131405,-0.6613696879326871,20.592962576412702,-0.12510782265057507,-0.19968961837949828,0.41825270948982285,0.12989575813006693,0.11496591084827301,-0.24589001380525488,0.12178180112189729,0.3058121017365137,011200
