접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330003610,Y,00266961,NAVER,소액주주,"27,742",-,99.70%,"18,148,173",-,55.05%,2015-12-31,2015,Q4
20170908000444,Y,00266961,NAVER,소액주주,"20,689",-,99.60%,"19,917,457",-,60.42%,2016-12-31,2016,Q4
20180402004149,Y,00266961,NAVER,소액주주,"37,067",-,99.78%,"20,789,783",-,63.07%,2017-12-31,2017,Q4
20190401004489,Y,00266961,NAVER,소액주주,"63,824",-,99.89%,"101,710,190",-,61.71%,2018-12-31,2018,Q4
20200330004603,Y,00266961,NAVER,소액주주,"43,622",-,99.83%,"96,927,861",-,53.80%,2019-12-31,2019,Q4
20210316001214,Y,00266961,NAVER,소액주주,"426,807","426,870",99.99%,"104,842,681","164,263,395",63.83%,2020-12-31,2020,Q4
20220304000687,Y,00266961,NAVER,소액주주,"785,881","785,946",99.99%,"109,848,427","164,049,085",66.96%,2021-12-31,2021,Q4
20230314001049,Y,00266961,NAVER,소액주주,"1,051,608","1,051,680",99.9%,"109,027,566","164,049,085",66.47%,2022-12-31,2022,Q4
20240318000844,Y,00266961,NAVER,소액주주,"954,157","954,225",99.99%,"114,359,250","162,408,594",70.41%,2023-12-31,2023,Q4
20250318000645,Y,00266961,NAVER,소액주주,"907,390","907,459",99.99%,"117,100,594","158,437,008",73.91%,2024-12-31,2024,Q4
