접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160516003598,Y,00131832,SK디스커버리,소액주주,"26,041",-,99.91%,"13,597,613",-,55.95%,2015-12-31,2015,Q4
20170331005070,Y,00131832,SK디스커버리,소액주주,"22,029",-,99.93%,"14,893,732",-,61.28%,2016-12-31,2016,Q4
20180704000549,Y,00131832,SK디스커버리,소액주주,"21,894",-,99.96%,"7,337,216",-,68.04%,2017-12-31,2017,Q4
20190401003286,Y,00131832,SK디스커버리,소액주주,"18,876",-,99.96%,"8,725,113",-,45.83%,2018-12-31,2018,Q4
20200330004480,Y,00131832,SK디스커버리,소액주주,"20,260",-,99.98%,"9,210,398",-,48.41%,2019-12-31,2019,Q4
20210323000907,Y,00131832,SK디스커버리,소액주주,"43,444","43,449",99.99%,"8,153,468","19,037,855",42.83%,2020-12-31,2020,Q4
20220322000926,Y,00131832,SK디스커버리,소액주주,"35,611","35,618",99.98%,"8,452,048","19,037,855",44.40%,2021-12-31,2021,Q4
20230321001269,Y,00131832,SK디스커버리,소액주주,"33,928","33,934",99.98%,"8,933,118","19,037,855",46.92%,2022-12-31,2022,Q4
20240320001824,Y,00131832,SK디스커버리,소액주주,"30,674","30,681",99.98%,"8,283,080","19,037,855",43.51%,2023-12-31,2023,Q4
20250318001277,Y,00131832,SK디스커버리,소액주주,"25,289","25,296",99.97%,"7,970,441","18,785,855",42.43%,2024-12-31,2024,Q4
