접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160316000101,Y,00134477,SNT다이내믹스,소액주주,"4,823",-,99.77%,"11,906,202",-,36.66%,2015-12-31,2015,Q4
20170308000012,Y,00134477,SNT다이내믹스,소액주주,"5,513",-,99.75%,"9,748,364",-,30.01%,2016-12-31,2016,Q4
20180314000025,Y,00134477,SNT다이내믹스,소액주주,"4,726",-,99.71%,"7,491,534",-,23.06%,2017-12-31,2017,Q4
20190228005328,Y,00134477,SNT다이내믹스,소액주주,"3,797",-,99.73%,"5,434,704",-,16.74%,2018-12-31,2018,Q4
20200302000172,Y,00134477,SNT다이내믹스,소액주주,"4,024",-,99.78%,"6,410,910",-,19.28%,2019-12-31,2019,Q4
20210218001086,Y,00134477,SNT다이내믹스,소액주주,"5,313","5,320",99.87%,"7,726,706","33,252,697",23.24%,2020-12-31,2020,Q4
20220218001040,Y,00134477,SNT다이내믹스,소액주주,"4,996","5,001",99.90%,"6,930,101","22,393,851",30.95%,2021-12-31,2021,Q4
20230220001625,Y,00134477,SNT다이내믹스,소액주주,"7,458","7,463",99.93%,"7,000,486","22,393,851",31.26%,2022-12-31,2022,Q4
20240221001483,Y,00134477,SNT다이내믹스,소액주주,"7,975","7,980",99.94%,"6,910,922","22,393,851",30.86%,2023-12-31,2023,Q4
20250220001259,Y,00134477,SNT다이내믹스,소액주주,"7,823","7,828",99.94%,"6,407,153","22,393,851",28.61%,2024-12-31,2024,Q4
