,video,article,mix,total
accuracy,0.529783393501805,0.5874867444326617,0.5405546834118262,0.532874139010645
precision,0.5065502183406113,0.5732403297400127,0.5218579234972678,0.510811913504692
recall,0.7638758231420508,0.8959365708622399,0.8110403397027601,0.8103559870550162
f1,0.609152288072018,0.6991492652745553,0.6350789692435578,0.6266266266266266
