,name,year,quarter,sector,Relative Return,이익잉여금 변화율,부채총계 변화율,매출액 변화율,법인세차감전 순이익 변화율,비유동부채 변화율,유동자산 변화율,Label,Code
29,조선내화,2017,Q3,철강_소재,-0.11991074077387812,0.027669302350876723,0.20707601715784718,0.10118074629552942,0.592759384713669,0.13994600440915916,0.016848753598711408,0.017869906518189704,000480
29,영풍,2017,Q3,철강_소재,-0.27665695512988575,0.0018911918303667896,0.09032210350646053,0.009971654191093249,1.4724418512650677,-0.007585543074368872,0.053314349370210845,-0.05246661892109041,000670
29,동국제강,2017,Q3,철강_소재,-0.28486405848185525,0.0009963862129607204,-0.018825660625861107,-0.0321038748711544,-33.732706142778085,-0.2781984653383882,-0.0043857736669752345,-0.0005269813131925025,001230
29,세아베스틸,2017,Q3,철강_소재,-0.17756082215131305,0.023513166385422446,0.17269847183401277,-0.05710961859307273,-0.34298229091315924,0.5222064846187735,0.2757376473540847,-0.10925485369160348,001430
29,고려제강,2017,Q3,철강_소재,-0.15310665999786077,0.0014962772505890953,-0.10016999218563338,-0.02743747697611343,-0.41597174707281803,0.012847983124761653,-0.11770730523240724,-0.002723470692834566,002240
29,세아제강,2017,Q3,철강_소재,-0.16512877437760978,0.0368165983742621,-0.028351011974545925,-0.15371841587176716,1.469953622513744,0.2326674891235443,-0.04475187908732747,-0.01768133366025288,003030
29,현대제철,2017,Q3,철강_소재,-0.12824034758113034,0.014479054143223369,-0.0028809903036304263,0.00223482019933563,0.19926371037227253,0.04167860331223672,0.05156884056068245,-0.05167098592746001,004020
29,삼광글라스,2017,Q3,철강_소재,-0.17576587902238744,-0.0024360803656249264,0.017803264534503205,0.14718049024882562,-0.8513838165757399,0.2888913820792691,0.04363543267212866,0.1914579202423202,005090
29,POSCO,2017,Q3,철강_소재,-0.10244012501573532,0.013628938354456555,0.009373215533648782,0.016916851399483068,0.41203903306148626,0.0006497603536608221,0.10879552739104836,0.08341217757263861,005490
29,무림P&P,2017,Q3,철강_소재,-0.08935837027462207,0.026031808772683185,-0.0038577238615811194,0.009250878372501603,2.483032843558923,-0.036317425382709434,0.06224391627040049,0.5399634807658368,009580
29,고려아연,2017,Q3,철강_소재,-0.04154077740391476,0.02538100287728473,0.18560233605080567,-0.03322537326208286,-0.26453143334690854,0.09079991386070563,0.1480543006682875,-0.01724401903186206,010130
29,풍산,2017,Q3,철강_소재,-0.21758390094703828,0.018087394280154268,0.025426451279046747,-0.032309647922649454,-0.3016620050060759,-0.23302475498660136,0.02547173053571372,-0.11710753599660606,103140
29,한국철강,2017,Q3,철강_소재,-0.23449774774617646,0.03524959715546827,0.08633548904414612,0.01031830332469319,-0.6403611185786112,0.014363103760494322,0.05447094940741515,0.011178623263612596,104700
