,name,sector,year,quarter,Relative Return,자본총계변화율,비유동부채변화율,비유동자산변화율,이익잉여금변화율,자산총계변화율,Label,Code
26,Doosan_Corp,Conglomerate,2018,Q1,-0.2064624195618241,-0.06829259993120917,-0.26207924513309333,-0.04686271464919223,-0.002914351983692276,-0.0719883900893401,-0.035721044488613636,000150
26,DL_Holdings,Conglomerate,2018,Q1,0.01926660242157504,-0.003429469192212764,0.05592016870209049,-0.01720123757771863,-0.008531300795124208,-0.02469912574639932,-0.054083825799083475,000210
26,Dong-A_Socio_Holdings,Conglomerate,2018,Q1,0.05150270131209912,-0.01569134525118865,0.008811955378516645,-0.01858373644142297,-0.02373212310077366,-0.0166170555770917,0.08882620383446413,000640
26,Hanwha_Corp,Conglomerate,2018,Q1,-0.06755614440649763,-0.00896066212395974,-0.009076335166371408,0.0015910999875241583,-0.013154294722015125,-0.029794721329207352,-0.03149375439942608,000880
26,CJ_Corp,Conglomerate,2018,Q1,0.060061376717955764,0.01597892675759849,-0.2198254107251465,0.03821583594984923,0.019818424766712694,0.0027409889020075795,-0.08982418208883033,001040
26,LG_International,Conglomerate,2018,Q1,-0.021666924336949694,0.06933587329183233,-0.10762756386960692,0.018405237992747847,0.09619448024826882,-0.04104851055896197,0.039663565712917175,001120
26,Orion_Corp,Agriculture_&_Food,2018,Q1,0.16327084798437141,0.005433963134464093,-0.9084235137684953,0.0005003488068403561,0.9926994593784183,-0.008102394581522399,0.05272606442925967,001800
26,LG_Corp,Conglomerate,2018,Q1,0.1072020855292471,-0.020589791400904334,0.0004845534501896065,-0.0011138006569169079,-0.03350441040015095,-0.048587422757250254,-0.01865101073074566,003550
26,Namyang_Dairy_Products,Agriculture_&_Food,2018,Q1,0.04533238825144399,0.0010421763271928342,-0.19007623406988983,-0.02179172064419732,0.001022363290348327,-0.0022769250155079135,0.02553742230124241,003920
26,Hansol_Holdings,Conglomerate,2018,Q1,-0.24847681609150052,-0.00999445411377331,0.0442160780717733,-0.0011023999330128653,-0.05445897757463802,-0.010227315727761033,0.06086104203905704,004150
26,Nongshim,Agriculture_&_Food,2018,Q1,0.021332008257165233,-0.002706275996884555,0.0037552667810434315,0.002533320351179147,-0.0029484114677724715,-0.019619075224522664,-0.09900577208621575,004370
26,Binggrae,Agriculture_&_Food,2018,Q1,0.042684408029380345,0.01841170128954528,-0.22389707911038847,-0.0037599412134861065,0.834798981741074,-0.019773106786932004,-0.012809652973047599,005180
26,Hyundai_Green_Food,Agriculture_&_Food,2018,Q1,-0.04620034503345688,0.012399815123429359,0.005300282775021037,0.07219000489774574,-0.023161907917499613,0.0038434660730890524,-0.026189432311464735,005440
26,SPC_Samlip,Agriculture_&_Food,2018,Q1,0.18849575388677997,0.01214791502611634,-0.026533447071428462,0.002916270507513974,0.0124890728327125,0.04527843284783306,-0.1696829522164913,005610
26,Crown_Confectionery,Agriculture_&_Food,2018,Q1,-0.12510746405459147,-0.006364918619427895,0.05680887320027306,-0.007983670854391223,0.5908426610772713,-0.018071746761622265,-0.06851030278805242,005740
26,LS_Corp,Conglomerate,2018,Q1,-0.08951814047904008,-0.021483138956694736,0.0019910227259339885,0.0012586177746886085,-0.024746334427139693,-0.03428385436118342,0.06599465951313449,006260
26,Ottogi,Agriculture_&_Food,2018,Q1,0.0873546804634553,-0.010129174324849943,0.0264025335522432,-0.02570919000034988,-0.010247972724588772,-0.06523616724975634,-0.08248660633923313,007310
26,Muhak,Agriculture_&_Food,2018,Q1,0.07790469669146258,0.013432787965489634,0.2327120375101568,-0.07451584677820833,0.014009205905664346,0.00910417867453317,-0.08484863793768777,033920
26,SK_Holdings,Conglomerate,2018,Q1,-0.029802087371678034,-0.022679297908868357,-0.014821240302023364,0.006090484039561694,-0.07957192518973466,-0.022633780216414046,0.08007509959418145,034730
26,Farmsco,Agriculture_&_Food,2018,Q1,-0.010737962588315816,-0.01203167703746355,-0.007630060255647386,-0.03646401248897213,-0.017554350230362337,-0.06412208944939324,0.10310422107584344,036580
26,Dongwon_F&B,Agriculture_&_Food,2018,Q1,0.19235934845259645,-0.0032732085891471474,-0.40061531385594384,-0.014188474556297903,0.6308567297746004,-0.03489368492853662,-0.017226177219788814,049770
26,Halla_Holdings,Conglomerate,2018,Q1,0.008774232533635403,0.047924785363506306,-0.3999705592033702,0.05630574503966046,0.06994858603517262,0.04617910678704973,-0.18332161362585334,060980
26,GS_Holdings,Conglomerate,2018,Q1,-0.06256723088099875,-0.04062429657342359,0.23389836632338645,0.0002310670638172585,-0.062247399546796034,-0.032196103598737036,0.034138703834464136,078930
26,Samyang_Foods,Agriculture_&_Food,2018,Q1,-0.02245255257766619,-0.007655993587077248,-0.003861477383025669,-0.0021105893136457166,-0.059441893814111024,0.005298816158974096,-0.024877689608158816,145990
