code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,기타포괄손익-공정가치측정금융자산
9580,무림P&P,철강_소재,2015,Q4,2016-03-30,"287,384,080,290","872,676,762,115","1,160,060,842,405","384,209,294,230","229,748,774,854","613,958,069,084","155,920,810,000","268,667,726,766","546,102,773,321",625545843828,39974080472,18468396963,13845749258,13845749258,,
9580,무림P&P,철강_소재,2016,Q1,2016-05-16,"270,668,104,905","860,121,921,385","1,130,790,026,290","404,933,513,935","188,247,092,875","593,180,606,810","155,920,810,000","260,174,372,925","537,609,419,480",160431763303,6848093664,5251929536,3994676500,3994676500,,
9580,무림P&P,철강_소재,2016,Q2,2016-08-16,"271,552,917,717","849,749,208,781","1,121,302,126,498","349,200,061,376","237,066,918,469","586,266,979,845","155,920,810,000","257,600,100,098","535,035,146,653",144499799796,2845630820,-3243257068,-2551583692,-2551583692,,
9580,무림P&P,철강_소재,2016,Q3,2016-11-14,"251,262,140,473","840,546,663,474","1,091,808,803,947","325,430,786,261","227,539,381,002","552,970,167,263","155,920,810,000","265,092,299,787","538,838,636,684",142198156685,388261356,9277846196,7510286274,7510286274,,
9580,무림P&P,철강_소재,2016,Q4,2017-03-31,"254,635,548,335","834,164,471,608","1,088,800,019,943","340,649,523,155","218,469,074,739","559,118,597,894","155,920,810,000","255,935,085,152","529,681,422,049",149647853422,4377818268,-11837355945,-9657975833,-9657975833,,
9580,무림P&P,철강_소재,2017,Q1,2017-05-15,"247,685,589,614","823,118,965,397","1,070,804,555,011","302,991,324,790","235,288,244,121","538,279,568,911","155,920,810,000","258,778,649,203","532,524,986,100",144644362952,5491054943,14123759002,10659020352,10659020352,,
9580,무림P&P,철강_소재,2017,Q2,2017-08-14,"240,034,242,545","837,096,726,803","1,077,130,969,348","293,663,420,863","248,804,949,629","542,468,370,492","155,920,810,000","260,916,261,959","534,662,598,856",149172561181,8685638281,2568667275,2164037643,2164037643,,
9580,무림P&P,철강_소재,2017,Q3,2017-11-14,"254,974,913,840","826,855,484,568","1,081,830,398,408","300,606,682,879","239,768,994,436","540,375,677,315",,"267,708,384,196","541,454,721,093",150552538401,12974825639,8946752483,6811815085,6811815085,,
9580,무림P&P,철강_소재,2017,Q4,2018-04-02,"279,774,911,565","816,373,269,716","1,096,148,181,281","305,864,333,700","230,675,092,218","536,539,425,918",,"285,862,418,466","559,608,755,363",161359408098,18235634918,22255776040,16154740549,16154740549,,
9580,무림P&P,철강_소재,2018,Q1,2018-05-15,"281,806,913,439","806,148,056,423","1,087,954,969,862","312,851,429,217","207,756,290,078","520,607,719,295",,"293,600,913,670","567,347,250,567",158989305329,24246198662,22527212639,17117287570,17117287570,,
9580,무림P&P,철강_소재,2018,Q2,2018-08-14,"315,770,265,263","807,822,881,925","1,123,593,147,188","311,089,276,808","225,710,218,684","536,799,495,492",,"313,047,314,799","586,793,651,696",162980202114,30781924078,25671620965,19470815528,19470815528,,
9580,무림P&P,철강_소재,2018,Q3,2018-11-14,"343,091,028,400","803,053,958,351","1,146,144,986,751","319,939,832,103","217,430,198,499","537,370,030,602",,"335,028,619,252","608,774,956,149",165031891269,30947335275,29093338296,22009912104,22009912104,,
9580,무림P&P,철강_소재,2018,Q4,2019-04-01,"288,935,906,641","881,698,752,715","1,170,634,659,356","314,682,396,082","241,006,155,825","555,688,551,907",,"341,199,770,552","614,946,107,449",162527627994,17034309806,14405836616,9748443996,9748443996,,
