code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),총포괄손익,자본금
000270,기아차,경기소비재,2015,Q4,2016-03-30,"12,275,521,000,000","21,710,875,000,000","33,986,396,000,000","9,277,848,000,000","4,707,821,000,000","13,985,669,000,000","16,130,840,000,000","20,000,727,000,000",32699936000000,2294966000000,3016428000000,2507747000000,,
000270,기아차,경기소비재,2016,Q1,2016-05-16,"13,401,181,000,000","22,838,358,000,000","36,239,539,000,000","10,727,140,000,000","4,096,026,000,000","14,823,166,000,000",,"21,416,373,000,000",7806454000000,639335000000,1308067000000,1160849000000,,
000270,기아차,경기소비재,2016,Q2,2016-08-16,"12,722,354,000,000","23,203,453,000,000","35,925,807,000,000","9,110,810,000,000","5,054,880,000,000","14,165,690,000,000",,"21,760,117,000,000",8347585000000,601346000000,628184000000,483101000000,,
000270,기아차,경기소비재,2016,Q3,2016-11-14,"11,044,006,000,000","23,138,271,000,000","34,182,277,000,000","7,316,832,000,000","4,889,007,000,000","12,205,839,000,000",,"21,976,438,000,000",6703963000000,185658000000,270355000000,227338000000,,
000270,기아차,경기소비재,2016,Q4,2017-03-31,"13,405,152,000,000","22,774,359,000,000","36,179,511,000,000","9,654,996,000,000","4,904,394,000,000","14,559,390,000,000","17,860,267,000,000","21,620,121,000,000",8783852000000,520700000000,246222000000,200192000000,,
000270,기아차,경기소비재,2017,Q1,2017-05-15,"15,316,472,000,000","22,958,543,000,000","38,275,015,000,000","10,256,428,000,000","5,213,570,000,000","15,469,998,000,000",,"22,805,017,000,000",8048992000000,486838000000,983128000000,813803000000,,
000270,기아차,경기소비재,2017,Q2,2017-08-14,"14,807,413,000,000","22,943,160,000,000","37,750,573,000,000","9,500,937,000,000","5,063,494,000,000","14,564,431,000,000",,"23,186,142,000,000",8073055000000,379560000000,501299000000,384318000000,,
000270,기아차,경기소비재,2017,Q3,2017-11-14,"15,578,612,000,000","23,333,741,000,000","38,912,353,000,000","10,050,148,000,000","6,104,996,000,000","16,155,144,000,000","19,017,307,000,000","22,757,209,000,000",8400413000000,-540448000000,-616905000000,-430495000000,,
000270,기아차,경기소비재,2017,Q4,2018-04-02,"15,248,186,000,000","23,356,827,000,000","38,605,013,000,000","9,123,635,000,000","7,344,054,000,000","16,467,689,000,000","18,396,715,000,000","22,137,324,000,000",7587423000000,276659000000,253276000000,159426000000,,
000270,기아차,경기소비재,2018,Q1,2018-05-15,"14,639,973,000,000","23,812,279,000,000","38,452,252,000,000","8,535,018,000,000","6,908,391,000,000","15,443,409,000,000","19,324,863,000,000","23,008,843,000,000",7161352000000,15385000000,288602000000,268527000000,,
000270,기아차,경기소비재,2018,Q2,2018-08-14,"13,882,667,000,000","24,034,462,000,000","37,917,129,000,000","7,765,108,000,000","7,098,906,000,000","14,864,014,000,000","19,421,285,000,000","23,053,115,000,000",8404540000000,234846000000,149341000000,117236000000,,
000270,기아차,경기소비재,2018,Q3,2018-11-14,"12,643,986,000,000","24,452,700,000,000","37,096,686,000,000","6,840,244,000,000","7,267,758,000,000","14,108,002,000,000","19,351,397,000,000","22,988,684,000,000",7492150000000,-88098000000,-47066000000,-18814000000,,
000270,기아차,경기소비재,2018,Q4,2019-04-01,"12,990,133,000,000","24,159,469,000,000","37,149,602,000,000","8,132,675,000,000","7,019,237,000,000","15,151,912,000,000","18,367,594,000,000","21,997,690,000,000",8854147000000,230508000000,65540000000,33847000000,,
000270,기아차,경기소비재,2019,Q1,2019-05-15,"12,892,128,000,000","25,015,264,000,000","37,907,392,000,000","8,812,902,000,000","5,772,405,000,000","14,585,307,000,000","19,670,080,000,000","23,322,085,000,000",7793712000000,437604000000,1022797000000,780553000000,,
000270,기아차,경기소비재,2019,Q2,2019-08-14,"12,950,871,000,000","25,018,818,000,000","37,969,689,000,000","8,601,624,000,000","5,647,400,000,000","14,249,024,000,000","20,040,035,000,000","23,720,665,000,000",8846729000000,438521000000,514433000000,409754000000,,
