code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익(손실),매출액,자본금,총포괄손익,영업비용
002790,아모레G,생활소비재,2018,Q2,2018-08-14,"318,143,509,887","1,441,077,523,656","1,759,221,033,543","4,631,312,491","43,152,359,744","47,783,672,235","1,129,021,928,227","1,711,437,361,308",-1503426824,-2117682669,-2140785674,,"44,450,975,000",,
002790,아모레G,생활소비재,2018,Q3,2018-11-14,"320,471,021,889","1,440,870,666,144","1,761,341,688,033","4,649,345,283","44,460,176,334","49,109,521,617","1,129,550,067,155","1,712,232,166,416",-660048253,1031691041,869937098,,"44,450,975,000",,
002790,아모레G,생활소비재,2018,Q4,2019-04-01,"321,822,411,545","1,438,686,891,379","1,760,509,302,924","5,745,076,801","42,615,899,572","48,360,976,373","1,129,719,219,405","1,712,148,326,551",312316375,4095840646,3281878909,,"44,450,975,000",,
002790,아모레G,생활소비재,2019,Q1,2019-05-15,"347,053,725,619","1,449,105,390,508","1,796,159,116,127","32,338,399,690","38,650,074,291","70,988,473,981","1,152,138,240,116","1,725,170,642,146",45296690432,47766973983,48315271476,,"44,450,975,000",,
002790,아모레G,생활소비재,2019,Q2,2019-08-14,"279,320,924,099","1,451,264,755,432","1,730,585,679,531","6,574,818,832","38,373,813,690","44,948,632,522","1,153,715,486,641","1,685,637,047,009",-206901986,2311796836,1577261513,,"44,450,975,000",,
002790,아모레G,생활소비재,2019,Q3,2019-11-14,"321,493,854,946","1,491,709,591,683","1,813,203,446,629","6,792,191,778","37,928,703,669","44,720,895,447","1,236,826,128,362","1,768,482,551,182",82271185389,83669264261,83101949681,,"44,450,975,000",,
002790,아모레G,생활소비재,2019,Q4,2020-03-30,"569,166,583,504","1,469,543,312,853","2,038,709,896,357","16,240,887,065","34,641,978,436","50,882,865,501","1,221,903,516,097","1,987,827,030,856",-2283833384,-15069017730,-14666807214,,"47,997,075,000",,
002790,아모레G,생활소비재,2020,Q1,2020-05-15,"437,722,755,256","1,633,078,518,166","2,070,801,273,422","43,192,616,350","35,203,625,698","78,396,242,048","1,226,550,415,637","1,992,405,031,374",34935786055,35642619306,35435012512,,"47,997,075,000",,
002790,아모레G,생활소비재,2020,Q2,2020-08-14,"397,100,016,867","1,650,148,558,589","2,047,248,575,456","20,279,537,588","35,131,013,798","55,410,551,386","1,226,079,216,433","1,991,838,024,070",-1749317072,-240683157,-444267213,,"47,997,075,000",,
002790,아모레G,생활소비재,2020,Q3,2020-11-16,"393,965,252,115","1,652,721,500,385","2,046,686,752,500","20,165,714,867","34,484,679,083","54,650,393,950","1,226,199,087,554","1,992,036,358,550",-966365602,-168747906,134377905,,"47,997,075,000",,
002790,아모레G,생활소비재,2020,Q4,2021-03-11,"413,442,693,256","1,588,463,226,021","2,001,905,919,277","21,042,537,463","34,893,342,618","55,935,880,081","1,180,145,475,045","1,945,970,039,196",-1386523294,-45532438301,-46059774663,,"47,997,075,000",,
002790,아모레G,생활소비재,2021,Q1,2021-05-17,"454,645,217,808","1,594,954,423,998","2,049,599,641,806","51,053,420,529","34,403,796,556","85,457,217,085","1,198,202,778,442","1,964,142,424,721",23992669246,47785496750,42512194069,,"47,997,075,000",,
002790,아모레G,생활소비재,2021,Q2,2021-08-17,"614,865,581,167","1,491,744,147,076","2,106,609,728,243","40,237,184,821","20,390,438,355","60,627,623,176","1,280,102,275,355","2,045,982,105,067",-2064523684,98110313324,81913860285,,"47,997,075,000",,
002790,아모레G,생활소비재,2021,Q3,2021-11-15,"503,361,534,083","1,623,938,561,280","2,127,300,095,363","28,923,419,404","28,725,621,673","57,649,041,077","1,303,871,125,060","2,069,651,054,286",-4188639202,21005636709,23781419182,,"47,997,075,000",,
002790,아모레G,생활소비재,2021,Q4,2022-03-16,"494,779,020,016","1,621,200,008,424","2,115,979,028,440","54,087,396,475","28,808,178,423","82,895,574,898","1,266,446,389,730","2,033,083,453,542",-6497339029,-36467398336,-35861803587,,"47,997,075,000",,
002790,아모레G,생활소비재,2022,Q1,2022-05-16,"514,345,653,232","1,620,978,275,306","2,135,323,928,538","83,559,883,955","28,376,145,003","111,936,028,958","1,257,316,034,794","2,023,387,899,580",27059938023,30068129793,29640237815,,"47,997,075,000",,
002790,아모레G,생활소비재,2022,Q2,2022-08-16,"454,331,612,469","1,627,916,001,628","2,082,247,614,097","30,630,853,317","29,140,366,841","59,771,220,158","1,256,272,020,673","2,022,476,393,939",-3554794605,2387422664,-1012789507,,"47,997,075,000",,
002790,아모레G,생활소비재,2022,Q3,2022-11-14,"340,021,041,850","1,784,264,365,422","2,124,285,407,272","31,627,805,230","37,268,336,540","68,896,141,770","1,255,458,298,384","2,055,389,265,502",-3462112891,-982242279,-803276559,,"47,997,075,000",,
002790,아모레G,생활소비재,2022,Q4,2023-03-09,"393,243,956,319","1,859,875,996,576","2,253,119,952,895","14,707,020,893","42,777,914,050","57,484,934,943","1,383,158,616,376","2,195,635,017,952",109735432104,137993958320,134466361801,,"47,997,075,000",,
002790,아모레G,생활소비재,2023,Q1,2023-05-15,"421,715,489,260","1,834,745,322,330","2,256,460,811,590","36,354,077,119","37,243,245,209","73,597,322,328","1,390,590,840,937","2,182,863,489,262",24373190937,29544614285,29202941319,,"47,997,075,000",,
002790,아모레G,생활소비재,2023,Q2,2023-08-14,"398,549,958,677","1,760,047,613,460","2,158,597,572,137","13,335,862,486","21,438,412,170","34,774,274,656","1,391,246,559,798","2,123,823,297,481",-3014210607,816334674,679927542,,"47,997,075,000",,
002790,아모레G,생활소비재,2023,Q3,2023-11-14,"397,303,411,839","1,768,533,114,524","2,165,836,526,363","5,170,781,105","22,555,247,552","27,726,028,657","1,399,472,905,084","2,138,110,497,706",-1496697869,8638250402,8239131323,,"47,997,075,000",14234130027,
002790,아모레G,생활소비재,2023,Q4,2024-03-07,"386,760,460,814","1,749,344,650,980","2,136,105,111,794","5,805,653,763","15,578,256,148","21,383,909,911","1,393,096,851,579","2,114,721,201,883",-2547305388,-5826560136,-4640403614,42719327563,"47,997,075,000",-73895611135,25404350490
002790,아모레G,생활소비재,2024,Q1,2024-05-16,"426,698,785,801","1,733,871,849,774","2,160,570,635,575","32,273,159,346","13,354,091,870","45,627,251,216","1,403,445,341,928","2,114,943,384,359",32117557397,36944131279,35405367689,38663283339,"47,997,075,000",25187266886,6545725942
002790,아모레G,생활소비재,2024,Q2,2024-08-14,"403,479,300,022","1,697,275,987,861","2,100,755,287,883","3,955,690,897","7,477,034,040","11,432,724,937","1,405,543,331,104","2,089,322,562,946",-2796368428,2678557569,2089624093,2881446063,"47,997,075,000",-25798669703,5677814491
002790,아모레G,생활소비재,2024,Q3,2024-11-14,"404,707,871,437","1,716,938,052,599","2,121,645,924,036","2,545,199,749","12,069,311,111","14,614,510,860","1,407,557,182,396","2,107,031,413,176",-1595044557,2605500111,1978721566,4483630884,"47,997,075,000",17658599510,6078675441
002790,아모레G,생활소비재,2024,Q4,2025-03-17,"402,248,234,119","1,715,005,518,624","2,117,253,752,743","3,408,131,257","9,547,948,316","12,956,079,573","1,410,268,265,749","2,104,297,673,170",-2388483397,3917847098,3179929659,2830277554,"47,997,075,000",-2815140464,5218760951
002790,아모레G,생활소비재,2025,Q1,2025-05-15,"449,504,356,330","1,712,264,690,987","2,161,769,047,317","39,213,595,431","3,152,942,008","42,366,537,439","1,342,076,767,625","2,119,402,509,878",39483679050,44310552894,55023517498,44311225796,"47,997,075,000",47134914091,4827546746
002790,아모레G,생활소비재,2025,Q2,2025-08-14,"414,469,102,623","1,713,958,678,592","2,128,427,781,215","5,922,574,092","3,639,304,740","9,561,878,832","1,341,393,446,951","2,118,865,902,383",-5661055896,-1022953587,-709520081,2202403128,"47,997,075,000",-1033527396,7863459024
