code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,영업이익,법인세차감전 순이익,당기순이익(손실),매출액,자본금,총포괄손익,영업비용
002790,아모레G,생활소비재,2015,Q4,2016-03-30,"320,136,598,392","1,374,798,940,073","1,694,935,538,465","5,528,034,365","40,547,604,656","46,075,639,021","1,064,230,922,345","1,648,859,899,444",39267788715,44627080105,42538320101,,,,
002790,아모레G,생활소비재,2016,Q1,2016-05-16,"372,707,811,098","1,370,444,073,477","1,743,151,884,575","35,475,013,836","41,184,442,368","76,659,456,204","1,082,032,502,088","1,666,492,428,371",52209759810,50676513185,50326768469,59863495059,,,
002790,아모레G,생활소비재,2016,Q2,2016-08-16,"341,650,110,688","1,370,760,902,612","1,712,411,013,300","5,318,282,624","40,997,793,556","46,316,076,180","1,081,555,043,313","1,666,094,937,120",-516096000,497368683,-449288633,7903453705,,,
002790,아모레G,생활소비재,2016,Q3,2016-11-14,"339,670,135,915","1,372,601,345,500","1,712,271,481,415","5,790,004,818","41,531,418,914","47,321,423,732","1,080,394,372,075","1,664,950,057,683",-536698885,-1015393678,-1145432253,,,,
002790,아모레G,생활소비재,2016,Q4,2017-03-31,"335,776,248,375","1,371,295,293,659","1,707,071,542,034","6,596,820,449","40,173,472,716","46,770,293,165","1,075,910,600,859","1,660,301,248,869",-3729202378,-4496587104,-3723346637,15360942636,,,
002790,아모레G,생활소비재,2017,Q1,2017-05-15,"397,683,600,250","1,373,442,703,692","1,771,126,303,942","43,009,919,555","41,189,946,965","84,199,866,520","1,101,993,841,563","1,686,926,437,422",64514214544,65727621653,64498819407,77314929296,,,
002790,아모레G,생활소비재,2017,Q2,2017-08-14,"360,830,991,301","1,372,742,241,171","1,733,573,232,472","5,442,429,119","40,666,116,087","46,108,545,206","1,103,005,233,769","1,687,464,687,266",425177935,1342595884,1083945311,7760459061,,,
002790,아모레G,생활소비재,2017,Q3,2017-11-14,"321,609,502,643","1,411,571,437,342","1,733,180,939,985","4,581,879,927","40,632,278,843","45,214,158,770","1,103,637,708,701","1,687,966,781,215",-496272778,807273477,618264523,7691161424,"44,450,975,000",,
002790,아모레G,생활소비재,2017,Q4,2018-04-02,"320,567,014,530","1,422,884,582,047","1,743,451,596,577","4,464,488,862","44,005,768,722","48,470,257,584","1,111,809,913,724","1,694,981,338,993",485454092,10112216312,7804132102,,"44,450,975,000",,
002790,아모레G,생활소비재,2018,Q1,2018-05-15,"353,591,636,713","1,440,677,820,537","1,794,269,457,250","39,791,714,143","43,973,001,137","83,764,715,280","1,127,508,728,858","1,710,504,741,970",46653886294,48102885209,47440990561,,"44,450,975,000",,
