code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익,영업비용
030200,KT,커뮤니케이션서비스,2019,Q2,2019-08-14,"7,052,443,000,000","19,907,385,000,000","26,959,828,000,000","6,238,736,000,000","7,837,760,000,000","14,076,496,000,000","12,883,332,000,000",4558528000000,191136000000,189376000000,139717000000,"1,564,499,000,000","10,880,242,000,000",,
030200,KT,커뮤니케이션서비스,2019,Q3,2019-11-14,"6,961,437,000,000","20,114,951,000,000","27,076,388,000,000","6,471,111,000,000","7,650,930,000,000","14,122,041,000,000","12,954,347,000,000",4705722000000,197729000000,98201000000,72384000000,"1,564,499,000,000","10,952,914,000,000",,
030200,KT,커뮤니케이션서비스,2019,Q4,2020-03-30,"7,236,269,000,000","20,497,585,000,000","27,733,854,000,000","6,764,653,000,000","8,072,500,000,000","14,837,153,000,000","12,896,701,000,000",4606217000000,53912000000,-58138000000,-72908000000,"1,564,499,000,000","10,869,987,000,000",,
030200,KT,커뮤니케이션서비스,2020,Q1,2020-05-15,"6,884,462,000,000","20,184,613,000,000","27,069,075,000,000","6,486,398,000,000","7,646,926,000,000","14,133,324,000,000","12,935,751,000,000",4429067000000,299605000000,433814000000,320025000000,"1,564,499,000,000","10,919,597,000,000",,
030200,KT,커뮤니케이션서비스,2020,Q2,2020-08-14,"7,451,436,000,000","20,126,566,000,000","27,578,002,000,000","6,562,159,000,000","7,904,310,000,000","14,466,469,000,000","13,111,533,000,000",4339675000000,252702000000,224709000000,165768000000,"1,564,499,000,000","11,084,867,000,000",,
030200,KT,커뮤니케이션서비스,2020,Q3,2020-11-16,"8,102,420,000,000","20,083,048,000,000","28,185,468,000,000","6,980,915,000,000","7,896,838,000,000","14,877,753,000,000","13,307,715,000,000",4520466000000,206803000000,221280000000,163237000000,"1,564,499,000,000","11,248,970,000,000",,
030200,KT,커뮤니케이션서비스,2020,Q4,2021-03-19,"7,155,734,000,000","20,872,192,000,000","28,027,926,000,000","6,607,967,000,000","8,216,402,000,000","14,824,369,000,000","13,203,557,000,000",4590073000000,119129000000,-66505000000,16463000000,"1,564,499,000,000","11,233,714,000,000",,
030200,KT,커뮤니케이션서비스,2021,Q1,2021-05-17,"7,287,308,000,000","20,406,412,000,000","27,693,720,000,000","6,563,859,000,000","8,117,441,000,000","14,681,300,000,000","13,012,420,000,000",4574453000000,365975000000,452242000000,334388000000,"1,564,499,000,000","11,221,440,000,000",,
030200,KT,커뮤니케이션서비스,2021,Q2,2021-08-17,"7,254,513,000,000","20,948,915,000,000","28,203,428,000,000","5,767,895,000,000","9,109,740,000,000","14,877,635,000,000","13,325,793,000,000",4478801000000,351190000000,401434000000,296819000000,"1,564,499,000,000","11,517,464,000,000",,
030200,KT,커뮤니케이션서비스,2021,Q3,2021-11-15,"7,533,014,000,000","21,074,472,000,000","28,607,486,000,000","6,419,383,000,000","8,596,833,000,000","15,016,216,000,000","13,591,270,000,000",4664705000000,259128000000,309296000000,228693000000,"1,564,499,000,000","11,746,554,000,000",,
030200,KT,커뮤니케이션서비스,2021,Q4,2022-03-23,"7,167,047,000,000","22,195,322,000,000","29,362,369,000,000","6,968,720,000,000","8,528,755,000,000","15,497,475,000,000","13,864,894,000,000",4669475000000,91980000000,158345000000,130591000000,"1,564,499,000,000","11,931,481,000,000",,
030200,KT,커뮤니케이션서비스,2022,Q1,2022-05-16,"7,443,683,000,000","21,861,892,000,000","29,305,575,000,000","6,910,094,000,000","8,599,376,000,000","15,509,470,000,000","13,796,105,000,000",4608389000000,429893000000,529051000000,390969000000,"1,564,499,000,000","11,859,772,000,000",,
030200,KT,커뮤니케이션서비스,2022,Q2,2022-08-16,"7,352,707,000,000","22,816,806,000,000","30,169,513,000,000","7,580,432,000,000","8,825,478,000,000","16,405,910,000,000","13,763,603,000,000",4517852000000,303481000000,326521000000,24436000000,"1,564,499,000,000","11,882,222,000,000",,
030200,KT,커뮤니케이션서비스,2022,Q3,2022-11-14,"7,612,419,000,000","23,442,806,000,000","31,055,225,000,000","6,848,172,000,000","9,553,350,000,000","16,401,522,000,000","14,653,703,000,000",4590184000000,323602000000,325104000000,240251000000,"1,564,499,000,000","12,121,914,000,000",,
030200,KT,커뮤니케이션서비스,2022,Q4,2023-03-23,"6,603,488,000,000","23,814,286,000,000","30,417,774,000,000","6,321,450,000,000","9,238,244,000,000","15,559,694,000,000","14,858,080,000,000",4572818000000,111127000000,90067000000,108094000000,"1,564,499,000,000","12,347,403,000,000",,
030200,KT,커뮤니케이션서비스,2023,Q1,2023-05-15,"6,972,142,000,000","23,414,775,000,000","30,386,917,000,000","6,582,668,000,000","9,183,808,000,000","15,766,476,000,000","14,620,441,000,000",4618994000000,388143000000,427693000000,319865000000,"1,564,499,000,000","12,123,303,000,000",,
030200,KT,커뮤니케이션서비스,2023,Q2,2023-08-14,"6,172,521,000,000","23,419,636,000,000","29,592,157,000,000","6,153,715,000,000","8,663,792,000,000","14,817,507,000,000","14,774,650,000,000",4487418000000,407424000000,394651000000,305055000000,"1,564,499,000,000","12,428,997,000,000",,
030200,KT,커뮤니케이션서비스,2023,Q3,2023-11-14,"7,505,368,000,000","23,309,403,000,000","30,814,771,000,000","6,925,184,000,000","8,906,222,000,000","15,831,406,000,000","14,983,365,000,000",4672959000000,193502000000,228166000000,210569000000,"1,564,499,000,000","12,541,260,000,000",210205000000,4479457000000
030200,KT,커뮤니케이션서비스,2023,Q4,2024-03-20,"7,088,565,000,000","23,220,354,000,000","30,308,919,000,000","6,957,491,000,000","8,307,889,000,000","15,265,380,000,000","15,043,539,000,000",4592066000000,196323000000,104764000000,97848000000,"1,564,499,000,000","12,544,425,000,000",769983000000,12706588000000
030200,KT,커뮤니케이션서비스,2024,Q1,2024-05-16,"7,578,414,000,000","22,756,398,000,000","30,334,812,000,000","7,477,756,000,000","7,857,889,000,000","15,335,645,000,000","14,999,167,000,000",4694828000000,393773000000,466149000000,354031000000,"1,564,499,000,000","12,390,518,000,000",463859000000,4301055000000
030200,KT,커뮤니케이션서비스,2024,Q2,2024-08-14,"7,451,719,000,000","23,013,096,000,000","30,464,815,000,000","7,315,080,000,000","7,851,629,000,000","15,166,709,000,000","15,298,106,000,000",4548296000000,358858000000,409114000000,314500000000,"1,564,499,000,000","12,404,161,000,000",424533000000,4189438000000
030200,KT,커뮤니케이션서비스,2024,Q3,2024-11-14,"7,447,723,000,000","22,509,426,000,000","29,957,149,000,000","8,074,873,000,000","6,438,204,000,000","14,513,077,000,000","15,444,072,000,000",4764983000000,338858000000,408013000000,309792000000,"1,564,499,000,000","12,579,188,000,000",267121000000,4426125000000
030200,KT,커뮤니케이션서비스,2024,Q4,2025-03-21,"6,892,601,000,000","22,636,279,000,000","29,528,880,000,000","7,633,219,000,000","7,475,521,000,000","15,108,740,000,000","14,420,140,000,000",4571571000000,-745000000000,-879479000000,-651407000000,"1,564,499,000,000","11,717,929,000,000",-902149000000,5316571000000
030200,KT,커뮤니케이션서비스,2025,Q1,2025-05-15,"7,016,292,000,000","22,024,682,000,000","29,040,974,000,000","7,265,368,000,000","7,143,969,000,000","14,409,337,000,000","14,631,637,000,000",4682007000000,400114000000,448321000000,365377000000,"1,564,499,000,000","11,965,021,000,000",379766000000,4281893000000
030200,KT,커뮤니케이션서비스,2025,Q2,2025-08-14,"7,022,199,000,000","21,986,534,000,000","29,008,733,000,000","7,074,777,000,000","7,090,863,000,000","14,165,640,000,000","14,843,093,000,000",4772823000000,468735000000,422431000000,358066000000,"1,564,499,000,000","12,156,410,000,000",512433000000,4304088000000
