code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익,영업비용
030200,KT,커뮤니케이션서비스,2015,Q4,2016-03-30,"4,636,920,000,000","19,585,575,000,000","24,222,495,000,000","5,978,832,000,000","7,859,707,000,000","13,838,539,000,000","10,383,956,000,000",16942357000000,863860000000,1010431000000,770324000000,,,,
030200,KT,커뮤니케이션서비스,2016,Q1,2016-05-16,"5,116,508,000,000","18,865,408,000,000","23,981,916,000,000","5,841,433,000,000","7,596,966,000,000","13,438,399,000,000","10,543,517,000,000",4200856000000,287227000000,361450000000,278618000000,,,,
030200,KT,커뮤니케이션서비스,2016,Q2,2016-08-16,"5,016,514,000,000","18,574,261,000,000","23,590,775,000,000","6,053,449,000,000","6,794,294,000,000","12,847,743,000,000","10,743,032,000,000",4203538000000,321944000000,229664000000,201325000000,,,,
030200,KT,커뮤니케이션서비스,2016,Q3,2016-11-14,"5,416,403,000,000","18,871,011,000,000","24,287,414,000,000","5,962,080,000,000","7,414,483,000,000","13,376,563,000,000","10,910,851,000,000",,303216000000,,166494000000,,,,
030200,KT,커뮤니케이션서비스,2016,Q4,2017-03-31,"4,851,079,000,000","19,849,258,000,000","24,700,337,000,000","6,027,671,000,000","7,588,147,000,000","13,615,818,000,000","11,084,519,000,000",8624474000000,147204000000,443482000000,162893000000,,,,
030200,KT,커뮤니케이션서비스,2017,Q1,2017-05-15,"4,502,150,000,000","19,175,092,000,000","23,677,242,000,000","5,636,506,000,000","6,855,537,000,000","12,492,043,000,000","11,185,199,000,000",4161418000000,318923000000,358270000000,284585000000,,,,
030200,KT,커뮤니케이션서비스,2017,Q2,2017-08-14,"3,954,187,000,000","18,927,123,000,000","22,881,310,000,000","4,741,899,000,000","6,791,536,000,000","11,533,435,000,000","11,347,875,000,000",4292582000000,301427000000,173694000000,160723000000,,,,
030200,KT,커뮤니케이션서비스,2017,Q3,2017-11-14,"4,603,060,000,000","18,778,872,000,000","23,381,932,000,000","5,338,242,000,000","6,540,456,000,000","11,878,698,000,000","11,503,234,000,000",4312022000000,271443000000,225267000000,148013000000,"1,564,499,000,000","9,548,287,000,000",,
030200,KT,커뮤니케이션서비스,2017,Q4,2018-04-02,"4,379,568,000,000","18,955,355,000,000","23,334,923,000,000","5,596,667,000,000","6,427,178,000,000","12,023,845,000,000","11,311,078,000,000",4575294000000,60368000000,-144839000000,-130053000000,"1,564,499,000,000","9,344,506,000,000",,
030200,KT,커뮤니케이션서비스,2018,Q1,2018-05-15,"6,312,656,000,000","18,327,125,000,000","24,639,781,000,000","5,883,176,000,000","6,421,076,000,000","12,304,252,000,000","12,335,529,000,000",4297158000000,304957000000,432213000000,316767000000,"1,564,499,000,000","10,380,358,000,000",,
030200,KT,커뮤니케이션서비스,2018,Q2,2018-08-14,"6,266,657,000,000","18,111,591,000,000","24,378,248,000,000","5,927,580,000,000","5,925,519,000,000","11,853,099,000,000","12,525,149,000,000",4283030000000,307657000000,286386000000,209921000000,"1,564,499,000,000","10,587,321,000,000",,
030200,KT,커뮤니케이션서비스,2018,Q3,2018-11-14,"6,976,138,000,000","17,832,457,000,000","24,808,595,000,000","5,806,129,000,000","6,269,101,000,000","12,075,230,000,000","12,733,365,000,000",4358170000000,280604000000,276378000000,202609000000,"1,564,499,000,000","10,788,774,000,000",,
030200,KT,커뮤니케이션서비스,2018,Q4,2019-04-01,"6,861,619,000,000","19,149,287,000,000","26,010,906,000,000","5,908,497,000,000","7,390,681,000,000","13,299,178,000,000","12,711,728,000,000",4418179000000,58406000000,-109301000000,-168073000000,"1,564,499,000,000","10,740,042,000,000",,
030200,KT,커뮤니케이션서비스,2019,Q1,2019-05-15,"7,307,330,000,000","19,530,402,000,000","26,837,732,000,000","6,283,782,000,000","7,815,924,000,000","14,099,706,000,000","12,738,026,000,000",4334284000000,296445000000,397183000000,292635000000,"1,564,499,000,000","10,741,727,000,000",,
