code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익
007070,GS리테일,생활소비재,2015,Q4,2016-03-30,"440,747,039,150","3,150,001,778,270","3,590,748,817,420","800,622,126,342","996,356,535,102","1,796,978,661,444","1,793,770,155,976",6189347697822,215745795447,213228311186,161577082037,,,
007070,GS리테일,생활소비재,2016,Q1,2016-05-16,"476,927,312,962","3,203,307,211,931","3,680,234,524,893","924,523,604,177","1,005,093,052,790","1,929,616,656,967","1,750,617,867,926",1597603817700,26743281079,28809982866,22320941627,,,
007070,GS리테일,생활소비재,2016,Q2,2016-08-16,"436,677,467,151","3,259,798,611,537","3,696,476,078,688","903,543,675,816","994,664,064,568","1,898,207,740,384","1,798,268,338,304",1794548982455,63325461002,62496960371,47633750781,,,
007070,GS리테일,생활소비재,2016,Q3,2016-11-14,"1,058,838,252,513","2,729,905,183,977","3,788,743,436,490","1,359,318,894,960","565,204,919,947","1,924,523,814,907","1,864,219,621,583",1937694173964,86728440541,87084780662,65925614199,,,
007070,GS리테일,생활소비재,2016,Q4,2017-03-30,"710,503,032,893","2,775,935,232,424","3,486,438,265,317","962,403,329,377","541,930,941,125","1,504,334,270,502","1,982,103,994,815",1856390987420,31410344274,195065248149,146409794241,,,
007070,GS리테일,생활소비재,2017,Q1,2017-05-15,"666,005,461,375","2,873,755,678,714","3,539,761,140,089","1,051,806,173,380","565,253,687,000","1,617,059,860,380","1,922,701,279,709",1760881723930,23384811715,31674711522,25338381341,,,
007070,GS리테일,생활소비재,2017,Q2,2017-08-14,"695,569,291,178","3,056,867,869,618","3,752,437,160,796","1,215,676,163,225","573,421,532,585","1,789,097,695,810","1,963,339,464,986",2006118852918,55192443382,58018184668,44066251084,,,
007070,GS리테일,생활소비재,2017,Q3,2017-11-14,"890,712,882,844","3,161,806,851,295","4,052,519,734,139","1,630,385,989,564","407,762,182,177","2,038,148,171,741","2,014,371,562,398",2190650169597,62994154395,69192372151,51137449277,"77,000,000,000","1,785,327,407,436",
007070,GS리테일,생활소비재,2017,Q4,2018-03-30,"693,022,869,902","3,189,448,489,185","3,882,471,359,087","1,455,125,112,701","376,705,348,120","1,831,830,460,821","2,050,640,898,266",1989241826665,13163263407,32054592133,24272462657,"77,000,000,000","1,821,596,743,304",
007070,GS리테일,생활소비재,2018,Q1,2018-05-15,"727,201,972,786","3,199,924,338,311","3,927,126,311,097","1,530,174,313,705","382,512,711,683","1,912,687,025,388","2,014,439,285,709",1917754433761,6649003300,16702411214,13429326055,"77,000,000,000","1,785,515,833,325",
007070,GS리테일,생활소비재,2018,Q2,2018-08-14,"717,954,851,985","3,215,551,273,513","3,933,506,125,498","1,507,162,993,779","370,362,063,360","1,877,525,057,139","2,055,981,068,359",2115221203803,46685425302,56383182675,41967099196,"77,000,000,000","1,827,057,615,975",
007070,GS리테일,생활소비재,2018,Q3,2018-11-14,"847,977,997,704","3,267,614,386,733","4,115,592,384,437","1,634,355,988,740","371,441,996,750","2,005,797,985,490","2,109,794,398,947",2241573023470,63244248930,72098618422,54215111067,"77,000,000,000","1,880,870,946,563",
007070,GS리테일,생활소비재,2018,Q4,2019-04-01,"653,186,692,671","3,257,903,739,050","3,911,090,431,721","1,463,088,265,015","344,937,414,767","1,808,025,679,782","2,103,064,751,939",2079927597096,22593955389,3165630401,3986184250,"77,000,000,000","1,874,033,859,445",
007070,GS리테일,생활소비재,2019,Q1,2019-05-15,"821,940,931,499","4,554,074,167,476","5,376,015,098,975","1,889,346,777,464","1,394,377,279,644","3,283,724,057,108","2,092,291,041,867",2001400124640,8483834671,25460369947,18663309531,"77,000,000,000","1,863,247,614,228",
007070,GS리테일,생활소비재,2019,Q2,2019-08-14,"812,738,503,114","4,586,745,805,185","5,399,484,308,299","1,853,396,085,985","1,407,204,207,323","3,260,600,293,308","2,138,884,014,991",2213901700462,63687878022,63661359477,48129802674,"77,000,000,000","1,909,840,587,352",
007070,GS리테일,생활소비재,2019,Q3,2019-11-14,"854,554,201,089","4,584,278,089,415","5,438,832,290,504","1,566,369,450,984","1,678,501,505,381","3,244,870,956,365","2,193,961,334,139",2281146596136,73408905869,77734907330,59061879824,"77,000,000,000","1,964,956,442,152",
007070,GS리테일,생활소비재,2019,Q4,2020-03-30,"733,163,674,579","4,853,955,943,999","5,587,119,618,578","1,464,479,429,467","1,958,160,098,926","3,422,639,528,393","2,164,480,090,185",2124657556158,34744798252,-9633660931,-11571307875,"77,000,000,000","1,943,604,173,359",
007070,GS리테일,생활소비재,2020,Q1,2020-05-15,"839,306,041,508","4,789,670,711,566","5,628,976,753,074","1,519,973,426,974","1,922,018,123,637","3,441,991,550,611","2,186,985,202,463",2068106841668,91655209182,97830544690,80576860843,"77,000,000,000","1,966,089,856,377",
