code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,당기손익-공정가치측정금융자산
008490,Seohung,화학,2019,Q2,"194,684,498,902","278,081,332,533","472,765,831,435","100,766,161,380","135,452,593,164","236,218,754,544","206,847,577,795","236,547,076,891",79787723330,7733450803,9440511695,8720311941,8720311941,"6,084,556,500",,
008490,Seohung,화학,2019,Q3,"166,668,638,707","288,948,877,940","455,617,516,647","82,119,532,477","133,879,754,853","215,999,287,330","211,659,890,213","239,618,229,317",75454287729,5120280927,4880055021,4812312418,4812312418,"6,084,556,500",,
008490,Seohung,화학,2019,Q4,"159,701,887,244","287,199,701,055","446,901,588,299","81,222,723,242","118,192,823,413","199,415,546,655","219,579,145,903","247,486,041,644",79433662037,7070379695,8278543412,6818512948,6818512948,"6,084,556,500",,
008490,Seohung,화학,2020,Q1,"164,287,664,614","293,567,589,268","457,855,253,882","88,188,047,917","116,650,643,616","204,838,691,533","225,956,503,513","253,016,562,349",103937243950,12356151189,12812069838,10825002810,10825002810,"6,084,556,500",,
008490,Seohung,화학,2020,Q2,"193,318,404,494","295,922,106,360","489,240,510,854","108,292,054,714","116,305,130,506","224,597,185,220","237,571,395,254","264,643,325,634",97631652932,12424015782,15776633738,13307170379,13307170379,"6,084,556,500",,
008490,Seohung,화학,2020,Q3,"212,772,826,238","292,618,194,597","505,391,020,835","118,413,358,992","114,220,898,245","232,634,257,237","245,684,833,218","272,756,763,598",101487791092,10644824743,10557567797,8113437964,8113437964,"6,084,556,500",,
008490,Seohung,화학,2020,Q4,"185,416,424,366","294,998,753,868","480,415,178,234","148,025,944,685","56,698,930,773","204,724,875,458","248,618,372,396","275,690,302,776",83166063133,4871418884,1168379183,2157307817,2157307817,"6,084,556,500",,
008490,Seohung,화학,2021,Q1,"204,917,093,084","304,191,736,960","509,108,830,044","170,554,223,799","57,885,754,365","228,439,978,164","256,430,501,760","280,668,851,880",120551242844,14363444786,14825202126,12815730214,12815730214,"6,084,556,500",,
008490,Seohung,화학,2021,Q2,"208,051,237,777","302,679,254,911","510,730,492,688","212,204,359,470","9,622,938,514","221,827,297,984","264,664,844,584","288,903,194,704",104898213004,13555218453,13433117004,11688599469,11688599469,"6,084,556,500",,
008490,Seohung,화학,2021,Q3,"206,232,966,630","318,653,300,804","524,886,267,434","156,798,606,345","73,132,403,924","229,931,010,269","270,716,907,045","294,955,257,165",99839727521,6840227361,6817821654,6052062461,6052062461,"6,084,556,500",,
008490,Seohung,화학,2021,Q4,"174,085,276,826","311,909,765,389","485,995,042,215","117,369,888,715","67,592,037,207","184,961,925,922","277,845,031,069","301,033,116,293",88493388336,9880371391,7495158670,6129431208,6129431208,"6,084,556,500",,
008490,Seohung,화학,2022,Q1,"231,140,104,664","320,428,644,211","551,568,748,875","176,853,006,500","68,617,501,867","245,470,508,367","282,910,155,284","306,098,240,508",118159484279,13257299590,12204435612,10624680715,10624680715,"6,084,556,500",,
008490,Seohung,화학,2022,Q2,"186,393,359,292","340,679,094,010","527,072,453,302","127,702,094,660","86,162,331,011","213,864,425,671","290,019,942,407","313,208,027,631",91952534244,11131395285,8170627073,7178749303,7178749303,"6,084,556,500",,
008490,Seohung,화학,2022,Q3,"204,408,771,763","349,427,627,014","553,836,398,777","128,545,661,284","102,168,713,612","230,714,374,896","299,933,938,657","323,122,023,881",96714394762,10302174849,11364797301,9913996250,9913996250,"6,084,556,500",,
008490,Seohung,화학,2022,Q4,"196,026,033,278","345,123,322,281","541,149,355,559","123,254,015,386","98,844,003,871","222,098,019,257","295,973,638,748","319,051,336,302",75180676262,1781805081,-2141814059,-4782289068,-4782289068,"6,084,556,500",,
008490,Seohung,화학,2023,Q1,"196,576,785,518","356,383,072,353","552,959,857,871","136,346,022,522","99,398,032,932","235,744,055,454","294,138,104,863","317,215,802,417",87087458115,5947329853,4108207546,2612111315,2612111315,"6,084,556,500",,
008490,Seohung,화학,2023,Q2,"207,473,740,248","366,038,558,436","573,512,298,684","173,504,682,974","79,102,637,855","252,607,320,829","297,827,280,301","320,904,977,855",84324512318,8129732964,4912342057,3198894822,3198894822,"6,084,556,500",,
008490,Seohung,화학,2023,Q3,"208,976,124,726","374,320,095,341","583,296,220,067","258,020,968,140","2,040,149,284","260,061,117,424","300,157,405,089","323,235,102,643",78536937295,3062302682,3194625957,2330124788,2330124788,"6,084,556,500",2330124788,
008490,Seohung,화학,2023,Q4,"183,142,258,937","378,974,183,182","562,116,442,119","239,680,843,281","607,986,047","240,288,829,328","298,963,339,152","321,827,612,791",66346040185,1361923790,-2931244994,-2784802476,-2784802476,"6,084,556,500",4893796901,0
008490,Seohung,화학,2024,Q1,"191,606,795,584","382,528,554,988","574,135,350,572","245,913,106,771","520,849,736","246,433,956,507","304,837,120,426","327,701,394,065",81689211914,5972243702,9957041100,6985692574,6985692574,"6,084,556,500",6985692574,
008490,Seohung,화학,2024,Q2,"208,684,576,906","377,884,380,213","586,568,957,119","254,406,771,478","612,076,493","255,018,847,971","308,685,835,509","331,550,109,148",91363297730,6458438095,5342973743,3655134442,3655134442,"6,084,556,500",3848715083,
008490,Seohung,화학,2024,Q3,"195,790,544,204","375,767,793,705","571,558,337,909","173,053,141,602","61,281,409,882","234,334,551,484","314,359,512,786","337,223,786,425",85996096657,2422150834,8093509028,5673677277,5673677277,"6,084,556,500",5673677277,
