code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채
000050,경방,경기소비재,2020,Q3,2020-11-13,"200,361,728,224","1,113,850,397,920","1,314,212,126,144","300,170,811,492","258,192,029,167","558,362,840,659","758,378,531,435","755,849,285,485",58605521133,5520455739,2201372442,6064725241,"13,707,635,000",,,,
000050,경방,경기소비재,2020,Q4,2021-03-16,"67,253,982,987","1,145,139,850,925","1,212,393,833,912","222,570,409,989","230,353,533,285","452,923,943,274","762,095,096,048","759,469,890,638",57679758018,9343817608,7216512153,3716564613,"13,707,635,000",,,,
000050,경방,경기소비재,2021,Q1,2021-05-13,"51,234,522,724","1,168,521,211,761","1,219,755,734,485","227,128,310,518","230,238,780,720","457,367,091,238","768,181,273,233","762,388,643,247",57027354089,8101329752,12298060423,9338085935,"13,707,635,000",,,,
000050,경방,경기소비재,2021,Q2,2021-08-13,"53,695,491,697","1,163,406,484,584","1,217,101,976,281","227,015,388,707","227,148,772,933","454,164,161,640","772,149,556,788","762,937,814,641",66861811509,1431608694,5148965390,3968283555,"13,707,635,000",,,,
000050,경방,경기소비재,2021,Q3,2021-11-12,"55,396,697,443","1,159,766,342,774","1,215,163,040,217","166,764,291,446","285,369,059,400","452,133,350,846","775,664,012,297","763,029,689,371",64840384824,4529744543,4559073371,3514455509,"13,707,635,000",,,,
000050,경방,경기소비재,2021,Q4,2022-03-18,"66,773,086,436","1,147,416,467,386","1,214,189,553,822","163,333,450,206","284,140,919,355","447,474,369,561","782,149,131,208","766,715,184,261",82988874967,14615290862,10159979942,6485118911,"13,707,635,000",,,,
000050,경방,경기소비재,2022,Q1,2022-05-13,"66,734,228,373","1,135,890,482,813","1,202,624,711,186","155,444,273,305","280,957,266,823","436,401,540,128","783,404,134,000","766,223,171,058",71295343477,9670380604,5689538582,4385607792,"13,707,635,000",,,,
000050,경방,경기소비재,2022,Q2,2022-08-12,"75,492,808,724","1,126,424,517,885","1,201,917,326,609","162,446,597,261","273,191,470,799","435,638,068,060","783,461,761,124","766,279,258,549",67146620500,4151403278,-92706689,57627124,"13,707,635,000",,,,
000050,경방,경기소비재,2022,Q3,2022-11-14,"44,179,010,822","1,122,511,426,565","1,166,690,437,387","91,215,276,127","302,633,151,230","393,848,427,357","790,026,390,608","772,842,010,030",61934712945,7799588723,8927549456,6564629484,"13,707,635,000",,,,
000050,경방,경기소비재,2022,Q4,2023-03-17,"51,942,911,435","1,088,278,742,949","1,140,221,654,384","89,633,812,796","291,401,412,837","381,035,225,633","776,448,737,155","759,186,428,751",69403800610,15275854339,-19412812596,-13577653453,"13,707,635,000",,,,
000050,경방,경기소비재,2023,Q1,2023-05-15,"54,325,071,533","1,097,558,420,682","1,151,883,492,215","89,586,605,261","292,554,405,490","382,141,010,751","787,004,636,411","769,742,481,464",64376235738,10924669841,17492909056,13670308006,"13,707,635,000",,,,
000050,경방,경기소비재,2023,Q2,2023-08-11,"55,394,045,861","1,092,349,139,709","1,147,743,185,570","88,073,536,699","289,326,914,281","377,400,450,980","787,603,663,197","770,342,734,590",64913675818,1879940846,640914075,593683887,"13,707,635,000",,,,
000050,경방,경기소비재,2023,Q3,2023-11-14,"60,228,831,099","1,086,616,735,224","1,146,845,566,323","193,095,884,619","178,526,237,422","371,622,122,041","792,483,146,837","775,223,444,282",63673246799,8056183235,6331476782,4879483640,"13,707,635,000",4880709692,,,
000050,경방,경기소비재,2023,Q4,2024-03-20,"76,098,398,577","1,048,201,596,816","1,124,299,995,393","190,926,534,333","181,282,632,279","372,209,166,612","769,395,732,645","752,090,828,781",78047473036,14941362434,-18143223733,-23082071293,"13,707,635,000",-8861900912,,,
000050,경방,경기소비재,2024,Q1,2024-05-16,"91,966,796,827","1,056,515,335,131","1,148,482,131,958","210,047,307,226","180,676,574,997","390,723,882,223","775,063,244,803","757,758,249,735",75360666226.0,10985490121.0,11437612921.0,8781920908.0,"13,707,635,000",8781829704.0,"2,343,432",8781920908.0,
000050,경방,경기소비재,2024,Q2,2024-08-14,"89,691,092,771","1,062,819,165,861","1,152,510,258,632","207,803,936,633","179,339,863,368","387,143,800,001","782,671,937,937","765,366,458,631",70707865513.0,-791763206.0,9833562946.0,7608693134.0,"13,707,635,000",7608208896.0,,7608693134.0,"93,757,108"
000050,경방,경기소비재,2024,Q3,2024-11-14,"54,466,666,205","1,072,939,271,692","1,127,405,937,897","151,136,527,816","204,598,628,453","355,735,156,269","788,976,906,047","771,670,781,628",64085607023.0,5448382773.0,8224441401.0,6304968110.0,"13,707,635,000",6304322997.0,,,"47,743,128"
000050,경방,경기소비재,2024,Q4,2025-03-20,"63,227,980,423","1,067,576,796,674","1,130,804,777,097","150,345,265,035","203,639,892,350","353,985,157,385","794,224,083,796","776,819,619,712",71500939618.0,14427820182.0,6415410509.0,5247177749.0,"13,707,635,000",5148838084.0,,,
000050,경방,경기소비재,2025,Q1,2025-05-14,"69,242,779,304","1,064,979,664,324","1,134,222,443,628","151,435,042,494","203,059,880,927","354,494,923,421","797,132,670,994","779,727,520,207",64103894257,10675635066,8682051043,6645877698,"13,707,635,000",6645190995,,,
000050,경방,경기소비재,2025,Q2,2025-08-14,"57,102,810,656","1,069,575,058,700","1,126,677,869,356","134,663,474,575","203,698,748,732","338,362,223,307","805,722,021,757","788,315,646,049",64832366738,2034831131,10781474437,8589350763,"13,707,635,000",8588125842,,,
