code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채
000050,경방,경기소비재,2015,Q4,2016-03-30,"83,760,073,026","1,175,752,271,361","1,259,512,344,387","143,915,877,146","443,825,602,187","587,741,479,333","658,295,947,612","671,770,865,054",307744479868,38629926181,28221123638,21604723241,,,,,
000050,경방,경기소비재,2016,Q1,2016-05-16,"81,958,323,354","1,176,700,657,273","1,258,658,980,627","141,872,585,390","443,413,538,931","585,286,124,321","659,897,364,045","673,372,856,306",77537494571,8682084832,6427075130,5028325183,,,,,
000050,경방,경기소비재,2016,Q2,2016-08-12,"81,771,535,314","1,166,585,199,462","1,248,356,734,776","124,259,141,712","438,422,097,830","562,681,239,542","672,199,833,473","685,675,495,234",78285042550,10777827335,9014162562,12302469428,,,,,
000050,경방,경기소비재,2016,Q3,2016-11-14,"76,193,537,509","1,163,744,551,249","1,239,938,088,758","111,285,390,324","436,900,394,072","548,185,784,396","678,276,437,248","691,752,304,362",75683341205,9624986007,7763394315,6076603775,,,,,
000050,경방,경기소비재,2016,Q4,2017-03-31,"80,538,916,944","1,156,485,470,863","1,237,024,387,807","120,641,481,446","426,137,362,192","546,778,843,638","676,787,816,444","690,245,544,169",82370943398,13491875932,10711690289,7570344792,,,,,
000050,경방,경기소비재,2017,Q1,2017-05-15,"85,677,056,515","1,155,788,696,972","1,241,465,753,487","124,207,714,758","425,758,150,330","549,965,865,088","678,041,804,497","691,499,888,399",75985164929,10758061845,7924284008,6188736653,,,,,
000050,경방,경기소비재,2017,Q2,2017-08-14,"77,181,488,773","1,153,800,779,042","1,230,982,267,815","106,922,581,902","425,959,977,086","532,882,558,988","684,641,573,417","698,099,708,827",72370470030,9292393064,8449131830,6599768920,,,,,
000050,경방,경기소비재,2017,Q3,2017-11-14,"70,046,449,336","1,137,320,148,955","1,207,366,598,291","118,679,549,665","382,604,334,386","501,283,884,051","692,624,627,457","706,082,714,240",65754673980,7631640272,12383758162,7983054040,"13,707,635,000",,,,
000050,경방,경기소비재,2017,Q4,2018-03-30,"71,472,590,490","1,127,591,072,954","1,199,063,663,444","249,334,914,051","238,763,826,245","488,098,740,296","697,532,447,200","710,964,923,148",73993675825,11729071551,7185297314,4907819743,"13,707,635,000",,,,
000050,경방,경기소비재,2018,Q1,2018-05-15,"77,171,429,694","1,124,982,619,291","1,202,154,048,985","251,451,414,217","238,368,469,515","489,819,883,732","698,901,709,648","712,334,165,253",66751216872,9763835032,8076288984,6304011048,"13,707,635,000",,,,
000050,경방,경기소비재,2018,Q2,2018-08-14,"76,068,773,012","1,126,451,810,394","1,202,520,583,406","246,222,084,406","237,521,733,289","483,743,817,695","706,966,487,057","718,776,765,711",72681515367,9685867573,10385940673,8064777409,"13,707,635,000",,,,
000050,경방,경기소비재,2018,Q3,2018-11-14,"79,660,835,807","1,131,249,732,141","1,210,910,567,948","90,807,836,605","396,977,541,778","487,785,378,383","712,930,153,348","723,125,189,565",66783712661,9549746298,7651044674,5963666291,"13,707,635,000",,,,
000050,경방,경기소비재,2018,Q4,2019-04-01,"88,159,568,374","1,138,385,813,705","1,226,545,382,079","102,888,605,202","394,471,067,860","497,359,673,062","721,795,950,156","729,185,709,017",72868772132,9972386614,10045528630,8865796808,"13,707,635,000",,,,
000050,경방,경기소비재,2019,Q1,2019-05-15,"90,340,408,989","1,180,455,611,736","1,270,796,020,725","119,691,324,011","417,494,765,666","537,186,089,677","726,482,299,625","733,609,931,048",68303715903,9967530003,11640031171,9226854700,"13,707,635,000",,,,
000050,경방,경기소비재,2019,Q2,2019-08-14,"64,808,652,708","1,191,879,483,487","1,256,688,136,195","102,305,382,028","416,892,626,023","519,198,008,051","732,579,678,388","737,490,128,144",62651864334,8631724033,7945072994,6191085278,"13,707,635,000",,,,
000050,경방,경기소비재,2019,Q3,2019-11-14,"85,474,451,265","1,187,296,345,347","1,272,770,796,612","117,442,892,349","413,072,897,354","530,515,789,703","738,893,322,603","742,255,006,909",56958206849,7440852612,8175288736,6313644215,"13,707,635,000",,,,
000050,경방,경기소비재,2019,Q4,2020-03-30,"223,798,877,643","1,072,466,553,453","1,296,265,431,096","150,525,798,495","405,007,759,252","555,533,557,747","739,385,681,708","740,731,873,349",65638595137,12926317051,4748433324,492359105,"13,707,635,000",,,,
000050,경방,경기소비재,2020,Q1,2020-05-15,"286,281,243,680","1,042,570,293,553","1,328,851,537,233","189,689,677,372","401,752,869,126","591,442,546,498","739,114,171,762","737,408,990,735",47577093270,5473725767,4220975680,3030398804,"13,707,635,000",,,,
000050,경방,경기소비재,2020,Q2,2020-08-13,"295,663,881,181","1,078,994,964,039","1,374,658,845,220","220,394,554,032","404,596,124,348","624,990,678,380","752,313,806,194","749,668,166,840",62199513632,5031343886,11853064588,13199634432,"13,707,635,000",,,,
