code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,영업비용
5440,현대그린푸드,생활소비재,2015,Q4,2016-03-30,"365,681,914,000","1,143,238,430,000","1,508,920,344,000","134,935,431,000","158,257,702,000","293,193,133,000","48,852,241,000","590,320,237,000","1,215,727,211,000",1476015810000.0,61930542000,75013438000,57092651000,57092651000,,
5440,현대그린푸드,생활소비재,2016,Q1,2016-05-16,"379,547,532,000","1,186,049,993,000","1,565,597,525,000","134,858,400,000","171,628,015,000","306,486,415,000","48,852,241,000","608,110,563,000","1,259,111,110,000",406608904000.0,20437816000,29505398000,23037517000,23037517000,,
5440,현대그린푸드,생활소비재,2016,Q2,2016-08-16,"383,424,210,000","1,147,355,241,000","1,530,779,451,000","125,041,996,000","163,408,541,000","288,450,537,000","48,852,241,000","620,300,001,000","1,242,328,914,000",366052147000.0,14900501000,15949820000,12143851000,12143851000,,
5440,현대그린푸드,생활소비재,2016,Q3,2016-11-14,"477,653,352,000","1,114,325,272,000","1,591,978,624,000","211,364,812,000","149,025,208,000","360,390,020,000","48,852,241,000","632,532,770,000","1,231,588,604,000",388373438000.0,15349991000,15967217000,12163753000,12163753000,,
5440,현대그린푸드,생활소비재,2016,Q4,2017-03-31,"413,949,907,000","1,096,368,991,000","1,510,318,898,000","153,593,430,000","130,552,866,000","284,146,296,000","48,852,241,000","640,145,341,000","1,226,172,602,000",393192474000.0,11425622000,12922013000,9438397000,9438397000,,
5440,현대그린푸드,생활소비재,2017,Q1,2017-05-15,"345,421,868,000","1,164,834,369,000","1,510,256,237,000","140,344,255,000","137,788,734,000","278,132,989,000","48,852,241,000","656,580,754,000","1,232,123,248,000",383177950000.0,17966016000,27711296000,21771563000,21771563000,,
5440,현대그린푸드,생활소비재,2017,Q2,2017-08-14,"341,362,044,000","1,200,342,069,000","1,541,704,113,000","141,519,705,000","132,748,821,000","274,268,526,000","48,852,241,000","670,106,222,000","1,267,435,587,000",359906901000.0,17778880000,19110543000,13560440000,13560440000,,
5440,현대그린푸드,생활소비재,2017,Q3,2017-11-14,"441,362,078,000","1,076,033,329,000","1,517,395,407,000","162,061,724,000","124,047,743,000","286,109,467,000","48,852,241,000","687,053,690,000","1,231,285,940,000",384329872000.0,19756843000,22232952000,16943064000,16943064000,,
5440,현대그린푸드,생활소비재,2017,Q4,2018-04-02,"417,891,184,000","1,201,230,172,000","1,619,121,356,000","139,397,005,000","161,104,046,000","300,501,051,000","48,852,241,000","737,085,393,000","1,318,620,305,000",350037199000.0,-6590010000,68154361000,48751992000,48751992000,,
5440,현대그린푸드,생활소비재,2018,Q1,2018-05-15,"498,384,958,000","1,114,513,360,000","1,612,898,318,000","150,378,512,000","160,250,149,000","310,628,661,000","48,852,241,000","754,157,697,000","1,302,269,657,000",396450094000.0,21057280000,30994946000,24132180000,24132180000,,
5440,현대그린푸드,생활소비재,2018,Q2,2018-08-14,"398,762,357,000","1,309,957,016,000","1,708,719,373,000","173,141,902,000","185,372,806,000","358,514,708,000","48,852,241,000","764,640,177,000","1,350,204,665,000",357113061000.0,16971150000,18705697000,14083215000,14083215000,,
5440,현대그린푸드,생활소비재,2018,Q3,2018-11-14,"400,405,849,000","1,289,637,034,000","1,690,042,883,000","183,121,634,000","174,336,675,000","357,458,309,000","48,852,241,000","779,021,035,000","1,332,584,574,000",385711549000.0,16911019000,19016869000,14621174000,14621174000,,
5440,현대그린푸드,생활소비재,2018,Q4,2019-04-01,"396,238,454,000","1,246,103,696,000","1,642,342,150,000","150,641,914,000","149,839,845,000","300,481,759,000","48,852,241,000","802,757,861,000","1,341,860,391,000",375340424000.0,14529106000,36207136000,28123205000,28123205000,,
5440,현대그린푸드,생활소비재,2019,Q1,2019-05-15,"432,183,782,000","1,277,584,089,000","1,709,767,871,000","164,115,803,000","168,760,548,000","332,876,351,000","48,852,241,000","812,606,345,000","1,376,891,520,000",380578729000.0,15657852000,33777441000,28353483000,28353483000,,
5440,현대그린푸드,생활소비재,2019,Q2,2019-08-14,"413,228,976,000","1,262,137,066,000","1,675,366,042,000","150,811,533,000","159,754,112,000","310,565,645,000","48,852,241,000","826,592,286,000","1,364,800,397,000",373071526000.0,17398436000,18929522000,14050011000,14050011000,,
5440,현대그린푸드,생활소비재,2019,Q3,2019-11-14,"458,443,346,000","1,267,655,349,000","1,726,098,695,000","217,069,810,000","141,957,781,000","359,027,591,000","48,852,241,000","843,834,692,000","1,367,071,104,000",403286028000.0,20542864000,22757535000,17210073000,17210073000,,
5440,현대그린푸드,생활소비재,2019,Q4,2020-03-30,"416,472,452,000","1,279,048,650,000","1,695,521,102,000","172,308,724,000","157,141,884,000","329,450,608,000","48,852,241,000","836,631,062,000","1,366,070,494,000",385794285000.0,13450842000,4776335000,2031959000,2031959000,,
5440,현대그린푸드,생활소비재,2020,Q1,2020-05-15,"417,898,483,000","1,185,469,094,000","1,603,367,577,000","159,857,425,000","146,713,826,000","306,571,251,000","48,852,241,000","840,815,398,000","1,296,796,326,000",380594698000.0,13399597000,27683014000,22607166000,22607166000,,
5440,현대그린푸드,생활소비재,2020,Q2,2020-08-14,"399,536,653,000","1,188,862,511,000","1,588,399,164,000","127,072,205,000","153,649,552,000","280,721,757,000","48,852,241,000","850,851,721,000","1,307,677,407,000",351433040000.0,11182817000,13107380000,10030031000,10030031000,,
5440,현대그린푸드,생활소비재,2020,Q3,2020-11-16,"499,154,933,000","1,259,824,852,000","1,758,979,785,000","214,448,364,000","171,456,617,000","385,904,981,000","48,852,241,000","862,488,548,000","1,373,074,804,000",402877533000.0,14722819000,15514749000,11578841000,11578841000,,
5440,현대그린푸드,생활소비재,2020,Q4,2021-03-19,"453,944,872,000","1,306,295,860,000","1,760,240,732,000","202,240,981,000","159,368,550,000","361,609,531,000","48,852,241,000","855,193,149,000","1,398,631,201,000",377598143000.0,5815824000,-6486830000,-6510261000,-6510261000,,
5440,현대그린푸드,생활소비재,2021,Q1,2021-05-17,"374,483,460,000","1,507,677,637,000","1,882,161,097,000","189,647,640,000","190,059,500,000","379,707,140,000","48,852,241,000","898,922,781,000","1,502,453,957,000",403133760000.0,10520248000,66846446000,62203688000,62203688000,,
5440,현대그린푸드,생활소비재,2021,Q2,2021-08-17,"359,878,742,000","1,551,808,439,000","1,911,687,181,000","219,785,247,000","169,769,024,000","389,554,271,000","48,852,241,000","913,031,640,000","1,522,132,910,000",397275091000.0,16345905000,18624914000,14157519000,14157519000,,
5440,현대그린푸드,생활소비재,2021,Q3,2021-11-15,"367,812,824,000","1,497,109,852,000","1,864,922,676,000","208,475,668,000","165,537,755,000","374,013,423,000","48,852,241,000","922,869,718,000","1,490,909,253,000",444588661000.0,10797756000,12655796000,9797238000,9797238000,,
5440,현대그린푸드,생활소비재,2021,Q4,2022-03-21,"297,316,930,000","1,474,328,922,000","1,771,645,852,000","164,571,717,000","145,391,346,000","309,963,063,000","48,852,241,000","897,338,967,000","1,461,682,789,000",426203063000.0,5584273000,-24167055000,-25442096000,-25442096000,,
5440,현대그린푸드,생활소비재,2022,Q1,2022-05-16,"308,995,837,000","1,454,827,509,000","1,763,823,346,000","163,139,738,000","150,646,336,000","313,786,074,000","48,852,241,000","903,685,346,000","1,450,037,272,000",444768756000.0,14972065000,31696244000,24899161000,24899161000,,
5440,현대그린푸드,생활소비재,2022,Q2,2022-08-16,"370,654,141,000","1,440,086,449,000","1,810,740,590,000","220,638,916,000","137,123,274,000","357,762,190,000","48,852,241,000","919,064,240,000","1,452,978,400,000",444060444000.0,22038257000,22181396000,16580446000,16580446000,,
5440,현대그린푸드,생활소비재,2022,Q3,2022-11-14,"352,284,613,000","1,403,478,415,000","1,755,763,028,000","196,857,364,000","126,318,696,000","323,176,060,000","48,852,241,000","934,296,679,000","1,432,586,968,000",524964876000.0,22146109000,20985879000,15745616000,15745616000,,
5440,현대그린푸드,생활소비재,2022,Q4,2023-03-21,"308,557,252,000","1,501,916,654,000","1,810,473,906,000","233,694,726,000","107,467,033,000","341,161,759,000","48,852,241,000","971,701,469,000","1,469,312,147,000",510234008000.0,15442706000,20509056000,21116910000,21116910000,,
5440,현대그린푸드,생활소비재,2023,Q1,2023-05-15,"26,012,923,000","1,105,090,872,000","1,131,103,795,000","58,270,954,000","116,429,998,000","174,700,952,000","31,911,784,000","1,051,692,405,000","956,402,843,000",,9598943000,18706761000,101129287000,101129287000,,
5440,현대그린푸드,생활소비재,2023,Q2,2023-08-14,"6,842,731,000","1,107,970,403,000","1,114,813,134,000","44,410,440,000","112,868,237,000","157,278,677,000","31,911,784,000","1,050,573,021,000","957,534,457,000",,-2646000000,-3158464000,-1112871000,-1112871000,,
