code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),총포괄손익,차입부채
108670,LG하우시스,건설,2018,Q2,2018-08-14,"1,060,226,000,000","1,332,008,000,000","2,392,234,000,000","541,213,000,000","862,129,000,000","1,403,342,000,000","50,000,000,000","328,228,000,000","988,892,000,000",736877000000,11789000000,7513000000,5806000000,,
108670,LG하우시스,건설,2018,Q3,2018-11-14,"1,162,453,000,000","1,348,300,000,000","2,510,753,000,000","601,733,000,000","916,251,000,000","1,517,984,000,000","50,000,000,000","332,010,000,000","992,769,000,000",699593000000,2886000000,5485000000,3936000000,,
108670,LG하우시스,건설,2018,Q4,2019-04-01,"837,125,000,000","1,307,158,000,000","2,144,283,000,000","386,744,000,000","820,226,000,000","1,206,970,000,000","50,000,000,000","276,738,000,000","937,313,000,000",709992000000,14005000000,-53417000000,-55115000000,,
108670,LG하우시스,건설,2019,Q1,2019-05-15,"1,067,598,000,000","1,335,545,000,000","2,403,143,000,000","626,166,000,000","844,234,000,000","1,470,400,000,000","50,000,000,000","272,133,000,000","932,743,000,000",644405000000,5116000000,-335000000,-1826000000,,
108670,LG하우시스,건설,2019,Q2,2019-08-14,"1,128,830,000,000","1,340,458,000,000","2,469,288,000,000","810,841,000,000","698,997,000,000","1,509,838,000,000","50,000,000,000","298,911,000,000","959,450,000,000",711732000000,21079000000,19189000000,26779000000,,
108670,LG하우시스,건설,2019,Q3,2019-11-14,"976,916,000,000","1,389,526,000,000","2,366,442,000,000","706,581,000,000","692,814,000,000","1,399,395,000,000","50,000,000,000","306,504,000,000","967,047,000,000",662534000000,15378000000,10120000000,7674000000,,
108670,LG하우시스,건설,2019,Q4,2020-03-30,"772,204,000,000","1,395,957,000,000","2,168,161,000,000","667,276,000,000","584,366,000,000","1,251,642,000,000","50,000,000,000","256,035,000,000","916,519,000,000",691830000000,468000000,-49422000000,-47951000000,,
108670,LG하우시스,건설,2020,Q1,2020-05-15,"850,089,000,000","1,378,884,000,000","2,228,973,000,000","802,360,000,000","497,800,000,000","1,300,160,000,000","50,000,000,000","268,528,000,000","928,813,000,000",623562000000,25136000000,19865000000,15081000000,,
108670,LG하우시스,건설,2020,Q2,2020-08-14,"764,090,000,000","1,378,932,000,000","2,143,022,000,000","691,294,000,000","515,048,000,000","1,206,342,000,000","50,000,000,000","276,361,000,000","936,680,000,000",618574000000,19299000000,9481000000,7956000000,,
108670,LG하우시스,건설,2020,Q3,2020-11-16,"865,564,000,000","1,370,754,000,000","2,236,318,000,000","736,958,000,000","514,788,000,000","1,251,746,000,000","50,000,000,000","324,247,000,000","984,572,000,000",645513000000,21443000000,61647000000,47893000000,,
108670,LG하우시스,건설,2020,Q4,2021-03-17,"852,202,000,000","1,171,304,000,000","2,023,506,000,000","709,474,000,000","503,447,000,000","1,212,921,000,000","50,000,000,000","150,203,000,000","810,585,000,000",708861000000,7958000000,-208106000000,-176573000000,,
108670,LG하우시스,건설,2021,Q1,2021-05-17,"897,846,000,000","1,194,822,000,000","2,092,668,000,000","752,943,000,000","501,362,000,000","1,254,305,000,000","50,000,000,000","177,753,000,000","838,363,000,000",656117000000,22673000000,40694000000,30805000000,,
108670,LG하우시스,건설,2021,Q2,2021-08-17,"863,787,000,000","1,147,144,000,000","2,010,931,000,000","913,244,000,000","315,123,000,000","1,228,367,000,000","50,000,000,000","121,040,000,000","782,564,000,000",762727000000,22485000000,-58516000000,-56563000000,,
108670,LG하우시스,건설,2021,Q3,2021-11-15,"899,458,000,000","1,165,973,000,000","2,065,431,000,000","802,746,000,000","477,271,000,000","1,280,017,000,000","50,000,000,000","124,281,000,000","785,414,000,000",731120000000,8158000000,4211000000,3402000000,,
108670,LG하우시스,건설,2021,Q4,2022-03-16,"890,592,000,000","1,189,127,000,000","2,079,719,000,000","894,873,000,000","398,221,000,000","1,293,094,000,000","50,000,000,000","125,451,000,000","786,625,000,000",806897000000,6276000000,-1841000000,-1079000000,,
108670,LG하우시스,건설,2022,Q1,2022-05-16,"887,704,000,000","1,221,691,000,000","2,109,395,000,000","1,002,200,000,000","328,534,000,000","1,330,734,000,000","50,000,000,000","116,780,000,000","778,661,000,000",727137000000,5958000000,-4989000000,-5290000000,,
108670,LG하우시스,건설,2022,Q2,2022-08-16,"892,611,000,000","1,241,490,000,000","2,134,101,000,000","753,326,000,000","595,777,000,000","1,349,103,000,000","50,000,000,000","123,286,000,000","784,998,000,000",809670000000,9789000000,5453000000,6735000000,,
108670,LG하우시스,건설,2022,Q3,2022-11-14,"874,913,000,000","1,251,474,000,000","2,126,387,000,000","786,401,000,000","585,631,000,000","1,372,032,000,000","50,000,000,000","93,084,000,000","754,355,000,000",772355000000,17330000000,-28250000000,-29951000000,,
108670,LG하우시스,건설,2022,Q4,2023-03-16,"827,962,000,000","1,231,493,000,000","2,059,455,000,000","808,045,000,000","542,500,000,000","1,350,545,000,000","50,000,000,000","47,373,000,000","708,910,000,000",755886000000,-8036000000,-76908000000,-74559000000,,
108670,LG하우시스,건설,2023,Q1,2023-05-15,"903,906,000,000","1,219,910,000,000","2,123,816,000,000","837,703,000,000","573,231,000,000","1,410,934,000,000","50,000,000,000","51,095,000,000","712,882,000,000",715423000000,11849000000,5859000000,5725000000,,
108670,LG하우시스,건설,2023,Q2,2023-08-14,"874,814,000,000","1,193,022,000,000","2,067,836,000,000","818,349,000,000","507,161,000,000","1,325,510,000,000","50,000,000,000","80,734,000,000","742,326,000,000",813447000000,38370000000,30246000000,29570000000,,
108670,LG하우시스,건설,2023,Q3,2023-11-14,"1,034,105,000,000","1,137,610,000,000","2,171,715,000,000","966,162,000,000","438,133,000,000","1,404,295,000,000","50,000,000,000","105,657,000,000","767,420,000,000",751893000000,26725000000,25246000000,24907000000,25094000000,
108670,LG하우시스,건설,2023,Q4,2024-03-14,"888,198,000,000","1,079,853,000,000","1,968,051,000,000","827,051,000,000","415,787,000,000","1,242,838,000,000","50,000,000,000","63,805,000,000","725,213,000,000",775384000000,4692000000,-31124000000,-31320000000,-6744000000,
108670,LG하우시스,건설,2024,Q1,2024-05-14,"1,017,665,000,000","1,064,668,000,000","2,082,333,000,000","817,384,000,000","538,830,000,000","1,356,214,000,000","50,000,000,000","64,995,000,000","726,119,000,000",739622000000,26146000000,23351000000,18148000000,17923000000,"219,945,000,000"
108670,LG하우시스,건설,2024,Q2,2024-08-14,"947,346,000,000","1,056,093,000,000","2,003,439,000,000","857,932,000,000","391,951,000,000","1,249,883,000,000","50,000,000,000","92,653,000,000","753,556,000,000",813680000000,30986000000,27101000000,27575000000,27437000000,"252,413,000,000"
108670,LG하우시스,건설,2024,Q3,2024-11-14,"800,302,000,000","1,076,163,000,000","1,876,465,000,000","675,295,000,000","440,344,000,000","1,115,639,000,000","50,000,000,000","100,107,000,000","760,826,000,000",772113000000,15804000000,7870000000,7379000000,7270000000,"173,704,000,000"
108670,LG하우시스,건설,2024,Q4,2025-03-18,"831,040,000,000","1,034,037,000,000","1,865,077,000,000","692,570,000,000","443,088,000,000","1,135,658,000,000","50,000,000,000","68,765,000,000","729,419,000,000",766412000000,5682000000,-22446000000,-18400000000,-31407000000,
108670,LG하우시스,건설,2025,Q1,2025-05-15,"845,619,000,000","1,017,798,000,000","1,863,417,000,000","798,028,000,000","346,149,000,000","1,144,177,000,000","50,000,000,000","58,625,000,000","719,240,000,000",639770000000,6756000000,57000000,-287000000,-148000000,
108670,LG하우시스,건설,2025,Q2,2025-08-14,"769,074,000,000","1,001,815,000,000","1,770,889,000,000","559,356,000,000","491,292,000,000","1,050,648,000,000","50,000,000,000","59,522,000,000","720,241,000,000",684818000000,12802000000,1080000000,645000000,1001000000,
