접수번호,법인구분,고유번호,회사명,증자일자,증자방식,증자주식종류,증자주식수,주식액면가액,발행금액,결제일시,연도,분기
20160330003174,Y,00160047,한국앤컴퍼니,2012.09.03,주식분할,보통주,"123,875,069",500,-,2015-12-31,2015,Q4
20160330003174,Y,00160047,한국앤컴퍼니,2013.07.06,유상증자(일반공모),보통주,"64,705,313",500,-,2015-12-31,2015,Q4
20170814001002,Y,00160047,한국앤컴퍼니,2012.09.03,주식분할,보통주,"123,875,069",500,-,2016-12-31,2016,Q4
20170814001002,Y,00160047,한국앤컴퍼니,2013.07.06,유상증자(일반공모),보통주,"64,705,313",500,-,2016-12-31,2016,Q4
20180402005232,Y,00160047,한국앤컴퍼니,2012.09.03,주식분할,보통주,"123,875,069",500,-,2017-12-31,2017,Q4
20180402005232,Y,00160047,한국앤컴퍼니,2013.07.06,유상증자(일반공모),보통주,"64,705,313",500,-,2017-12-31,2017,Q4
20190401005003,Y,00160047,한국앤컴퍼니,2012.09.03,주식분할,보통주,"123,875,069",500,-,2018-12-31,2018,Q4
20190401005003,Y,00160047,한국앤컴퍼니,2013.07.06,유상증자(일반공모),보통주,"64,705,313",500,-,2018-12-31,2018,Q4
20221215000222,Y,00160047,한국앤컴퍼니,2012.09.03,주식분할,보통주,"123,875,069",500,-,2019-12-31,2019,Q4
20221215000222,Y,00160047,한국앤컴퍼니,2013.07.06,유상증자(일반공모),보통주,"64,705,313",500,-,2019-12-31,2019,Q4
20221215000231,Y,00160047,한국앤컴퍼니,2012.09.03,주식분할,보통주,"123,875,069",500,-,2020-12-31,2020,Q4
20221215000231,Y,00160047,한국앤컴퍼니,2013.07.06,유상증자(일반공모),보통주,"64,705,313",500,-,2020-12-31,2020,Q4
20221215000241,Y,00160047,한국앤컴퍼니,2021.04.02,-,보통주,"1,915,067",500,"15,801",2021-12-31,2021,Q4
20221215000241,Y,00160047,한국앤컴퍼니,2021.04.19,-,보통주,"1,325,090",500,"15,801",2021-12-31,2021,Q4
20221215000241,Y,00160047,한국앤컴퍼니,2021.04.23,-,보통주,"1,190",500,"18,850",2021-12-31,2021,Q4
20230324001090,Y,00160047,한국앤컴퍼니,2021.04.02,-,보통주,"1,915,067",500,"15,801",2022-12-31,2022,Q4
20230324001090,Y,00160047,한국앤컴퍼니,2021.04.19,-,보통주,"1,325,090",500,"15,801",2022-12-31,2022,Q4
20230324001090,Y,00160047,한국앤컴퍼니,2021.04.23,-,보통주,"1,190",500,"18,850",2022-12-31,2022,Q4
20240320001601,Y,00160047,한국앤컴퍼니,2021.04.02,-,보통주,"1,915,067",500,"15,801",2023-12-31,2023,Q4
20240320001601,Y,00160047,한국앤컴퍼니,2021.04.19,-,보통주,"1,325,090",500,"15,801",2023-12-31,2023,Q4
20240320001601,Y,00160047,한국앤컴퍼니,2021.04.23,-,보통주,"1,190",500,"18,850",2023-12-31,2023,Q4
20250318000944,Y,00160047,한국앤컴퍼니,2021.04.02,-,보통주,"1,915,067",500,"15,801",2024-12-31,2024,Q4
20250318000944,Y,00160047,한국앤컴퍼니,2021.04.19,-,보통주,"1,325,090",500,"15,801",2024-12-31,2024,Q4
20250318000944,Y,00160047,한국앤컴퍼니,2021.04.23,-,보통주,"1,190",500,"18,850",2024-12-31,2024,Q4
